UN. DA FEDERAÇÃO;ESPÍRITO SANTO;;;;;;;;;;;;;;;;;;;;
PRODUTO;QUEROSENE DE AVIAÇÃO (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 1.549 ; 1.668 ; 2.248 ; 1.950 ; 2.052 ; 2.115 ; 2.159 ; 2.642 ; 4.075 ; 4.054 ; 4.838 ; 4.596 ; 4.881 ; 4.163 ; 3.870 ; 5.037 ; 3.552 ; 3.026 ; 3.146 ; 3.771 ; 3.485 
Fevereiro; 1.364 ; 1.556 ; 1.905 ; 1.739 ; 1.985 ; 1.885 ; 1.762 ; 2.305 ; 3.861 ; 3.478 ; 4.349 ; 4.047 ; 4.457 ; 3.455 ; 3.166 ; 4.110 ; 2.839 ; 2.438 ; 2.495 ; 3.162 ; 2.993 
Março; 1.479 ; 1.690 ; 2.334 ; 1.701 ; 2.112 ; 2.130 ; 2.368 ; 2.807 ; 4.090 ; 3.945 ; 4.575 ; 4.343 ; 5.075 ; 3.509 ; 3.463 ; 3.236 ; 2.640 ; 2.973 ; 2.807 ; 3.135 ; 1.960 
Abril; 1.474 ; 1.484 ; 2.456 ; 2.206 ; 1.897 ; 1.974 ; 1.979 ; 2.704 ; 4.207 ; 3.790 ; 4.454 ; 3.978 ; 4.940 ; 3.038 ; 3.447 ; 4.455 ; 1.768 ; 2.653 ; 2.857 ; 3.497 ; 389 
Maio; 1.314 ; 1.747 ; 2.421 ; 1.888 ; 2.016 ; 2.300 ; 2.434 ; 3.229 ; 4.101 ; 4.232 ; 4.673 ; 4.664 ; 5.046 ; 3.339 ; 3.361 ; 3.153 ; 2.085 ; 2.903 ; 2.502 ; 3.450 ; 570 
Junho; 1.282 ; 1.805 ; 2.167 ; 1.715 ; 2.066 ; 1.867 ; 2.360 ; 3.184 ; 3.796 ; 4.151 ; 4.327 ; 4.529 ; 4.898 ; 3.313 ; 3.065 ; 2.776 ; 2.318 ; 2.561 ; 3.007 ; 2.994 ; 635 
Julho; 1.453 ; 1.881 ; 2.561 ; 2.065 ; 2.201 ; 1.989 ; 2.506 ; 3.077 ; 3.860 ; 4.623 ; 4.521 ; 4.936 ; 5.233 ; 3.503 ; 3.365 ; 3.319 ; 2.721 ; 2.654 ; 3.580 ; 4.363 ; 891 
Agosto; 1.506 ; 1.776 ; 2.251 ; 1.892 ; 2.143 ; 2.217 ; 2.099 ; 3.220 ; 3.859 ; 4.283 ; 4.566 ; 4.718 ; 5.159 ; 2.949 ; 3.574 ; 2.905 ; 2.367 ; 2.829 ; 3.551 ; 3.374 ; 995 
Setembro; 1.605 ; 1.610 ; 2.139 ; 2.036 ; 1.971 ; 2.283 ; 2.140 ; 2.996 ; 3.789 ; 4.507 ; 4.280 ; 4.953 ; 4.882 ; 3.113 ; 3.448 ; 3.335 ; 2.254 ; 2.390 ; 3.453 ; 3.052 ; 1.061 
Outubro; 1.574 ; 1.680 ; 2.120 ; 2.101 ; 2.013 ; 2.563 ; 2.376 ; 3.623 ; 4.181 ; 4.055 ; 4.422 ; 4.673 ; 4.558 ; 3.591 ; 3.426 ; 3.382 ; 2.216 ; 2.714 ; 3.730 ; 2.880 ;
Novembro; 1.477 ; 1.638 ; 2.201 ; 1.963 ; 2.216 ; 2.454 ; 2.579 ; 4.277 ; 3.797 ; 4.185 ; 4.466 ; 4.660 ; 3.730 ; 3.419 ; 3.782 ; 3.725 ; 2.696 ; 2.850 ; 3.800 ; 2.823 ;
Dezembro; 1.791 ; 2.130 ; 2.248 ; 2.035 ; 2.192 ; 2.233 ; 2.694 ; 4.106 ; 3.850 ; 4.429 ; 4.520 ; 4.530 ; 4.080 ; 3.564 ; 4.356 ; 3.844 ; 2.799 ; 2.993 ; 3.749 ; 3.350 ;
Total do Ano; 17.868 ; 20.667 ; 27.051 ; 23.291 ; 24.864 ; 26.012 ; 27.456 ; 38.170 ; 47.466 ; 49.731 ; 53.991 ; 54.626 ; 56.939 ; 40.955 ; 42.323 ; 43.275 ; 30.255 ; 32.983 ; 38.677 ; 39.851 ; 12.978 
