Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 6.653 ; 8.395 ; 8.933 ; 7.506 ; 8.232 ; 7.451 ; 7.925 ; 9.208 ; 10.247 ; 9.880 ; 9.449 ; 11.856 ; 14.733 ; 13.765 ; 14.617 ; 14.568 ; 13.929 ; 11.553 ; 11.916 ; 11.539 ; 10.988 ; 9.437 ; 10.512 
Fevereiro; 6.851 ; 6.939 ; 7.467 ; 6.866 ; 7.316 ; 7.808 ; 6.759 ; 7.613 ; 9.503 ; 8.324 ; 9.618 ; 11.690 ; 12.717 ; 11.666 ; 11.760 ; 12.307 ; 11.470 ; 9.320 ; 9.457 ; 9.807 ; 9.110 ; 7.423 ; 8.587 
Março; 6.427 ; 8.319 ; 8.276 ; 6.663 ; 7.890 ; 8.220 ; 8.384 ; 9.238 ; 9.396 ; 9.136 ; 10.205 ; 12.373 ; 14.613 ; 13.518 ; 13.166 ; 13.934 ; 10.596 ; 10.343 ; 10.173 ; 9.676 ; 7.010 ; 7.116 ; 9.087 
Abril; 6.316 ; 7.500 ; 8.950 ; 7.311 ; 7.263 ; 7.676 ; 7.649 ; 8.865 ; 8.859 ; 8.651 ; 9.918 ; 11.756 ; 13.292 ; 12.978 ; 12.735 ; 13.519 ; 8.887 ; 9.028 ; 9.581 ; 9.436 ; 1.969 ; 5.309 ; 8.350 
Maio; 6.909 ; 9.058 ; 9.323 ; 6.709 ; 7.972 ; 8.067 ; 9.087 ; 9.556 ; 9.267 ; 9.307 ; 10.770 ; 11.570 ; 13.919 ; 12.740 ; 12.599 ; 13.463 ; 9.518 ; 9.319 ; 11.229 ; 9.528 ; 2.471 ; 5.587 ; 9.340 
Junho; 7.656 ; 8.332 ; 9.095 ; 7.583 ; 7.886 ; 7.487 ; 8.733 ; 9.564 ; 9.331 ; 8.795 ; 10.311 ; 11.640 ; 13.423 ; 12.614 ; 12.061 ; 13.270 ; 9.830 ; 8.958 ; 10.513 ; 9.405 ; 3.058 ; 6.868 ; 9.752 
Julho; 8.027 ; 8.805 ; 6.979 ; 7.316 ; 8.041 ; 7.816 ; 8.315 ; 9.582 ; 9.016 ; 9.243 ; 11.260 ; 13.622 ; 14.233 ; 13.423 ; 13.689 ; 14.634 ; 10.530 ; 9.601 ; 12.273 ; 10.832 ; 3.652 ; 8.535 ;
Agosto; 8.410 ; 8.993 ; 9.447 ; 7.870 ; 8.872 ; 7.986 ; 7.785 ; 10.734 ; 9.301 ; 9.266 ; 10.908 ; 13.763 ; 14.156 ; 13.164 ; 13.090 ; 13.203 ; 10.568 ; 9.355 ; 10.837 ; 9.612 ; 5.054 ; 8.263 ;
Setembro; 7.841 ; 8.625 ; 7.288 ; 7.332 ; 8.627 ; 8.093 ; 8.043 ; 9.849 ; 9.095 ; 9.658 ; 11.466 ; 13.746 ; 12.662 ; 12.719 ; 12.979 ; 13.806 ; 10.201 ; 9.222 ; 10.086 ; 10.152 ; 5.934 ; 7.956 ;
Outubro; 8.626 ; 10.157 ; 9.352 ; 8.343 ; 7.064 ; 7.485 ; 8.486 ; 9.471 ; 8.832 ; 9.931 ; 12.012 ; 14.547 ; 14.781 ; 14.194 ; 14.460 ; 14.789 ; 11.259 ; 9.822 ; 10.648 ; 10.474 ; 7.431 ; 8.827 ;
Novembro; 8.176 ; 8.663 ; 9.546 ; 7.341 ; 7.776 ; 8.090 ; 7.880 ; 9.110 ; 9.006 ; 9.489 ; 12.210 ; 14.282 ; 13.344 ; 13.927 ; 13.507 ; 13.802 ; 10.992 ; 9.779 ; 10.093 ; 10.021 ; 7.875 ; 10.711 ;
Dezembro; 7.894 ; 8.741 ; 8.025 ; 8.306 ; 8.859 ; 8.357 ; 9.646 ; 10.144 ; 9.450 ; 11.107 ; 13.669 ; 14.921 ; 14.059 ; 15.124 ; 15.462 ; 13.514 ; 11.892 ; 11.489 ; 12.045 ; 10.943 ; 9.136 ; 11.752 ;
