Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 13.175 ; 11.307 ; 10.842 ; 9.674 ; 8.002 ; 8.532 ; 12.037 ; 10.467 ; 10.993 ; 12.936 ; 14.629 ; 17.536 ; 19.445 ; 18.518 ; 19.185 ; 21.008 ; 17.488 ; 17.362 ; 17.119 ; 17.046 ; 16.079 ; 7.745 ; 9.686 
Fevereiro; 14.738 ; 10.017 ; 13.427 ; 9.108 ; 8.005 ; 8.471 ; 9.694 ; 9.806 ; 10.433 ; 11.831 ; 13.719 ; 16.578 ; 18.291 ; 16.795 ; 18.136 ; 18.319 ; 15.842 ; 14.779 ; 15.039 ; 15.456 ; 14.929 ; 6.748 ; 7.390 
Março; 14.173 ; 10.780 ; 10.934 ; 8.893 ; 9.081 ; 9.898 ; 11.795 ; 11.300 ; 10.994 ; 13.492 ; 15.947 ; 18.207 ; 21.193 ; 19.958 ; 19.010 ; 22.015 ; 16.378 ; 16.986 ; 15.838 ; 15.887 ; 10.991 ; 6.246 ; 10.175 
Abril; 11.812 ; 11.002 ; 11.394 ; 8.672 ; 8.602 ; 9.782 ; 12.769 ; 10.137 ; 10.628 ; 12.772 ; 15.241 ; 17.260 ; 18.881 ; 20.054 ; 19.709 ; 17.356 ; 14.657 ; 14.865 ; 16.254 ; 15.770 ; 1.955 ; 4.198 ; 10.508 
Maio; 13.132 ; 11.807 ; 10.260 ; 7.789 ; 8.282 ; 10.456 ; 11.304 ; 10.792 ; 10.763 ; 13.341 ; 15.391 ; 18.086 ; 19.297 ; 19.600 ; 19.859 ; 16.972 ; 13.948 ; 15.409 ; 15.940 ; 14.635 ; 2.763 ; 5.931 ; 11.394 
Junho; 12.202 ; 10.168 ; 10.255 ; 6.942 ; 8.108 ; 10.003 ; 10.001 ; 10.260 ; 10.512 ; 13.518 ; 15.397 ; 17.504 ; 17.640 ; 17.943 ; 18.117 ; 15.815 ; 13.174 ; 15.058 ; 14.308 ; 13.911 ; 2.634 ; 5.639 ; 11.069 
Julho; 14.322 ; 12.015 ; 10.658 ; 7.416 ; 8.145 ; 10.541 ; 9.863 ; 10.759 ; 11.338 ; 13.543 ; 16.646 ; 19.292 ; 19.710 ; 20.247 ; 21.032 ; 16.376 ; 14.099 ; 17.299 ; 15.622 ; 16.005 ; 2.555 ; 6.445 ;
Agosto; 13.184 ; 12.285 ; 10.585 ; 7.927 ; 8.754 ; 11.915 ; 9.611 ; 10.700 ; 11.477 ; 13.449 ; 17.281 ; 19.783 ; 19.912 ; 20.507 ; 21.368 ; 16.040 ; 14.427 ; 16.665 ; 15.703 ; 14.274 ; 2.789 ; 6.953 ;
Setembro; 12.577 ; 11.998 ; 11.522 ; 8.531 ; 8.458 ; 10.863 ; 10.000 ; 10.356 ; 11.445 ; 13.436 ; 16.381 ; 19.563 ; 19.214 ; 19.249 ; 20.412 ; 16.445 ; 14.670 ; 16.440 ; 15.469 ; 11.829 ; 3.404 ; 7.221 ;
Outubro; 13.645 ; 12.944 ; 10.983 ; 8.759 ; 8.651 ; 11.808 ; 9.956 ; 11.673 ; 11.969 ; 14.233 ; 16.882 ; 19.514 ; 19.784 ; 20.145 ; 22.327 ; 17.144 ; 14.981 ; 16.537 ; 16.038 ; 11.987 ; 5.797 ; 8.585 ;
Novembro; 9.843 ; 11.820 ; 10.792 ; 8.774 ; 9.510 ; 12.557 ; 10.614 ; 11.794 ; 11.970 ; 14.144 ; 16.818 ; 19.384 ; 19.344 ; 18.697 ; 22.001 ; 17.594 ; 16.336 ; 16.984 ; 15.017 ; 13.304 ; 7.148 ; 11.098 ;
Dezembro; 9.959 ; 10.556 ; 10.379 ; 8.230 ; 9.093 ; 12.127 ; 10.466 ; 10.990 ; 12.521 ; 14.550 ; 17.775 ; 19.590 ; 18.769 ; 17.330 ; 20.844 ; 16.449 ; 16.841 ; 16.448 ; 16.564 ; 14.024 ; 7.225 ; 11.223 ;
