Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 18.509 ; 18.963 ; 15.899 ; 15.976 ; 14.635 ; 14.833 ; 17.976 ; 16.579 ; 17.711 ; 19.891 ; 20.682 ; 23.961 ; 23.594 ; 22.435 ; 20.980 ; 22.246 ; 23.576 ; 22.090 ; 28.992 ; 29.056 ; 31.155 ; 25.806 ; 22.834 
Fevereiro; 16.942 ; 15.943 ; 14.785 ; 13.158 ; 12.474 ; 12.272 ; 15.513 ; 14.224 ; 15.757 ; 15.727 ; 18.229 ; 20.362 ; 21.030 ; 19.123 ; 16.426 ; 19.096 ; 18.679 ; 17.047 ; 23.032 ; 24.129 ; 27.099 ; 20.211 ; 17.004 
Março; 17.425 ; 16.246 ; 15.513 ; 13.352 ; 13.481 ; 14.207 ; 17.487 ; 16.157 ; 16.878 ; 17.139 ; 19.891 ; 23.130 ; 20.114 ; 20.705 ; 17.616 ; 19.032 ; 18.668 ; 24.526 ; 24.915 ; 26.195 ; 19.443 ; 19.768 ; 20.109 
Abril; 16.144 ; 14.915 ; 15.377 ; 13.348 ; 13.543 ; 12.802 ; 14.620 ; 15.747 ; 15.490 ; 16.066 ; 18.739 ; 20.635 ; 20.844 ; 19.267 ; 15.836 ; 17.160 ; 16.957 ; 18.926 ; 23.441 ; 24.696 ; 3.631 ; 15.181 ; 19.950 
Maio; 15.371 ; 15.359 ; 15.396 ; 11.316 ; 13.823 ; 14.050 ; 16.391 ; 14.834 ; 16.392 ; 15.759 ; 18.673 ; 22.378 ; 20.142 ; 20.870 ; 17.142 ; 16.473 ; 16.687 ; 19.419 ; 21.221 ; 24.969 ; 4.784 ; 17.224 ; 20.564 
Junho; 14.391 ; 14.439 ; 14.593 ; 11.068 ; 13.133 ; 13.119 ; 14.099 ; 14.454 ; 16.004 ; 16.524 ; 18.311 ; 21.149 ; 19.904 ; 20.427 ; 20.775 ; 19.471 ; 17.174 ; 18.614 ; 25.363 ; 24.843 ; 6.662 ; 19.833 ; 18.466 
Julho; 15.714 ; 16.359 ; 15.840 ; 13.199 ; 14.212 ; 15.259 ; 15.378 ; 17.533 ; 17.594 ; 19.184 ; 20.922 ; 23.305 ; 21.588 ; 22.041 ; 19.492 ; 22.051 ; 19.478 ; 24.184 ; 29.603 ; 29.522 ; 8.372 ; 23.929 ;
Agosto; 14.965 ; 15.695 ; 37.601 ; 12.413 ; 13.556 ; 15.180 ; 13.304 ; 16.391 ; 16.105 ; 18.421 ; 20.447 ; 20.500 ; 20.192 ; 20.019 ; 17.482 ; 19.130 ; 19.380 ; 23.502 ; 26.215 ; 26.181 ; 10.325 ; 22.264 ;
Setembro; 15.483 ; 14.566 ; 14.665 ; 12.068 ; 12.913 ; 13.759 ; 12.992 ; 14.986 ; 15.922 ; 17.569 ; 20.325 ; 21.678 ; 20.201 ; 17.456 ; 16.045 ; 18.133 ; 16.891 ; 22.465 ; 24.508 ; 26.214 ; 12.225 ; 22.403 ;
Outubro; 15.396 ; 15.599 ; 14.786 ; 12.534 ; 12.755 ; 14.916 ; 13.608 ; 16.586 ; 16.176 ; 18.672 ; 21.556 ; 22.251 ; 21.258 ; 19.059 ; 16.948 ; 17.934 ; 17.854 ; 24.459 ; 25.336 ; 26.623 ; 16.073 ; 24.404 ;
Novembro; 16.184 ; 14.956 ; 13.047 ; 13.566 ; 13.032 ; 14.415 ; 13.978 ; 15.840 ; 18.388 ; 18.568 ; 22.817 ; 20.530 ; 20.908 ; 19.446 ; 18.159 ; 17.410 ; 16.001 ; 24.705 ; 24.569 ; 25.291 ; 18.292 ; 24.646 ;
Dezembro; 18.121 ; 15.713 ; 14.636 ; 13.899 ; 13.674 ; 17.526 ; 15.811 ; 16.847 ; 18.565 ; 20.171 ; 23.154 ; 22.084 ; 20.744 ; 20.027 ; 20.702 ; 20.228 ; 20.409 ; 28.218 ; 27.417 ; 28.934 ; 22.994 ; 28.846 ;
