UN. DA FEDERAÇÃO;PIAUÍ;;;;;;;;;;;;;;;;;;;;
PRODUTO;QUEROSENE DE AVIAÇÃO (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 2.052 ; 1.350 ; 1.568 ; 1.350 ; 1.232 ; 967 ; 983 ; 1.354 ; 1.504 ; 1.411 ; 1.287 ; 2.306 ; 2.442 ; 2.606 ; 2.365 ; 2.567 ; 2.547 ; 2.647 ; 2.278 ; 1.267 ; 2.048 
Fevereiro; 896 ; 1.228 ; 1.277 ; 971 ; 1.148 ; 768 ; 731 ; 1.108 ; 1.374 ; 1.238 ; 1.082 ; 1.930 ; 1.902 ; 1.915 ; 2.043 ; 2.097 ; 1.899 ; 1.828 ; 1.554 ; 2.008 ; 1.561 
Março; 898 ; 1.335 ; 1.254 ; 1.205 ; 1.193 ; 857 ; 889 ; 1.153 ; 1.410 ; 1.308 ; 1.487 ; 2.273 ; 1.887 ; 1.853 ; 2.169 ; 2.242 ; 1.821 ; 2.031 ; 1.724 ; 1.452 ; 1.174 
Abril; 695 ; 1.351 ; 1.266 ; 1.336 ; 1.088 ; 742 ; 756 ; 1.101 ; 1.341 ; 1.248 ; 1.205 ; 1.936 ; 1.925 ; 2.120 ; 1.942 ; 2.184 ; 1.464 ; 1.934 ; 1.538 ; 1.415 ; 233 
Maio; 700 ; 1.195 ; 1.360 ; 1.156 ; 1.043 ; 901 ; 893 ; 1.136 ; 1.441 ; 1.179 ; 1.271 ; 1.944 ; 2.240 ; 2.044 ; 2.155 ; 2.117 ; 1.720 ; 1.946 ; 1.646 ; 1.299 ; 336 
Junho; 804 ; 1.172 ; 1.127 ; 1.118 ; 1.066 ; 857 ; 1.010 ; 1.018 ; 1.487 ; 1.003 ; 1.248 ; 2.020 ; 1.979 ; 2.036 ; 2.095 ; 1.738 ; 1.738 ; 1.903 ; 1.589 ; 1.299 ; 479 
Julho; 1.014 ; 1.483 ; 1.214 ; 1.223 ; 1.314 ; 914 ; 872 ; 1.232 ; 1.682 ; 1.064 ; 1.349 ; 2.208 ; 2.088 ; 2.121 ; 2.357 ; 2.181 ; 1.841 ; 2.235 ; 1.912 ; 1.978 ; 536 
Agosto; 911 ; 1.278 ; 1.278 ; 1.053 ; 1.204 ; 963 ; 798 ; 996 ; 1.380 ; 997 ; 1.387 ; 2.131 ; 2.155 ; 2.065 ; 2.129 ; 1.755 ; 1.566 ; 1.905 ; 1.599 ; 1.785 ; 649 
Setembro; 850 ; 1.031 ; 1.016 ; 1.005 ; 1.223 ; 790 ; 745 ; 957 ; 1.556 ; 1.002 ; 1.554 ; 2.100 ; 1.858 ; 2.066 ; 2.145 ; 1.722 ; 1.535 ; 1.726 ; 1.473 ; 1.549 ; 865 
Outubro; 879 ; 1.310 ; 1.071 ; 1.155 ; 987 ; 807 ; 717 ; 1.200 ; 1.134 ; 1.006 ; 1.884 ; 2.417 ; 2.246 ; 2.190 ; 2.222 ; 1.736 ; 1.602 ; 1.739 ; 1.586 ; 1.640 ;
Novembro; 938 ; 1.224 ; 1.028 ; 1.032 ; 1.032 ; 748 ; 817 ; 1.239 ; 1.173 ; 1.097 ; 1.776 ; 2.232 ; 2.211 ; 2.135 ; 2.363 ; 1.886 ; 1.760 ; 1.959 ; 1.580 ; 1.472 ;
Dezembro; 1.195 ; 1.389 ; 1.039 ; 1.367 ; 1.144 ; 997 ; 1.291 ; 1.456 ; 1.411 ; 1.102 ; 1.890 ; 2.250 ; 2.189 ; 2.344 ; 2.787 ; 2.288 ; 2.253 ; 2.607 ; 1.926 ; 1.924 ;
Total do Ano; 11.833 ; 15.345 ; 14.498 ; 13.971 ; 13.674 ; 10.311 ; 10.502 ; 13.952 ; 16.892 ; 13.655 ; 17.421 ; 25.748 ; 25.122 ; 25.498 ; 26.771 ; 24.514 ; 21.746 ; 24.459 ; 20.405 ; 19.088 ; 7.881 
