UN. DA FEDERAÇÃO;RIO GRANDE DO SUL;;;;;;;;;;;;;;;;;;;;
PRODUTO;QUEROSENE DE AVIAÇÃO (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 9.319 ; 9.944 ; 9.031 ; 8.660 ; 8.132 ; 9.205 ; 10.139 ; 11.283 ; 10.566 ; 12.204 ; 13.806 ; 13.899 ; 17.764 ; 14.731 ; 17.763 ; 18.425 ; 16.732 ; 14.894 ; 17.330 ; 16.586 ; 14.750 
Fevereiro; 9.281 ; 8.548 ; 8.284 ; 7.357 ; 7.755 ; 8.198 ; 9.153 ; 10.196 ; 10.468 ; 11.081 ; 13.018 ; 12.948 ; 15.887 ; 12.550 ; 15.196 ; 15.540 ; 16.053 ; 13.621 ; 15.479 ; 15.677 ; 12.950 
Março; 9.645 ; 10.066 ; 9.093 ; 7.674 ; 10.029 ; 9.869 ; 11.356 ; 11.542 ; 11.382 ; 12.755 ; 14.159 ; 13.751 ; 18.118 ; 15.002 ; 16.539 ; 17.349 ; 14.697 ; 16.283 ; 16.220 ; 15.867 ; 6.673 
Abril; 8.658 ; 9.213 ; 9.629 ; 8.709 ; 9.501 ; 9.427 ; 10.001 ; 10.678 ; 12.414 ; 12.190 ; 13.376 ; 12.643 ; 15.178 ; 14.918 ; 16.881 ; 16.738 ; 13.344 ; 14.178 ; 15.902 ; 14.754 ; 2.846 
Maio; 8.928 ; 9.699 ; 9.720 ; 7.693 ; 8.714 ; 10.515 ; 11.781 ; 11.372 ; 11.965 ; 11.872 ; 12.486 ; 13.738 ; 17.127 ; 16.151 ; 17.119 ; 17.616 ; 14.015 ; 14.318 ; 15.312 ; 13.603 ; 1.519 
Junho; 7.989 ; 9.554 ; 8.070 ; 7.601 ; 9.149 ; 10.249 ; 9.877 ; 10.174 ; 10.103 ; 12.904 ; 12.853 ; 13.878 ; 15.638 ; 14.667 ; 15.518 ; 17.305 ; 13.093 ; 13.843 ; 15.497 ; 14.487 ; 2.046 
Julho; 10.344 ; 10.323 ; 8.533 ; 9.087 ; 9.583 ; 10.572 ; 9.622 ; 10.360 ; 11.260 ; 13.511 ; 14.212 ; 16.304 ; 17.465 ; 17.431 ; 17.643 ; 17.750 ; 13.237 ; 16.501 ; 16.258 ; 15.573 ; 2.202 
Agosto; 8.575 ; 11.219 ; 8.059 ; 8.164 ; 10.170 ; 11.027 ; 9.964 ; 10.135 ; 11.252 ; 13.155 ; 14.113 ; 16.051 ; 17.141 ; 16.395 ; 17.290 ; 18.756 ; 15.203 ; 16.892 ; 15.578 ; 15.560 ; 2.259 
Setembro; 8.922 ; 10.281 ; 9.998 ; 8.974 ; 9.252 ; 10.334 ; 10.994 ; 10.414 ; 11.123 ; 12.710 ; 13.591 ; 17.412 ; 15.038 ; 16.824 ; 16.160 ; 17.489 ; 14.415 ; 16.355 ; 15.258 ; 12.805 ; 2.895 
Outubro; 8.710 ; 10.535 ; 9.071 ; 9.495 ; 10.514 ; 11.447 ; 10.935 ; 11.650 ; 11.980 ; 13.301 ; 14.240 ; 17.357 ; 16.307 ; 17.253 ; 18.136 ; 16.946 ; 15.075 ; 16.525 ; 16.414 ; 12.023 ;
Novembro; 9.617 ; 9.794 ; 11.133 ; 7.596 ; 9.878 ; 10.914 ; 11.410 ; 13.522 ; 10.881 ; 14.097 ; 13.845 ; 17.670 ; 14.766 ; 16.454 ; 18.092 ; 16.145 ; 14.811 ; 17.030 ; 15.810 ; 12.265 ;
Dezembro; 9.511 ; 9.053 ; 8.036 ; 8.754 ; 9.469 ; 10.657 ; 11.483 ; 12.733 ; 11.993 ; 14.269 ; 14.026 ; 17.269 ; 14.431 ; 18.595 ; 18.155 ; 16.647 ; 14.315 ; 17.080 ; 16.753 ; 14.229 ;
Total do Ano; 109.498 ; 118.230 ; 108.657 ; 99.765 ; 112.148 ; 122.413 ; 126.714 ; 134.060 ; 135.387 ; 154.050 ; 163.725 ; 182.919 ; 194.858 ; 190.972 ; 204.491 ; 206.707 ; 174.989 ; 187.521 ; 191.811 ; 173.429 ; 48.141 
