Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 455 ; 224 ; 304 ; 309 ; 321 ; 212 ; 373 ; 529 ; 541 ; 650 ; 1.901 ; 1.012 ; 798 ; 633 ; 648 ; 461 ; 577 ; 746 ; 825 ; 937 ; 1.119 ; 988 ; 867 
Fevereiro; 530 ; 237 ; 280 ; 281 ; 309 ; 495 ; 428 ; 491 ; 413 ; 547 ; 2.303 ; 1.008 ; 659 ; 527 ; 575 ; 420 ; 582 ; 582 ; 861 ; 966 ; 1.024 ; 937 ; 852 
Março; 753 ; 236 ; 460 ; 313 ; 39 ; 600 ; 459 ; 581 ; 453 ; 626 ; 1.963 ; 757 ; 799 ; 468 ; 558 ; 741 ; 634 ; 796 ; 962 ; 1.176 ; 957 ; 921 ; 796 
Abril; 629 ; 273 ; 137 ; 268 ; 312 ; 591 ; 551 ; 558 ; 981 ; 646 ; 1.022 ; 564 ; 1.009 ; 726 ; 705 ; 721 ; 532 ; 648 ; 975 ; 1.069 ; 528 ; 683 ; 617 
Maio; 411 ; 395 ; 197 ; 193 ; 607 ; 481 ; 1.301 ; 500 ; 688 ; 599 ; 618 ; 618 ; 891 ; 890 ; 680 ; 622 ; 582 ; 721 ; 898 ; 1.026 ; 422 ; 933 ; 696 
Junho; 456 ; 122 ; 349 ; 381 ; 312 ; 829 ; 416 ; 906 ; 733 ; 716 ; 946 ; 739 ; 490 ; 505 ; 556 ; 507 ; 605 ; 656 ; 905 ; 975 ; 663 ; 994 ; 664 
Julho; 628 ; 264 ; 146 ; 42 ; 647 ; 332 ; 575 ; 589 ; 807 ; 892 ; 1.745 ; 567 ; 668 ; 601 ; 528 ; 550 ; 657 ; 799 ; 915 ; 1.065 ; 649 ; 1.035 ;
Agosto; 388 ; 270 ; 193 ; 274 ; 760 ; 407 ; 469 ; 659 ; 1.111 ; 617 ; 972 ; 1.029 ; 577 ; 537 ; 508 ; 607 ; 666 ; 879 ; 1.067 ; 944 ; 632 ; 975 ;
Setembro; 497 ; 210 ; 238 ; 421 ; 406 ; 276 ; 544 ; 579 ; 598 ; 850 ; 1.030 ; 1.027 ; 467 ; 667 ; 479 ; 647 ; 692 ; 777 ; 1.111 ; 1.054 ; 752 ; 1.058 ;
Outubro; 494 ; 212 ; 361 ; 646 ; 490 ; 482 ; 567 ; 752 ; 653 ; 489 ; 384 ; 787 ; 636 ; 488 ; 1.009 ; 557 ; 847 ; 782 ; 990 ; 1.001 ; 931 ; 1.261 ;
Novembro; 207 ; 455 ; 592 ; -   ; 388 ; 541 ; 478 ; 772 ; 732 ; 715 ; 803 ; 786 ; 636 ; 581 ; 588 ; 534 ; 688 ; 921 ; 932 ; 1.070 ; 853 ; 1.053 ;
Dezembro; 223 ; 187 ; 249 ; 304 ; 670 ; 636 ; 1.062 ; 794 ; 695 ; 495 ; 916 ; 715 ; 575 ; 557 ; 476 ; 488 ; 787 ; 816 ; 1.099 ; 1.038 ; 1.058 ; 1.159 ;
