UN. DA FEDERAÇÃO;SANTA CATARINA;;;;;;;;;;;;;;;;;;;;
PRODUTO;QUEROSENE DE AVIAÇÃO (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 7.127 ; 6.487 ; 6.349 ; 4.547 ; 4.230 ; 4.892 ; 5.401 ; 6.283 ; 6.311 ; 6.033 ; 7.057 ; 9.073 ; 10.904 ; 11.573 ; 9.981 ; 10.343 ; 12.694 ; 10.511 ; 12.715 ; 12.959 ; 7.266 
Fevereiro; 6.907 ; 6.797 ; 6.703 ; 4.018 ; 3.941 ; 4.408 ; 5.195 ; 6.056 ; 5.973 ; 5.403 ; 6.838 ; 8.548 ; 9.656 ; 9.859 ; 8.557 ; 7.848 ; 10.427 ; 9.062 ; 10.247 ; 9.553 ; 6.208 
Março; 5.472 ; 6.473 ; 5.542 ; 3.542 ; 3.861 ; 4.228 ; 5.123 ; 5.354 ; 5.428 ; 5.283 ; 6.463 ; 7.970 ; 9.361 ; 10.131 ; 8.592 ; 8.913 ; 10.426 ; 9.501 ; 8.915 ; 9.187 ; 3.450 
Abril; 4.976 ; 5.929 ; 6.012 ; 3.669 ; 3.217 ; 3.972 ; 4.223 ; 5.208 ; 4.673 ; 4.650 ; 5.768 ; 7.213 ; 9.025 ; 9.085 ; 8.095 ; 7.246 ; 8.295 ; 7.948 ; 7.788 ; 8.601 ; 284 
Maio; 4.600 ; 5.522 ; 4.997 ; 3.344 ; 3.294 ; 4.656 ; 4.551 ; 4.876 ; 4.850 ; 4.791 ; 5.782 ; 7.150 ; 8.445 ; 8.521 ; 7.967 ; 8.316 ; 7.155 ; 8.330 ; 6.351 ; 6.738 ; 687 
Junho; 4.225 ; 5.345 ; 4.997 ; 3.143 ; 3.679 ; 4.049 ; 4.337 ; 4.558 ; 4.431 ; 4.890 ; 5.912 ; 7.089 ; 8.176 ; 7.817 ; 7.017 ; 8.776 ; 7.805 ; 7.439 ; 6.669 ; 6.999 ; 728 
Julho; 4.609 ; 7.145 ; 2.901 ; 3.236 ; 3.575 ; 4.270 ; 4.169 ; 5.000 ; 4.779 ; 5.348 ; 6.003 ; 7.886 ; 8.216 ; 8.543 ; 8.789 ; 9.598 ; 8.270 ; 8.269 ; 8.134 ; 7.409 ; 843 
Agosto; 4.179 ; 6.270 ; 5.323 ; 2.807 ; 3.576 ; 4.336 ; 3.870 ; 4.533 ; 4.733 ; 5.326 ; 5.852 ; 7.454 ; 8.469 ; 8.378 ; 9.019 ; 9.992 ; 6.981 ; 8.969 ; 8.875 ; 7.149 ; 953 
Setembro; 4.559 ; 5.812 ; 3.837 ; 3.045 ; 3.599 ; 3.721 ; 3.920 ; 4.427 ; 4.793 ; 4.766 ; 6.104 ; 7.926 ; 9.520 ; 8.153 ; 8.635 ; 9.651 ; 6.579 ; 8.849 ; 8.270 ; 5.259 ; 1.212 
Outubro; 5.655 ; 6.935 ; 3.467 ; 3.127 ; 3.732 ; 4.234 ; 3.923 ; 5.559 ; 4.983 ; 4.818 ; 6.415 ; 8.479 ; 9.253 ; 8.411 ; 9.766 ; 10.029 ; 6.206 ; 8.819 ; 8.722 ; 5.101 ;
Novembro; 4.809 ; 6.104 ; 5.172 ; 2.899 ; 4.283 ; 4.079 ; 4.012 ; 5.118 ; 4.676 ; 4.856 ; 6.635 ; 8.560 ; 9.036 ; 8.409 ; 9.129 ; 9.898 ; 7.970 ; 8.869 ; 8.282 ; 4.509 ;
Dezembro; 5.109 ; 5.381 ; 3.641 ; 3.513 ; 3.975 ; 4.346 ; 4.906 ; 5.442 ; 5.547 ; 6.064 ; 8.002 ; 9.848 ; 10.854 ; 8.974 ; 10.064 ; 11.184 ; 9.432 ; 11.169 ; 10.485 ; 6.216 ;
Total do Ano; 62.227 ; 74.199 ; 58.940 ; 40.891 ; 44.963 ; 51.190 ; 53.630 ; 62.414 ; 61.177 ; 62.229 ; 76.833 ; 97.196 ; 110.917 ; 107.855 ; 105.611 ; 111.796 ; 102.240 ; 107.736 ; 105.454 ; 89.680 ; 21.630 
