Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 159.758 ; 200.673 ; 177.801 ; 161.260 ; 158.309 ; 160.452 ; 182.574 ; 174.131 ; 202.200 ; 190.804 ; 214.847 ; 231.209 ; 251.006 ; 230.275 ; 268.150 ; 265.494 ; 263.471 ; 250.946 ; 273.016 ; 291.657 ; 291.013 ; 190.277 ; 250.616 
Fevereiro; 150.456 ; 178.488 ; 160.697 ; 148.350 ; 149.825 ; 153.869 ; 161.352 ; 157.501 ; 184.575 ; 165.297 ; 186.325 ; 204.832 ; 226.274 ; 202.268 ; 235.011 ; 240.292 ; 226.291 ; 211.289 ; 231.672 ; 254.058 ; 261.024 ; 152.798 ; 224.221 
Março; 159.417 ; 211.259 ; 179.487 ; 157.830 ; 171.353 ; 181.130 ; 181.777 ; 179.382 ; 201.276 ; 187.425 ; 213.130 ; 231.195 ; 243.914 ; 246.518 ; 256.689 ; 256.379 ; 237.489 ; 233.809 ; 256.462 ; 272.209 ; 206.452 ; 151.184 ; 252.289 
Abril; 153.012 ; 190.369 ; 180.911 ; 157.453 ; 159.141 ; 166.628 ; 155.241 ; 166.969 ; 191.628 ; 179.015 ; 197.595 ; 222.480 ; 238.038 ; 230.595 ; 249.301 ; 246.836 ; 224.410 ; 222.287 ; 252.961 ; 255.267 ; 45.243 ; 132.700 ; 246.416 
Maio; 160.820 ; 200.138 ; 174.355 ; 155.913 ; 167.805 ; 172.683 ; 175.058 ; 174.983 ; 194.318 ; 186.975 ; 210.428 ; 229.274 ; 240.645 ; 235.106 ; 257.821 ; 249.575 ; 237.534 ; 229.441 ; 265.596 ; 255.645 ; 56.699 ; 156.279 ; 263.028 
Junho; 153.801 ; 189.660 ; 158.401 ; 149.815 ; 160.138 ; 171.713 ; 157.907 ; 170.312 ; 190.313 ; 184.192 ; 208.887 ; 221.593 ; 230.867 ; 230.863 ; 242.698 ; 238.984 ; 226.539 ; 227.725 ; 251.234 ; 241.147 ; 72.329 ; 163.846 ; 249.709 
Julho; 177.349 ; 202.813 ; 165.895 ; 165.981 ; 173.610 ; 182.364 ; 157.730 ; 182.581 ; 202.739 ; 197.516 ; 227.199 ; 240.371 ; 245.472 ; 244.874 ; 259.816 ; 264.895 ; 244.991 ; 248.116 ; 280.456 ; 270.216 ; 90.893 ; 193.637 ;
Agosto; 150.067 ; 197.991 ; 131.993 ; 152.735 ; 169.563 ; 184.632 ; 154.067 ; 179.643 ; 195.383 ; 192.740 ; 219.797 ; 234.210 ; 237.646 ; 249.366 ; 254.099 ; 247.464 ; 230.087 ; 241.219 ; 271.211 ; 266.428 ; 103.756 ; 188.540 ;
Setembro; 157.468 ; 177.766 ; 185.142 ; 160.763 ; 162.576 ; 176.384 ; 154.722 ; 173.248 ; 186.202 ; 189.291 ; 213.230 ; 233.697 ; 232.836 ; 237.718 ; 244.233 ; 245.890 ; 226.507 ; 228.907 ; 263.265 ; 268.774 ; 118.613 ; 192.612 ;
Outubro; 157.884 ; 184.945 ; 156.240 ; 166.621 ; 163.901 ; 174.689 ; 160.684 ; 189.408 ; 189.361 ; 202.033 ; 223.074 ; 242.411 ; 235.085 ; 250.118 ; 253.245 ; 253.184 ; 240.791 ; 246.646 ; 271.115 ; 279.574 ; 146.253 ; 202.957 ;
Novembro; 204.241 ; 172.276 ; 180.606 ; 152.807 ; 167.758 ; 171.355 ; 163.703 ; 184.293 ; 180.016 ; 194.837 ; 220.338 ; 237.935 ; 227.047 ; 244.447 ; 254.159 ; 240.777 ; 224.828 ; 241.131 ; 263.883 ; 279.739 ; 159.930 ; 221.560 ;
Dezembro; 203.091 ; 177.496 ; 153.031 ; 168.163 ; 172.158 ; 180.597 ; 176.081 ; 201.977 ; 188.072 ; 207.438 ; 231.610 ; 252.838 ; 233.293 ; 264.479 ; 260.667 ; 251.884 ; 240.180 ; 262.499 ; 285.411 ; 291.432 ; 184.968 ; 241.737 ;
