Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 1.118 ; 1.374 ; 1.788 ; 1.040 ; 1.154 ; 759 ; 909 ; 1.415 ; 1.930 ; 1.586 ; 1.863 ; 2.461 ; 3.002 ; 3.549 ; 3.282 ; 3.107 ; 3.471 ; 2.977 ; 3.094 ; 2.501 ; 2.897 ; 1.772 ; 1.744 
Fevereiro; 910 ; 1.254 ; 1.584 ; 730 ; 749 ; 706 ; 699 ; 1.135 ; 1.782 ; 1.235 ; 1.554 ; 2.074 ; 2.870 ; 2.746 ; 2.702 ; 2.453 ; 2.449 ; 2.273 ; 2.380 ; 1.767 ; 2.137 ; 1.463 ; 1.366 
Março; 1.102 ; 1.575 ; 1.287 ; 829 ; 766 ; 820 ; 776 ; 1.230 ; 1.805 ; 1.296 ; 1.784 ; 2.330 ; 3.014 ; 3.036 ; 3.075 ; 2.319 ; 2.421 ; 2.530 ; 2.561 ; 1.772 ; 1.238 ; 899 ; 1.697 
Abril; 811 ; 1.199 ; 1.694 ; 824 ; 612 ; 704 ; 596 ; 1.215 ; 1.740 ; 1.357 ; 1.752 ; 2.266 ; 2.992 ; 2.679 ; 2.816 ; 1.996 ; 1.839 ; 2.155 ; 2.486 ; 1.754 ; 106 ; 459 ; 1.542 
Maio; 1.049 ; 1.632 ; 1.489 ; 968 ; 685 ; 739 ; 841 ; 1.263 ; 1.859 ; 1.738 ; 1.856 ; 2.407 ; 3.214 ; 2.536 ; 2.907 ; 2.177 ; 2.127 ; 2.475 ; 1.928 ; 1.534 ; 138 ; 668 ; 1.455 
Junho; 999 ; 1.525 ; 1.775 ; 805 ; 869 ; 601 ; 838 ; 1.370 ; 1.923 ; 1.636 ; 1.801 ; 1.985 ; 3.122 ; 2.411 ; 2.840 ; 2.096 ; 2.162 ; 2.177 ; 2.047 ; 1.539 ; 336 ; 1.050 ; 1.351 
Julho; 1.409 ; 2.167 ; 1.013 ; 890 ; 844 ; 665 ; 857 ; 1.637 ; 1.935 ; 1.741 ; 1.992 ; 2.305 ; 3.396 ; 2.763 ; 3.166 ; 2.495 ; 2.191 ; -   ; 2.854 ; 1.955 ; 399 ; 1.091 ;
Agosto; 1.298 ; 1.787 ; 1.165 ; 880 ; 677 ; 571 ; 773 ; 1.249 ; 1.621 ; 1.676 ; 1.915 ; 2.165 ; 3.031 ; 2.924 ; 2.858 ; 2.229 ; 2.480 ; 2.242 ; 1.946 ; 1.597 ; 641 ; 1.066 ;
Setembro; 1.250 ; 1.619 ; 944 ; 653 ; 803 ; 494 ; 915 ; 1.345 ; 1.346 ; 1.622 ; 1.910 ; 2.186 ; 2.960 ; 2.969 ; 2.625 ; 2.158 ; 2.304 ; 2.456 ; 1.830 ; 1.468 ; 740 ; 1.115 ;
Outubro; 1.292 ; 1.809 ; 954 ; 800 ; 746 ; 842 ; 1.098 ; 1.465 ; 1.492 ; 1.626 ; 2.387 ; 2.209 ; 3.021 ; 3.168 ; 2.987 ; 2.296 ; 2.395 ; 2.699 ; 1.979 ; 1.494 ; 1.134 ; 1.323 ;
Novembro; 1.157 ; 1.623 ; 1.055 ; 541 ; 773 ; 875 ; 1.060 ; 1.720 ; 1.478 ; 1.457 ; 2.319 ; 2.042 ; 3.253 ; 2.937 ; 2.771 ; 2.629 ; 2.194 ; 2.664 ; 1.980 ; 2.030 ; 1.309 ; 1.196 ;
Dezembro; 1.423 ; 1.953 ; 915 ; 425 ; 694 ; 762 ; 1.310 ; 1.850 ; 1.524 ; 1.689 ; 2.401 ; 2.302 ; 3.337 ; 2.908 ; 2.955 ; 2.879 ; 2.387 ; 2.873 ; 2.371 ; 2.464 ; 1.660 ; 1.763 ;
