Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 0 ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Fevereiro; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 0 ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Março; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 0 ; 0 ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Abril; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Maio; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 ; 0 ; 0 ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Junho; -   ; -   ; -   ; 3 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 0 ; 0 ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Julho; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 0 ; -   ; -   ; -   ; -   ; -   ; -   ;
Agosto; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 0 ; -   ; 0 ; -   ; -   ; -   ; -   ; -   ; -   ;
Setembro; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 0 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;
Outubro; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 0 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ;
Novembro; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;
Dezembro; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;
