Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 281 ; 346 ; 336 ; 345 ; 400 ; 300 ; 195 ; 250 ; 110 ; 80 ; 100 ; 125 ; 90 ; 80 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Fevereiro; 273 ; 277 ; 306 ; 350 ; 400 ; 325 ; 220 ; 245 ; 115 ; 80 ; 70 ; 105 ; 90 ; 50 ; 5 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Março; 227 ; 395 ; 337 ; 341 ; 390 ; 335 ; 275 ; 245 ; 130 ; 85 ; 105 ; 110 ; 80 ; 100 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Abril; 333 ; 373 ; 466 ; 455 ; 390 ; 305 ; 225 ; 235 ; 120 ; 90 ; 100 ; 100 ; 90 ; 80 ; -   ; -   ; 5 ; -   ; -   ; -   ; -   ; -   ; -   
Maio; 291 ; 444 ; 363 ; 465 ; 375 ; 335 ; 255 ; 205 ; 110 ; 110 ; 80 ; 100 ; 100 ; 80 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Junho; 367 ; 351 ; 360 ; 375 ; 355 ; 325 ; 215 ; 130 ; 100 ; 100 ; 105 ; 90 ; 80 ; 5 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Julho; 246 ; 342 ; 401 ; 385 ; 360 ; 245 ; 165 ; 80 ; 100 ; 95 ; 60 ; 80 ; 40 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;
Agosto; 366 ; 297 ; 391 ; 320 ; 315 ; 255 ; 265 ; 120 ; 130 ; 95 ; 100 ; 130 ; 130 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;
Setembro; 228 ; 296 ; 292 ; 310 ; 440 ; 360 ; 220 ; 100 ; 100 ; 105 ; 110 ; 80 ; 80 ; 5 ; -   ; 5 ; -   ; -   ; -   ; -   ; -   ; -   ;
Outubro; 306 ; 376 ; 370 ; 366 ; 405 ; 240 ; 235 ; 105 ; 135 ; 95 ; 95 ; 95 ; 70 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;
Novembro; 351 ; 251 ; 335 ; 345 ; 380 ; 240 ; 250 ; 115 ; 95 ; 80 ; 95 ; 100 ; 100 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;
Dezembro; 216 ; 226 ; 321 ; 435 ; 410 ; 155 ; 120 ; 90 ; 70 ; 60 ; 80 ; 40 ; 60 ; -   ; 0 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;
