Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 705 ; 221 ; 517 ; 323 ; 234 ; 155 ; 162 ; 158 ; 98 ; 13 ; 9 ; 17 ; 16 ; 1 ; 80 ; 7 ; 22 ; 8 ; 14 ; 11 ; 25 ; 45 ; -   
Fevereiro; 939 ; 235 ; 372 ; 360 ; 240 ; 227 ; 173 ; 121 ; 113 ; 59 ; 2 ; 5 ; 1 ; 3 ; 58 ; -   ; 3 ; 8 ; 5 ; 18 ; 30 ; 4 ; 46 
Março; 550 ; 205 ; 390 ; 195 ; 194 ; 170 ; 99 ; 94 ; 87 ; 25 ; 2 ; 2 ; 1 ; 20 ; 35 ; 9 ; 8 ; 19 ; 20 ; 24 ; 19 ; 33 ; 168 
Abril; 505 ; 179 ; 388 ; 188 ; 184 ; 183 ; 128 ; 78 ; 93 ; 19 ; 31 ; 3 ; 1 ; 1 ; 61 ; 13 ; 15 ; 7 ; 33 ; 13 ; 26 ; 21 ; -   
Maio; 299 ; 338 ; 356 ; 249 ; 182 ; 128 ; 134 ; 146 ; 49 ; 34 ; 3 ; 3 ; 17 ; 22 ; 84 ; 9 ; 7 ; 9 ; 15 ; 17 ; 10 ; 13 ; 350 
Junho; 485 ; 204 ; 346 ; 219 ; 195 ; 199 ; 138 ; 123 ; 37 ; 26 ; 12 ; 3 ; 4 ; 20 ; 81 ; 11 ; 8 ; 28 ; 9 ; 15 ; 20 ; 56 ; 413 
Julho; 472 ; 316 ; 373 ; 279 ; 269 ; 128 ; 139 ; 108 ; 61 ; 9 ; 5 ; 4 ; 1 ; 2 ; 53 ; 30 ; 9 ; 9 ; 17 ; 34 ; 2 ; 5 ;
Agosto; 583 ; 504 ; 150 ; 251 ; 150 ; 238 ; 139 ; 141 ; 34 ; 14 ; 33 ; 19 ; 1 ; 36 ; 54 ; 32 ; 30 ; 29 ; 15 ; 22 ; 25 ; -   ;
Setembro; 511 ; 524 ; 303 ; 173 ; 275 ; 143 ; 83 ; 103 ; 5 ; 27 ; 26 ; 7 ; 1 ; 68 ; 18 ; 40 ; 6 ; 18 ; 14 ; 15 ; 5 ; -   ;
Outubro; 767 ; 609 ; 570 ; 221 ; 192 ; 70 ; 134 ; 94 ; 63 ; 24 ; 17 ; 3 ; 24 ; 61 ; 3 ; 47 ; 7 ; 23 ; 16 ; 11 ; 19 ; -   ;
Novembro; 599 ; 574 ; 318 ; 195 ; 212 ; 134 ; 128 ; 126 ; 25 ; 27 ; 5 ; 4 ; 3 ; 31 ; 4 ; 42 ; 9 ; 34 ; 22 ; 7 ; 5 ; -   ;
Dezembro; 254 ; 506 ; 347 ; 263 ; 256 ; 105 ; 153 ; 86 ; 26 ; 3 ; 4 ; 1 ; 0 ; 49 ; 3 ; 6 ; 4 ; 15 ; 20 ; 26 ; 22 ; -   ;
