Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 410 ; 315 ; 297 ; 319 ; 150 ; 195 ; 115 ; 77 ; 88 ; 58 ; 70 ; 20 ; 20 ; 3 ; 2 ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   
Fevereiro; 254 ; 210 ; 241 ; 183 ; 145 ; 135 ; 125 ; 38 ; 46 ; 56 ; 22 ; 22 ; 29 ; 2 ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Março; 249 ; 324 ; 283 ; 205 ; 150 ; 175 ; 165 ; 87 ; 67 ; 62 ; 47 ; 25 ; 59 ; 31 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Abril; 324 ; 260 ; 155 ; 80 ; 110 ; 148 ; 75 ; 53 ; 51 ; 48 ; 15 ; 23 ; 5 ; 2 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Maio; 385 ; 455 ; 256 ; 258 ; 170 ; 120 ; 140 ; 75 ; 73 ; 36 ; 48 ; 26 ; 52 ; 30 ; 3 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Junho; 309 ; 465 ; 214 ; 195 ; 133 ; 150 ; 145 ; 51 ; 33 ; 56 ; 31 ; 47 ; 5 ; 3 ; 0 ; -   ; 4 ; -   ; -   ; -   ; -   ; -   ; -   
Julho; 325 ; 241 ; 243 ; 235 ; 225 ; 165 ; 108 ; 74 ; 36 ; 56 ; 46 ; 15 ; 6 ; 3 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;
Agosto; 319 ; 326 ; 183 ; 230 ; 245 ; 120 ; 72 ; 73 ; 46 ; 32 ; 38 ; 5 ; 17 ; 32 ; 3 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ;
Setembro; 378 ; 352 ; 254 ; 180 ; 220 ; 115 ; 66 ; 88 ; 67 ; 61 ; 41 ; 51 ; 6 ; 2 ; 0 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;
Outubro; 350 ; 261 ; 222 ; 200 ; 130 ; 190 ; 92 ; 66 ; 53 ; 57 ; 27 ; 19 ; 37 ; 2 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;
Novembro; 280 ; 275 ; 188 ; 215 ; 220 ; 55 ; 61 ; 72 ; 41 ; 32 ; 20 ; 10 ; 6 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;
Dezembro; 157 ; 206 ; 203 ; 213 ; 125 ; 140 ; 62 ; 50 ; 56 ; 30 ; 41 ; 23 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;
