Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 5 ; 996 ; 516 ; 45 ; 35 ; 15 ; 15 ; 11 ; 15 ; 5 ; -   ; -   ; -   ; -   ; -   ; 0 ; -   ; -   ; 3 ; -   ; 4 ; -   ; 10 
Fevereiro; 105 ; 556 ; 146 ; 65 ; 50 ; 15 ; 10 ; 10 ; 5 ; 5 ; -   ; -   ; 15 ; -   ; -   ; -   ; -   ; -   ; 1 ; 14 ; 5 ; 5 ; -   
Março; 5 ; 1.313 ; 140 ; 50 ; 25 ; 15 ; 15 ; 10 ; 5 ; 5 ; -   ; -   ; -   ; -   ; -   ; -   ; 0 ; -   ; 1 ; -   ; -   ; 8 ; -   
Abril; 15 ; 934 ; 20 ; 32 ; 30 ; 5 ; 5 ; 10 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3 ; 3 ; 5 ; -   ; -   
Maio; 5 ; 457 ; 45 ; 30 ; 30 ; 15 ; 15 ; 5 ; 5 ; 5 ; 15 ; 15 ; -   ; -   ; 0 ; -   ; 5 ; 5 ; -   ; 2 ; -   ; -   ; -   
Junho; 30 ; 246 ; 40 ; 10 ; 10 ; 20 ; 13 ; 25 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 0 ; -   ; 5 ; 6 ; 2 ; -   ; -   
Julho; 5 ; 372 ; 35 ; 40 ; 40 ; 5 ; 5 ; -   ; -   ; 5 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; 5 ; -   ;
Agosto; 20 ; 407 ; 87 ; 40 ; 20 ; 15 ; 10 ; 15 ; 5 ; 5 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 9 ; -   ; -   ; 9 ;
Setembro; -   ; 306 ; 5 ; 40 ; 75 ; 10 ; 15 ; -   ; 40 ; -   ; -   ; -   ; -   ; 15 ; -   ; -   ; -   ; 1 ; 3 ; -   ; 2 ; 2 ;
Outubro; 150 ; 202 ; 65 ; 65 ; 25 ; 15 ; 10 ; 20 ; -   ; -   ; 15 ; -   ; -   ; -   ; -   ; 0 ; 5 ; -   ; 3 ; 12 ; -   ; 6 ;
Novembro; 1.030 ; 350 ; 15 ; 25 ; 50 ; 15 ; 20 ; -   ; 5 ; 15 ; -   ; -   ; 15 ; -   ; 15 ; -   ; -   ; -   ; 2 ; -   ; 3 ; -   ;
Dezembro; 665 ; 794 ; 35 ; 80 ; 5 ; 248 ; 10 ; 5 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 ; -   ; -   ; -   ; -   ;
