UN. DA FEDERAÇÃO;MATO GROSSO;;;;;;;;;;;;;;;;;;;;
PRODUTO;QUEROSENE ILUMINANTE (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 4 ; 302 ; -   ; 57 ; 35 ; 125 ; 80 ; 22 ; 45 ; -   ; 22 ; 60 ; -   ; -   ; 33 ; -   ; -   ; -   ; -   ; -   ; -   
Fevereiro; 25 ; 240 ; -   ; 84 ; 35 ; 116 ; 22 ; 80 ; 22 ; -   ; 60 ; 60 ; -   ; -   ; 24 ; -   ; -   ; -   ; -   ; -   ; -   
Março; 14 ; 375 ; -   ; 41 ; 1 ; 123 ; 57 ; 22 ; 22 ; -   ; 30 ; 75 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Abril; 34 ; 390 ; 35 ; 27 ; 35 ; 79 ; 23 ; 58 ; 46 ; -   ; 60 ; 60 ; -   ; 44 ; 43 ; -   ; -   ; -   ; -   ; -   ; -   
Maio; 11 ; 390 ; -   ; 44 ; 22 ; 10 ; 58 ; -   ; -   ; -   ; 45 ; 30 ; 44 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Junho; 38 ; 630 ; 30 ; 44 ; 65 ; 27 ; -   ; 35 ; -   ; -   ; 60 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Julho; -   ; 990 ; 30 ; 4 ; 74 ; 45 ; 35 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Agosto; -   ; 455 ; 30 ; 30 ; 22 ; 40 ; -   ; 35 ; -   ; -   ; -   ; 42 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Setembro; -   ; 480 ; 35 ; 30 ; 35 ; 35 ; 35 ; 35 ; (0); -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Outubro; -   ; 330 ; 24 ; -   ; -   ; 77 ; 35 ; -   ; 35 ; -   ; -   ; -   ; -   ; 78 ; -   ; -   ; -   ; -   ; -   ; -   ;
Novembro; -   ; 150 ; 24 ; 30 ; 35 ; 112 ; 30 ; -   ; -   ; -   ; -   ; 48 ; 44 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;
Dezembro; 720 ; -   ; 10 ; 22 ; -   ; 44 ; 35 ; 57 ; -   ; 21 ; 30 ; -   ; -   ; -   ; 40 ; -   ; -   ; -   ; -   ; -   ;
Total do Ano; 845 ; 4.732 ; 219 ; 411 ; 359 ; 833 ; 410 ; 344 ; 170 ; 21 ; 307 ; 375 ; 88 ; 122 ; 140 ; -   ; -   ; -   ; -   ; -   ; -   
