Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; -   ; 37 ; 20 ; 430 ; 665 ; 645 ; 15 ; -   ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Fevereiro; -   ; 17 ; 25 ; 500 ; 1.150 ; 740 ; 10 ; 12 ; -   ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Março; -   ; 5 ; 20 ; 530 ; 764 ; 644 ; 15 ; 15 ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Abril; -   ; 37 ; 40 ; 470 ; 865 ; 490 ; 16 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Maio; -   ; -   ; 100 ; 700 ; 1.630 ; 95 ; 15 ; 15 ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Junho; -   ; 40 ; 95 ; 605 ; 1.734 ; 27 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Julho; 15 ; 25 ; 265 ; 485 ; 535 ; -   ; 22 ; 15 ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;
Agosto; 21 ; 25 ; 260 ; 655 ; 635 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;
Setembro; 17 ; 5 ; 205 ; 385 ; 665 ; 29 ; 0 ; 15 ; (0); -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;
Outubro; 23 ; 15 ; 350 ; 445 ; 685 ; -   ; 15 ; -   ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;
Novembro; 36 ; 35 ; 325 ; 285 ; 1.005 ; 5 ; -   ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;
Dezembro; -   ; 5 ; 465 ; 580 ; 994 ; 31 ; 15 ; (0); -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;
