UN. DA FEDERAÇÃO;MINAS GERAIS;;;;;;;;;;;;;;;;;;;;
PRODUTO;QUEROSENE ILUMINANTE (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 661 ; 2.071 ; 1.851 ; 1.862 ; 957 ; 1.349 ; 663 ; 624 ; 652 ; 373 ; 221 ; 280 ; 364 ; 300 ; 290 ; 130 ; 210 ; 213 ; 202 ; 180 ; 100 
Fevereiro; 832 ; 2.639 ; 1.683 ; 1.802 ; 925 ; 803 ; 531 ; 502 ; 405 ; 151 ; 340 ; 255 ; 202 ; 205 ; 160 ; 140 ; 185 ; 85 ; 110 ; 160 ; 170 
Março; 661 ; 2.332 ; 1.292 ; 2.721 ; 959 ; 1.929 ; 693 ; 507 ; 480 ; 307 ; 340 ; 315 ; 329 ; 237 ; 145 ; 125 ; 225 ; 240 ; 130 ; 183 ; 160 
Abril; 816 ; 2.219 ; 912 ; 1.565 ; 754 ; 626 ; 424 ; 431 ; 528 ; 382 ; 240 ; 245 ; 265 ; 280 ; 80 ; 180 ; 265 ; 130 ; 245 ; 125 ; 85 
Maio; 1.231 ; 2.075 ; 1.397 ; 1.538 ; 1.357 ; 533 ; 607 ; 640 ; 428 ; 272 ; 290 ; 340 ; 305 ; 320 ; 220 ; 165 ; 187 ; 185 ; 155 ; 175 ; 225 
Junho; 1.408 ; 1.371 ; 2.269 ; 2.133 ; 1.979 ; 629 ; 723 ; 424 ; 255 ; 258 ; 295 ; 235 ; 269 ; 219 ; 173 ; 120 ; 180 ; 105 ; 200 ; 105 ; 170 
Julho; 1.482 ; 1.279 ; 2.140 ; 2.741 ; 2.375 ; 514 ; 673 ; 388 ; 389 ; 212 ; 235 ; 284 ; 265 ; 240 ; 170 ; 115 ; 130 ; 135 ; 207 ; 110 ; 190 
Agosto; 1.740 ; 1.806 ; 2.176 ; 2.775 ; 2.319 ; 581 ; 811 ; 542 ; 362 ; 287 ; 320 ; 285 ; 325 ; 155 ; 138 ; 170 ; 135 ; 165 ; 195 ; 150 ; 150 
Setembro; 1.650 ; 2.021 ; 1.829 ; 2.712 ; 1.981 ; 858 ; 566 ; 500 ; 300 ; 347 ; 310 ; 430 ; 254 ; 130 ; 160 ; 105 ; 160 ; 133 ; 145 ; 120 ; 150 
Outubro; 1.714 ; 2.344 ; 3.546 ; 2.040 ; 1.407 ; 461 ; 725 ; 584 ; 442 ; 194 ; 310 ; 295 ; 245 ; 305 ; 160 ; 165 ; 140 ; 85 ; 145 ; 135 ;
Novembro; 1.801 ; 2.652 ; 1.799 ; 1.929 ; 1.510 ; 365 ; 766 ; 516 ; 297 ; 283 ; 435 ; 375 ; 210 ; 200 ; 130 ; 210 ; 160 ; 145 ; 165 ; 130 ;
Dezembro; 1.079 ; 2.328 ; 821 ; 2.141 ; 1.049 ; 248 ; 642 ; 456 ; 227 ; 317 ; 285 ; 255 ; 192 ; 120 ; 65 ; 110 ; 138 ; 155 ; 155 ; 80 ;
Total do Ano; 15.076 ; 25.136 ; 21.716 ; 25.959 ; 17.572 ; 8.896 ; 7.827 ; 6.111 ; 4.764 ; 3.383 ; 3.621 ; 3.594 ; 3.225 ; 2.711 ; 1.891 ; 1.735 ; 2.115 ; 1.776 ; 2.054 ; 1.653 ; 1.250 
