Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 259 ; 299 ; 297 ; 191 ; 128 ; 107 ; 145 ; 90 ; 65 ; 65 ; 29 ; 47 ; 36 ; 20 ; 30 ; 15 ; 15 ; 15 ; 15 ; -   ; -   ; -   ; -   
Fevereiro; 399 ; 175 ; 180 ; 158 ; 118 ; 96 ; 100 ; 75 ; 70 ; 45 ; 37 ; 6 ; 20 ; 15 ; 15 ; 15 ; 15 ; -   ; 15 ; -   ; -   ; -   ; -   
Março; 247 ; 230 ; 225 ; 78 ; 118 ; 124 ; 100 ; 65 ; 70 ; 58 ; 42 ; 35 ; 40 ; 40 ; 30 ; 30 ; 30 ; 15 ; -   ; -   ; -   ; -   ; -   
Abril; 271 ; 624 ; 224 ; 143 ; 78 ; 107 ; 85 ; 70 ; 60 ; 50 ; 30 ; 25 ; 26 ; 15 ; 75 ; 15 ; -   ; 15 ; -   ; -   ; -   ; -   ; -   
Maio; 359 ; 323 ; 187 ; 113 ; 127 ; 92 ; 105 ; 85 ; 50 ; 57 ; 30 ; 42 ; 15 ; -   ; 45 ; 15 ; 30 ; 15 ; -   ; -   ; -   ; -   ; -   
Junho; 234 ; 320 ; 135 ; 133 ; 166 ; 113 ; 80 ; 50 ; 67 ; 25 ; 25 ; 21 ; 35 ; 20 ; 60 ; 30 ; -   ; 15 ; -   ; -   ; -   ; -   ; -   
Julho; 370 ; 196 ; 210 ; 130 ; 173 ; 124 ; 125 ; 80 ; 70 ; 68 ; 35 ; 26 ; 15 ; 15 ; 30 ; 15 ; 15 ; 15 ; -   ; -   ; -   ; -   ;
Agosto; 272 ; 225 ; 161 ; 176 ; 223 ; 150 ; 95 ; 95 ; 55 ; 53 ; 52 ; 32 ; 20 ; 15 ; 30 ; -   ; 30 ; 15 ; -   ; -   ; -   ; -   ;
Setembro; 302 ; 170 ; 209 ; 133 ; 153 ; 100 ; 90 ; 45 ; 55 ; 41 ; 38 ; 31 ; 15 ; 62 ; 45 ; 45 ; -   ; -   ; -   ; -   ; -   ; -   ;
Outubro; 232 ; 206 ; 222 ; 134 ; 162 ; 117 ; 103 ; 90 ; 48 ; 52 ; 40 ; 51 ; 30 ; 17 ; 15 ; 30 ; 15 ; 15 ; -   ; -   ; -   ; -   ;
Novembro; 283 ; 217 ; 169 ; 144 ; 127 ; 100 ; 91 ; 65 ; 85 ; 25 ; 39 ; 35 ; 15 ; 45 ; 30 ; 15 ; 15 ; 15 ; -   ; -   ; -   ; -   ;
Dezembro; 226 ; 205 ; 201 ; 127 ; 145 ; 135 ; 83 ; 80 ; 79 ; 55 ; 36 ; 10 ; 25 ; 30 ; 15 ; -   ; 30 ; 15 ; -   ; -   ; -   ; -   ;
