UN. DA FEDERAÇÃO;RIO GRANDE DO NORTE;;;;;;;;;;;;;;;;;;;;
PRODUTO;QUEROSENE ILUMINANTE (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 182 ; 80 ; 51 ; 60 ; 35 ; 68 ; 25 ; 98 ; 56 ; 76 ; 45 ; 15 ; 12 ; 10 ; 6 ; 5 ; 7 ; 0 ; -   ; 8 ; -   
Fevereiro; 166 ; 44 ; 47 ; 75 ; 45 ; 61 ; 25 ; 64 ; 93 ; 70 ; 78 ; 14 ; 18 ; 10 ; 7 ; 1 ; 1 ; 1 ; 7 ; 8 ; 5 
Março; 79 ; 62 ; 60 ; 45 ; 65 ; 54 ; 55 ; 90 ; 66 ; 65 ; 57 ; 36 ; 7 ; 1 ; 4 ; 16 ; 6 ; 4 ; 1 ; -   ; -   
Abril; 177 ; 57 ; 45 ; 40 ; 40 ; 73 ; 75 ; 51 ; 72 ; 54 ; 60 ; 6 ; 7 ; 13 ; 10 ; 8 ; 4 ; 8 ; 1 ; 1 ; -   
Maio; 125 ; 42 ; 45 ; 65 ; 55 ; 29 ; 40 ; 96 ; 40 ; 44 ; 45 ; 12 ; 8 ; 10 ; 8 ; 1 ; 5 ; -   ; -   ; 1 ; -   
Junho; 130 ; 72 ; 50 ; 60 ; 62 ; 50 ; 80 ; 44 ; 75 ; 63 ; 31 ; 19 ; 12 ; 1 ; 14 ; 2 ; 6 ; -   ; 4 ; -   ; 3 
Julho; 85 ; 82 ; 45 ; 50 ; 70 ; 80 ; 58 ; 111 ; 95 ; 33 ; 20 ; 10 ; 6 ; 6 ; 3 ; 5 ; 1 ; 12 ; 1 ; -   ; 2 
Agosto; 74 ; 105 ; 60 ; 85 ; 70 ; 35 ; 60 ; 79 ; 45 ; 58 ; 21 ; 78 ; 13 ; 5 ; 5 ; 8 ; 1 ; 16 ; -   ; 3 ; 4 
Setembro; 72 ; 97 ; 77 ; 55 ; 35 ; 35 ; 45 ; 75 ; 68 ; 23 ; 15 ; 40 ; 0 ; 10 ; 1 ; 7 ; -   ; -   ; 5 ; 4 ; 4 
Outubro; 75 ; 60 ; 60 ; 40 ; 35 ; 20 ; 30 ; 71 ; 49 ; 69 ; 42 ; 15 ; 15 ; 4 ; 9 ; 0 ; 1 ; 1 ; -   ; 6 ;
Novembro; 55 ; 62 ; 79 ; 50 ; 65 ; 25 ; 55 ; 68 ; 66 ; 44 ; 52 ; 43 ; 11 ; 4 ; 6 ; 5 ; 1 ; -   ; 4 ; 1 ;
Dezembro; 40 ; 61 ; 55 ; 75 ; 70 ; 5 ; 65 ; 80 ; 55 ; 51 ; 21 ; 41 ; 6 ; 7 ; 5 ; -   ; 1 ; 1 ; -   ; 4 ;
Total do Ano; 1.260 ; 824 ; 674 ; 700 ; 647 ; 535 ; 613 ; 926 ; 779 ; 651 ; 486 ; 329 ; 115 ; 80 ; 77 ; 56 ; 33 ; 43 ; 22 ; 35 ; 14 
