Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 4.032 ; 6.571 ; 7.853 ; 7.578 ; 2.740 ; 934 ; 970 ; 463 ; 461 ; 180 ; 136 ; 172 ; 118 ; 149 ; 110 ; 43 ; 20 ; 45 ; 10 ; -   ; 15 ; 15 ; 15 
Fevereiro; 2.874 ; 6.339 ; 8.097 ; 9.074 ; 2.003 ; 709 ; 760 ; 424 ; 358 ; 167 ; 137 ; 170 ; 93 ; 100 ; 68 ; 50 ; 5 ; 15 ; 25 ; 25 ; 25 ; 20 ; 15 
Março; 3.008 ; 7.747 ; 4.787 ; 8.595 ; 3.517 ; 844 ; 607 ; 482 ; 433 ; 132 ; 245 ; 176 ; 159 ; 86 ; 85 ; 231 ; 25 ; 40 ; 15 ; 30 ; 35 ; 15 ; 5 
Abril; 3.474 ; 7.145 ; 7.133 ; 5.988 ; 1.329 ; 744 ; 435 ; 308 ; 401 ; 160 ; 179 ; 203 ; 80 ; 127 ; 70 ; 63 ; 25 ; 10 ; 15 ; 50 ; 10 ; -   ; 20 
Maio; 3.843 ; 5.351 ; 6.042 ; 7.723 ; 1.327 ; 605 ; 466 ; 411 ; 397 ; 177 ; 157 ; 213 ; 156 ; 102 ; 97 ; 36 ; 40 ; 20 ; 45 ; 60 ; 15 ; 25 ; 10 
Junho; 4.319 ; 4.102 ; 9.264 ; 5.578 ; 724 ; 711 ; 659 ; 377 ; 416 ; 165 ; 195 ; 194 ; 105 ; 117 ; 40 ; 41 ; 25 ; 15 ; 25 ; 10 ; 25 ; 15 ; 15 
Julho; 4.480 ; 4.840 ; 9.253 ; 5.745 ; 7.578 ; 693 ; 438 ; 413 ; 390 ; 284 ; 186 ; 191 ; 76 ; 67 ; 38 ; 33 ; 20 ; 30 ; 35 ; 15 ; 15 ; -   ;
Agosto; 5.946 ; 8.438 ; 9.054 ; 9.346 ; 5.201 ; 1.034 ; 521 ; 460 ; 387 ; 130 ; 187 ; 195 ; 120 ; 136 ; 58 ; 28 ; 35 ; 10 ; 50 ; -   ; -   ; 13 ;
Setembro; 4.994 ; 7.204 ; 9.825 ; 12.247 ; 2.973 ; 1.429 ; 387 ; 418 ; 553 ; 151 ; 185 ; 178 ; 86 ; 66 ; 55 ; 53 ; 10 ; 30 ; -   ; 30 ; 25 ; 10 ;
Outubro; 3.982 ; 9.289 ; 9.926 ; 10.391 ; 4.232 ; 1.143 ; 377 ; 350 ; 418 ; 148 ; 220 ; 203 ; 152 ; 134 ; 73 ; 51 ; 35 ; 10 ; 5 ; 20 ; -   ; 5 ;
Novembro; 4.636 ; 8.691 ; 8.788 ; 4.844 ; 5.597 ; 800 ; 460 ; 430 ; 232 ; 153 ; 213 ; 180 ; 120 ; 105 ; 33 ; 15 ; 20 ; 30 ; 30 ; 15 ; 10 ; 10 ;
Dezembro; 4.439 ; 8.269 ; 9.225 ; 7.615 ; 4.992 ; 801 ; 348 ; 405 ; 136 ; 168 ; 169 ; 139 ; 101 ; 71 ; 60 ; 30 ; -   ; 10 ; 15 ; -   ; 5 ; 15 ;
