Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 50 ; -   ; -   ; -   ; -   ; -   ; 0 ; 0 ; 1 ; 0 ; -   ; 1 ; -   ; -   ; -   ; -   
Fevereiro; -   ; -   ; 10 ; -   ; -   ; -   ; -   ; -   ; 30 ; -   ; -   ; -   ; 15 ; 0 ; 1 ; 1 ; 0 ; -   ; 0 ; -   ; -   ; -   ; -   
Março; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; 60 ; -   ; -   ; -   ; -   ; -   ; 0 ; 1 ; 1 ; 0 ; -   ; -   ; -   ; -   ; -   ; -   
Abril; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 30 ; -   ; -   ; -   ; -   ; 0 ; 1 ; 1 ; 0 ; -   ; -   ; -   ; -   ; -   ; -   
Maio; 5 ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 0 ; 1 ; 1 ; 0 ; -   ; -   ; -   ; -   ; -   ; -   
Junho; 30 ; -   ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 0 ; 1 ; 0 ; 0 ; -   ; -   ; -   ; -   ; -   ; -   
Julho; 120 ; -   ; -   ; -   ; -   ; -   ; -   ; 30 ; -   ; -   ; -   ; -   ; -   ; 0 ; 1 ; 0 ; -   ; -   ; -   ; -   ; -   ; -   ;
Agosto; 75 ; 15 ; -   ; -   ; -   ; -   ; -   ; 30 ; 30 ; -   ; -   ; -   ; -   ; 0 ; 1 ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ;
Setembro; 210 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; (0); -   ; -   ; 15 ; -   ; 0 ; 1 ; 0 ; -   ; 1 ; -   ; -   ; -   ; -   ;
Outubro; 90 ; -   ; 15 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 0 ; 0 ; -   ; -   ; -   ; -   ; -   ; -   ;
Novembro; 30 ; -   ; -   ; -   ; -   ; -   ; -   ; 30 ; -   ; -   ; -   ; -   ; 0 ; 0 ; 0 ; 0 ; -   ; 0 ; -   ; -   ; -   ; -   ;
Dezembro; 30 ; 10 ; 5 ; -   ; -   ; -   ; -   ; 30 ; -   ; -   ; -   ; -   ; 0 ; 0 ; 1 ; 0 ; -   ; -   ; -   ; -   ; -   ; -   ;
