UN. DA FEDERAÇÃO;ACRE;;;;;;;;;;;;;;;;;;;;
PRODUTO;ÓLEO COMBUSTÍVEL (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Fevereiro; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Março; -   ; -   ; -   ; 169 ; -   ; -   ; -   ; 395 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Abril; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 91 ; 0 ; -   ; -   ; -   ; 100 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Maio; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 216 ; 0 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Junho; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 120 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Julho; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 0 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Agosto; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 28 ; -   ; 104 ; -   ; 136 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Setembro; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 29 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Outubro; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 0 ; -   ; -   ; -   ; 82 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;
Novembro; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;
Dezembro; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 0 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;
Total do Ano; -   ; -   ; -   ; 169 ; -   ; -   ; -   ; 822 ; 28 ; -   ; 134 ; -   ; 318 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
