UN. DA FEDERAÇÃO;ALAGOAS;;;;;;;;;;;;;;;;;;;;
PRODUTO;ÓLEO COMBUSTÍVEL (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 525 ; 488 ; 699 ; 588 ; 341 ; 211 ; 209 ; 191 ; 160 ; 197 ; 50 ; 86 ; 97 ; 42 ; -   ; 43 ; 43 ; 14 ; 14 ; -   ; -   
Fevereiro; 496 ; 361 ; 520 ; 519 ; 284 ; 146 ; 165 ; 124 ; 159 ; 101 ; 41 ; 70 ; 111 ; 56 ; 42 ; 43 ; 28 ; 14 ; -   ; 14 ; -   
Março; 616 ; 444 ; 557 ; 465 ; 394 ; 307 ; 316 ; 179 ; 117 ; 89 ; 119 ; 85 ; 84 ; 98 ; 70 ; 56 ; 42 ; 56 ; 27 ; 14 ; 41 
Abril; 623 ; 447 ; 599 ; 500 ; 187 ; 263 ; 226 ; 251 ; 91 ; 115 ; 81 ; 42 ; 28 ; 42 ; 110 ; 43 ; 14 ; 42 ; 14 ; 14 ; 41 
Maio; 638 ; 463 ; 490 ; 458 ; 255 ; 402 ; 212 ; 235 ; 91 ; 78 ; 94 ; 83 ; -   ; 42 ; 99 ; 56 ; 28 ; 14 ; 14 ; 14 ; 28 
Junho; 532 ; 473 ; 402 ; 304 ; 233 ; 233 ; 241 ; 160 ; 78 ; 38 ; 71 ; 14 ; 26 ; 56 ; 70 ; 56 ; 14 ; 42 ; 28 ; 42 ; 27 
Julho; 593 ; 598 ; 525 ; 291 ; 358 ; 267 ; 241 ; 105 ; 91 ; 100 ; 98 ; 182 ; -   ; 109 ; 84 ; 57 ; 28 ; 42 ; 28 ; 27 ; 41 
Agosto; 589 ; 411 ; 458 ; 349 ; 450 ; 148 ; 172 ; 122 ; 94 ; 94 ; 152 ; 153 ; 42 ; 54 ; 70 ; 70 ; 28 ; 29 ; 28 ; 28 ; 55 
Setembro; 505 ; 520 ; 587 ; 382 ; 291 ; 176 ; 277 ; 175 ; 89 ; 50 ; 213 ; 152 ; 28 ; 83 ; 56 ; 71 ; -   ; 42 ; 28 ; 28 ; 27 
Outubro; 423 ; 648 ; 679 ; 360 ; 172 ; 174 ; 216 ; 220 ; 128 ; 91 ; 193 ; 56 ; 61 ; 140 ; 43 ; 71 ; 28 ; 14 ; 29 ; 57 ;
Novembro; 491 ; 573 ; 500 ; 328 ; 286 ; 169 ; 283 ; 170 ; 89 ; 77 ; 152 ; 69 ; 84 ; 183 ; 87 ; 57 ; 14 ; 14 ; 14 ; 14 ;
Dezembro; 391 ; 490 ; 454 ; 437 ; 274 ; 232 ; 285 ; 162 ; 118 ; 25 ; 28 ; 112 ; 55 ; -   ; 57 ; 42 ; 28 ; 43 ; 14 ; 42 ;
Total do Ano; 6.422 ; 5.917 ; 6.469 ; 4.982 ; 3.525 ; 2.728 ; 2.843 ; 2.093 ; 1.305 ; 1.056 ; 1.291 ; 1.103 ; 617 ; 906 ; 788 ; 665 ; 298 ; 367 ; 239 ; 294 ; 260 
