UN. DA FEDERAÇÃO;AMAPÁ;;;;;;;;;;;;;;;;;;;;
PRODUTO;ÓLEO COMBUSTÍVEL (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Fevereiro; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Março; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Abril; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Maio; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Junho; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Julho; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Agosto; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Setembro; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 30 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
Outubro; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 58 ; -   ; -   ; -   ; 60 ; -   ; -   ; -   ; -   ; -   ;
Novembro; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 29 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;
Dezembro; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 29 ; -   ; -   ; -   ; 30 ; -   ; -   ; -   ; -   ; -   ;
Total do Ano; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 145 ; -   ; -   ; -   ; 90 ; -   ; -   ; -   ; -   ; -   ; -   
