UN. DA FEDERAÇÃO;AMAZONAS;;;;;;;;;;;;;;;;;;;;
PRODUTO;ÓLEO COMBUSTÍVEL (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 29.063 ; 40.010 ; 38.054 ; 29.808 ; 34.740 ; 37.991 ; 30.072 ; 81.023 ; 73.899 ; 55.558 ; 110.952 ; 52.090 ; 17.352 ; 43.318 ; 23.421 ; 19.175 ; 2.966 ; 2.670 ; 3.309 ; 2.802 ; 2.514 
Fevereiro; 26.559 ; 34.669 ; 31.596 ; 28.212 ; 35.057 ; 29.535 ; 19.699 ; 66.237 ; 68.296 ; 55.944 ; 95.196 ; 42.185 ; 12.287 ; 30.300 ; 24.183 ; 16.183 ; 3.875 ; 2.681 ; 2.379 ; 3.180 ; 1.948 
Março; 26.509 ; 27.714 ; 37.666 ; 36.699 ; 38.937 ; 32.964 ; 22.762 ; 79.611 ; 74.877 ; 71.070 ; 105.854 ; 39.715 ; 31.734 ; 25.311 ; 23.745 ; 15.899 ; 4.270 ; 3.141 ; 2.387 ; 2.827 ; 2.287 
Abril; 18.925 ; 31.627 ; 36.045 ; 37.820 ; 36.652 ; 32.538 ; 31.167 ; 80.822 ; 69.940 ; 81.589 ; 98.296 ; 37.061 ; 34.210 ; 22.979 ; 19.805 ; 13.283 ; 2.565 ; 2.713 ; 2.808 ; 3.036 ; 1.887 
Maio; 26.997 ; 32.620 ; 39.020 ; 41.622 ; 39.752 ; 31.459 ; 33.653 ; 45.104 ; 73.707 ; 83.251 ; 100.487 ; 34.026 ; 30.861 ; 19.938 ; 24.202 ; 17.511 ; 3.146 ; 2.856 ; 2.433 ; 2.507 ; 2.412 
Junho; 21.661 ; 30.443 ; 33.823 ; 34.038 ; 34.864 ; 26.608 ; 52.165 ; 76.113 ; 72.624 ; 79.804 ; 96.592 ; 34.286 ; 37.194 ; 26.430 ; 19.547 ; 6.451 ; 2.565 ; 2.695 ; 2.222 ; 2.622 ; 2.327 
Julho; 30.366 ; 31.539 ; 30.874 ; 39.004 ; 40.575 ; 35.757 ; 58.148 ; 76.364 ; 79.435 ; 86.477 ; 99.060 ; 37.273 ; 41.939 ; 22.821 ; 20.872 ; 4.594 ; 2.382 ; 2.852 ; 2.579 ; 4.339 ; 2.626 
Agosto; 24.398 ; 31.338 ; 35.040 ; 44.415 ; 40.711 ; 35.769 ; 56.477 ; 81.165 ; 84.511 ; 103.026 ; 99.173 ; 44.653 ; 50.620 ; 21.688 ; 15.104 ; 6.819 ; 3.162 ; 2.962 ; 3.043 ; 3.737 ; 2.497 
Setembro; 31.298 ; 36.652 ; 34.458 ; 34.490 ; 42.937 ; 36.677 ; 56.084 ; 76.616 ; 82.921 ; 110.715 ; 99.824 ; 37.748 ; 37.112 ; 29.161 ; 18.464 ; 6.132 ; 2.691 ; 2.829 ; 2.398 ; 3.053 ; 2.712 
Outubro; 38.177 ; 31.632 ; 34.510 ; 32.469 ; 38.252 ; 35.339 ; 63.248 ; 76.721 ; 84.996 ; 112.221 ; 68.448 ; 45.421 ; 37.705 ; 20.928 ; 17.688 ; 2.834 ; 3.272 ; 3.109 ; 2.581 ; 3.274 ;
Novembro; 28.735 ; 34.413 ; 34.265 ; 43.348 ; 41.021 ; 32.051 ; 62.969 ; 75.584 ; 75.956 ; 111.009 ; 50.587 ; 35.233 ; 35.407 ; 19.927 ; 13.789 ; 6.640 ; 3.166 ; 2.734 ; 2.915 ; 3.493 ;
Dezembro; 37.563 ; 33.029 ; 34.294 ; 45.267 ; 37.184 ; 31.953 ; 69.058 ; 73.369 ; 70.734 ; 100.582 ; 60.168 ; 34.659 ; 36.207 ; 24.889 ; 19.588 ; 3.044 ; 2.464 ; 2.628 ; 2.623 ; 3.331 ;
Total do Ano; 340.251 ; 395.686 ; 419.645 ; 447.192 ; 460.682 ; 398.641 ; 555.502 ; 888.730 ; 911.895 ; 1.051.246 ; 1.084.637 ; 474.349 ; 402.630 ; 307.689 ; 240.408 ; 118.564 ; 36.524 ; 33.868 ; 31.675 ; 38.200 ; 21.212 
