UN. DA FEDERAÇÃO;CEARÁ;;;;;;;;;;;;;;;;;;;;
PRODUTO;ÓLEO COMBUSTÍVEL (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 2.798 ; 1.755 ; 1.739 ; 816 ; 950 ; 671 ; 275 ; 324 ; 631 ; 347 ; 545 ; 358 ; 481 ; 18.207 ; 11.928 ; 20.219 ; 5.964 ; 2.176 ; 875 ; 879 ; 184 
Fevereiro; 2.031 ; 1.531 ; 1.899 ; 784 ; 801 ; 591 ; 190 ; 197 ; 322 ; 268 ; 429 ; 364 ; 1.938 ; 18.207 ; 13.877 ; 20.760 ; 5.154 ; 1.654 ; 646 ; 802 ; 43 
Março; 2.039 ; 4.585 ; 1.763 ; 673 ; 842 ; 672 ; 260 ; 231 ; 336 ; 373 ; 669 ; 524 ; 454 ; 17.054 ; 12.749 ; 22.606 ; 8.865 ; 3.098 ; 481 ; 803 ; 14 
Abril; 1.547 ; 1.660 ; 1.938 ; 761 ; 705 ; 605 ; 150 ; 219 ; 438 ; 409 ; 619 ; 394 ; 408 ; 9.975 ; 17.790 ; 19.592 ; 9.381 ; 2.936 ; 213 ; 56 ; 14 
Maio; 1.778 ; 2.652 ; 1.511 ; 783 ; 707 ; 941 ; 437 ; 242 ; 301 ; 411 ; 595 ; 402 ; 518 ; 14.800 ; 16.971 ; 14.505 ; 4.009 ; 1.702 ; 487 ; 226 ; -   
Junho; 1.697 ; 1.803 ; 1.351 ; 793 ; 710 ; 519 ; 297 ; 228 ; 302 ; 490 ; 623 ; 391 ; 1.021 ; 16.937 ; 12.341 ; 20.568 ; 3.209 ; 941 ; 817 ; 157 ; -   
Julho; 1.554 ; 1.571 ; 1.270 ; 718 ; 726 ; 370 ; 270 ; 302 ; 451 ; 580 ; 731 ; 386 ; 684 ; 5.653 ; 12.071 ; 16.014 ; 2.103 ; 700 ; 1.945 ; 144 ; 57 
Agosto; 2.041 ; 2.688 ; 1.126 ; 1.015 ; 950 ; 327 ; 336 ; 319 ; 371 ; 503 ; 751 ; 547 ; 739 ; 420 ; 18.579 ; 13.500 ; 2.587 ; 406 ; 1.338 ; 325 ; 199 
Setembro; 1.795 ; 1.725 ; 1.441 ; 1.057 ; 817 ; 304 ; 369 ; 267 ; 373 ; 560 ; 579 ; 473 ; 660 ; 5.638 ; 16.421 ; 13.715 ; 4.296 ; 797 ; 2.165 ; 328 ; 125 
Outubro; 1.813 ; 2.330 ; 1.601 ; 788 ; 668 ; 377 ; 386 ; 338 ; 420 ; 610 ; 637 ; 391 ; 2.762 ; 11.977 ; 19.040 ; 15.434 ; 6.298 ; 1.789 ; 1.257 ; 270 ;
Novembro; 2.161 ; 2.106 ; 1.309 ; 831 ; 958 ; 321 ; 285 ; 442 ; 315 ; 560 ; 577 ; 516 ; 7.268 ; 15.044 ; 17.620 ; 6.449 ; 5.635 ; 1.182 ; 1.720 ; 113 ;
Dezembro; 1.833 ; 1.695 ; 974 ; 720 ; 790 ; 429 ; 312 ; 561 ; 370 ; 730 ; 1.301 ; 430 ; 10.902 ; 10.448 ; 21.340 ; 7.524 ; 2.959 ; 676 ; 1.816 ; 85 ;
Total do Ano; 23.087 ; 26.102 ; 17.922 ; 9.738 ; 9.623 ; 6.126 ; 3.566 ; 3.670 ; 4.629 ; 5.842 ; 8.057 ; 5.178 ; 27.835 ; 144.357 ; 190.728 ; 190.885 ; 60.460 ; 18.056 ; 13.761 ; 4.187 ; 636 
