UN. DA FEDERAÇÃO;MINAS GERAIS;;;;;;;;;;;;;;;;;;;;
PRODUTO;ÓLEO COMBUSTÍVEL (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 111.464 ; 120.685 ; 99.779 ; 74.533 ; 66.976 ; 60.132 ; 60.466 ; 57.868 ; 77.005 ; 48.623 ; 43.568 ; 34.074 ; 25.971 ; 45.001 ; 27.839 ; 36.573 ; 12.328 ; 12.066 ; 10.990 ; 10.339 ; 8.661 
Fevereiro; 104.268 ; 110.534 ; 81.511 ; 70.632 ; 59.414 ; 58.291 ; 55.208 ; 56.791 ; 58.135 ; 42.811 ; 44.287 ; 33.986 ; 23.109 ; 34.709 ; 47.971 ; 32.704 ; 13.812 ; 13.065 ; 10.578 ; 10.192 ; 9.930 
Março; 122.311 ; 112.369 ; 84.654 ; 72.891 ; 72.509 ; 66.632 ; 61.381 ; 63.880 ; 57.283 ; 53.520 ; 58.153 ; 35.245 ; 23.594 ; 33.411 ; 50.210 ; 26.696 ; 15.667 ; 13.785 ; 11.254 ; 10.450 ; 9.522 
Abril; 117.615 ; 111.421 ; 86.067 ; 72.438 ; 67.325 ; 70.521 ; 56.373 ; 57.499 ; 51.841 ; 55.276 ; 55.185 ; 35.258 ; 25.666 ; 35.139 ; 50.348 ; 16.577 ; 12.725 ; 12.814 ; 12.765 ; 8.764 ; 7.535 
Maio; 110.484 ; 117.646 ; 99.702 ; 73.562 ; 62.311 ; 67.468 ; 61.073 ; 60.023 ; 64.320 ; 45.657 ; 53.681 ; 33.470 ; 28.277 ; 27.293 ; 50.827 ; 15.123 ; 13.618 ; 12.365 ; 11.221 ; 9.558 ; 7.608 
Junho; 116.267 ; 119.558 ; 100.999 ; 65.301 ; 57.417 ; 75.716 ; 62.869 ; 70.629 ; 66.079 ; 43.497 ; 55.257 ; 32.502 ; 27.893 ; 27.829 ; 46.408 ; 15.579 ; 15.388 ; 12.461 ; 14.296 ; 9.504 ; 8.045 
Julho; 116.305 ; 116.778 ; 91.689 ; 75.011 ; 61.522 ; 67.277 ; 63.887 ; 68.278 ; 70.703 ; 44.537 ; 55.890 ; 32.199 ; 29.517 ; 30.879 ; 39.566 ; 16.788 ; 14.557 ; 14.508 ; 13.513 ; 11.043 ; 7.713 
Agosto; 134.078 ; 126.469 ; 102.699 ; 67.176 ; 59.257 ; 70.324 ; 74.074 ; 70.275 ; 62.752 ; 48.079 ; 50.966 ; 31.682 ; 29.388 ; 28.505 ; 44.244 ; 17.549 ; 14.787 ; 15.067 ; 19.270 ; 9.239 ; 8.802 
Setembro; 112.075 ; 109.706 ; 91.025 ; 71.098 ; 63.753 ; 68.340 ; 67.361 ; 71.654 ; 57.085 ; 48.047 ; 51.509 ; 27.694 ; 24.439 ; 28.626 ; 33.851 ; 15.272 ; 14.364 ; 12.481 ; 18.176 ; 8.568 ; 8.759 
Outubro; 110.984 ; 116.163 ; 92.431 ; 68.176 ; 65.003 ; 69.878 ; 60.101 ; 63.782 ; 57.266 ; 46.618 ; 41.580 ; 22.263 ; 26.512 ; 28.370 ; 34.054 ; 13.382 ; 16.327 ; 18.315 ; 13.293 ; 11.921 ;
Novembro; 122.315 ; 106.685 ; 82.210 ; 63.061 ; 63.475 ; 64.808 ; 61.193 ; 60.575 ; 46.218 ; 45.222 ; 39.835 ; 28.101 ; 25.051 ; 25.505 ; 28.056 ; 13.228 ; 14.709 ; 14.847 ; 11.265 ; 10.441 ;
Dezembro; 107.936 ; 100.358 ; 79.569 ; 64.720 ; 67.085 ; 58.572 ; 54.846 ; 59.247 ; 48.708 ; 45.903 ; 37.025 ; 25.619 ; 23.311 ; 31.846 ; 38.043 ; 11.380 ; 13.131 ; 11.541 ; 9.953 ; 11.914 ;
Total do Ano; 1.386.102 ; 1.368.371 ; 1.092.334 ; 838.601 ; 766.047 ; 797.958 ; 738.832 ; 760.501 ; 717.395 ; 567.791 ; 586.935 ; 372.094 ; 312.727 ; 377.112 ; 491.418 ; 230.853 ; 171.413 ; 163.314 ; 156.573 ; 121.932 ; 76.575 
