UN. DA FEDERAÇÃO;PARANÁ;;;;;;;;;;;;;;;;;;;;
PRODUTO;ÓLEO COMBUSTÍVEL (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 36.762 ; 35.079 ; 29.284 ; 25.444 ; 14.855 ; 13.075 ; 12.218 ; 11.774 ; 17.947 ; 9.049 ; 8.747 ; 9.185 ; 7.703 ; 13.904 ; 11.611 ; 7.148 ; 9.892 ; 12.851 ; 14.141 ; 12.897 ; 12.588 
Fevereiro; 36.755 ; 27.571 ; 30.507 ; 24.271 ; 12.690 ; 12.692 ; 11.709 ; 12.397 ; 16.852 ; 10.266 ; 8.680 ; 10.068 ; 6.898 ; 11.177 ; 8.732 ; 6.934 ; 12.315 ; 15.104 ; 12.413 ; 8.667 ; 11.393 
Março; 44.394 ; 39.824 ; 31.046 ; 35.608 ; 18.185 ; 14.463 ; 15.368 ; 13.867 ; 18.742 ; 10.889 ; 9.884 ; 10.961 ; 7.346 ; 12.158 ; 10.786 ; 8.297 ; 22.264 ; 15.800 ; 8.922 ; 11.133 ; 12.125 
Abril; 44.688 ; 32.711 ; 37.303 ; 30.855 ; 15.605 ; 13.223 ; 12.510 ; 13.676 ; 21.192 ; 11.192 ; 10.768 ; 10.784 ; 8.167 ; 15.435 ; 12.290 ; 8.988 ; 19.721 ; 16.559 ; 11.946 ; 11.698 ; 12.264 
Maio; 42.581 ; 30.781 ; 33.262 ; 29.226 ; 14.879 ; 13.515 ; 14.842 ; 13.994 ; 22.915 ; 8.606 ; 9.548 ; 8.777 ; 9.630 ; 12.624 ; 15.535 ; 9.786 ; 17.340 ; 14.756 ; 9.239 ; 11.527 ; 11.508 
Junho; 32.604 ; 33.199 ; 33.721 ; 28.532 ; 19.404 ; 15.395 ; 11.414 ; 13.902 ; 19.013 ; 10.319 ; 11.188 ; 11.280 ; 9.044 ; 14.792 ; 5.840 ; 9.022 ; 18.506 ; 13.959 ; 14.557 ; 12.520 ; 12.637 
Julho; 42.560 ; 41.572 ; 30.554 ; 31.816 ; 18.630 ; 13.885 ; 12.615 ; 17.047 ; 16.155 ; 10.373 ; 10.406 ; 8.239 ; 9.945 ; 15.180 ; 13.696 ; 7.717 ; 16.492 ; 10.994 ; 13.019 ; 12.442 ; 15.419 
Agosto; 43.473 ; 40.834 ; 31.899 ; 19.477 ; 14.836 ; 14.652 ; 12.049 ; 15.615 ; 12.776 ; 10.393 ; 11.599 ; 9.783 ; 7.689 ; 12.711 ; 12.347 ; 8.660 ; 15.385 ; 12.599 ; 10.956 ; 14.300 ; 12.395 
Setembro; 38.933 ; 32.245 ; 29.669 ; 16.968 ; 15.980 ; 14.330 ; 13.949 ; 13.539 ; 12.033 ; 10.411 ; 11.056 ; 7.947 ; 6.696 ; 12.332 ; 8.865 ; 8.583 ; 9.921 ; 11.595 ; 13.645 ; 13.478 ; 14.526 
Outubro; 40.374 ; 35.805 ; 34.291 ; 18.297 ; 14.676 ; 13.976 ; 12.875 ; 16.229 ; 17.261 ; 11.623 ; 11.625 ; 6.649 ; 12.665 ; 11.392 ; 10.352 ; 9.194 ; 11.927 ; 12.044 ; 11.857 ; 16.014 ;
Novembro; 38.330 ; 32.388 ; 30.221 ; 14.126 ; 15.051 ; 13.904 ; 11.634 ; 16.660 ; 12.925 ; 8.263 ; 10.248 ; 9.020 ; 13.435 ; 10.275 ; 9.306 ; 9.962 ; 9.867 ; 11.995 ; 11.969 ; 14.300 ;
Dezembro; 35.973 ; 27.443 ; 25.649 ; 14.410 ; 15.260 ; 13.628 ; 10.130 ; 15.634 ; 8.582 ; 7.688 ; 10.365 ; 7.080 ; 11.376 ; 10.608 ; 8.448 ; 9.166 ; 12.711 ; 11.727 ; 11.981 ; 11.558 ;
Total do Ano; 477.427 ; 409.451 ; 377.406 ; 289.030 ; 190.052 ; 166.738 ; 151.314 ; 174.334 ; 196.392 ; 119.070 ; 124.115 ; 109.775 ; 110.596 ; 152.589 ; 127.806 ; 103.456 ; 176.340 ; 159.982 ; 144.643 ; 150.534 ; 114.854 
