UN. DA FEDERAÇÃO;PERNAMBUCO;;;;;;;;;;;;;;;;;;;;
PRODUTO;ÓLEO COMBUSTÍVEL (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 11.042 ; 6.834 ; 5.577 ; 3.585 ; 14.615 ; 2.284 ; 2.210 ; 1.378 ; 8.545 ; 1.346 ; 1.064 ; 1.512 ; 1.155 ; 48.485 ; 54.106 ; 37.559 ; 48.088 ; 25.856 ; 13.944 ; 7.048 ; 436 
Fevereiro; 11.129 ; 4.972 ; 4.984 ; 3.265 ; 2.207 ; 2.234 ; 1.782 ; 1.233 ; 7.771 ; 1.060 ; 1.022 ; 1.724 ; 1.141 ; 41.011 ; 47.645 ; 57.862 ; 32.954 ; 12.667 ; 11.148 ; 21.733 ; 230 
Março; 11.542 ; 6.664 ; 4.826 ; 3.230 ; 2.622 ; 2.468 ; 1.802 ; 1.994 ; 7.284 ; 1.206 ; 1.732 ; 1.766 ; 1.175 ; 48.905 ; 33.586 ; 57.771 ; 27.500 ; 42.949 ; 40.736 ; 17.089 ; 210 
Abril; 8.119 ; 6.233 ; 4.166 ; 3.707 ; 2.218 ; 2.207 ; 1.547 ; 1.339 ; 2.439 ; 705 ; 1.265 ; 1.533 ; 1.254 ; 43.592 ; 45.881 ; 41.768 ; 42.207 ; 25.863 ; 17.369 ; 13.220 ; 213 
Maio; 9.839 ; 5.924 ; 4.171 ; 3.407 ; 1.954 ; 2.137 ; 2.499 ; 1.405 ; 6.518 ; 991 ; 1.163 ; 1.571 ; 1.874 ; 61.067 ; 35.645 ; 37.153 ; 25.290 ; 9.028 ; 549 ; 8.229 ; 141 
Junho; 8.529 ; 5.664 ; 4.158 ; 3.082 ; 2.648 ; 2.317 ; 1.603 ; 1.333 ; 7.542 ; 865 ; 1.111 ; 1.465 ; 1.045 ; 51.988 ; 43.380 ; 43.875 ; 21.358 ; 18.402 ; 407 ; 268 ; 147 
Julho; 9.625 ; 6.082 ; 4.144 ; 3.392 ; 2.632 ; 2.495 ; 1.460 ; 1.369 ; 1.530 ; 1.339 ; 1.339 ; 4.115 ; 995 ; 6.984 ; 39.885 ; 31.602 ; 12.375 ; 18.579 ; 3.969 ; 287 ; 56 
Agosto; 10.077 ; 6.180 ; 4.712 ; 3.081 ; 3.113 ; 2.407 ; 1.552 ; 1.381 ; 542 ; 1.402 ; 1.023 ; 1.199 ; 1.584 ; 1.990 ; 79.277 ; 56.666 ; 11.228 ; 49.281 ; 62.672 ; 228 ; 31 
Setembro; 9.534 ; 4.727 ; 6.520 ; 3.096 ; 2.966 ; 2.952 ; 1.510 ; 1.239 ; 724 ; 1.674 ; 1.115 ; 3.456 ; 2.130 ; 29.780 ; 71.672 ; 48.439 ; 25.394 ; 60.328 ; 42.280 ; 226 ; 156 
Outubro; 7.765 ; 5.432 ; 5.920 ; 3.036 ; 2.620 ; 2.035 ; 1.777 ; 1.424 ; 966 ; 1.905 ; 1.394 ; 3.933 ; 11.161 ; 38.480 ; 72.202 ; 40.916 ; 42.087 ; 71.178 ; 4.023 ; 669 ;
Novembro; 8.703 ; 5.328 ; 4.032 ; 3.067 ; 2.257 ; 2.065 ; 2.508 ; 1.153 ; 760 ; 1.179 ; 1.338 ; 2.843 ; 19.070 ; 32.399 ; 73.662 ; 52.516 ; 26.995 ; 46.416 ; 822 ; 432 ;
Dezembro; 6.942 ; 4.569 ; 3.883 ; 6.346 ; 2.427 ; 3.066 ; 965 ; 4.738 ; 1.270 ; 999 ; 1.653 ; 2.728 ; 15.856 ; 30.110 ; 64.062 ; 35.245 ; 29.478 ; 12.564 ; 10.819 ; 215 ;
Total do Ano; 112.847 ; 68.608 ; 57.092 ; 42.292 ; 42.277 ; 28.668 ; 21.215 ; 19.984 ; 45.889 ; 14.673 ; 15.220 ; 27.845 ; 58.440 ; 434.790 ; 661.002 ; 541.372 ; 344.955 ; 393.111 ; 208.738 ; 69.644 ; 1.620 
