UN. DA FEDERAÇÃO;PIAUÍ;;;;;;;;;;;;;;;;;;;;
PRODUTO;ÓLEO COMBUSTÍVEL (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 393 ; 13.710 ; 647 ; 442 ; 473 ; 93 ; 115 ; 117 ; 209 ; 108 ; 294 ; 317 ; 208 ; 157 ; 573 ; 77 ; 29 ; 54 ; 39 ; 27 ; 27 
Fevereiro; 433 ; 12.403 ; 491 ; 467 ; 416 ; 79 ; 44 ; 85 ; 117 ; 72 ; 600 ; 118 ; 192 ; 174 ; 600 ; 91 ; 59 ; 53 ; 27 ; 40 ; 26 
Março; 384 ; 17.942 ; 459 ; 377 ; 452 ; 139 ; 71 ; 60 ; 159 ; 146 ; 621 ; 134 ; 295 ; 204 ; 302 ; 70 ; 58 ; 40 ; 26 ; 13 ; 26 
Abril; 335 ; 14.676 ; 561 ; 442 ; 422 ; 58 ; 101 ; 126 ; 297 ; 169 ; 368 ; 384 ; 511 ; 172 ; 231 ; 86 ; 88 ; 13 ; 38 ; 27 ; -   
Maio; 455 ; 17.438 ; 657 ; 521 ; 417 ; 66 ; 99 ; 188 ; 85 ; 568 ; 344 ; 571 ; 530 ; 244 ; 220 ; 116 ; 57 ; 40 ; 27 ; 13 ; 39 
Junho; 387 ; 3.701 ; 699 ; 423 ; 526 ; 59 ; 102 ; 174 ; 280 ; 556 ; 723 ; 239 ; 594 ; 172 ; 264 ; 73 ; 28 ; 38 ; 25 ; 53 ; 13 
Julho; 386 ; 1.968 ; 606 ; 523 ; 491 ; 72 ; 85 ; 225 ; 333 ; 387 ; 658 ; 215 ; 653 ; 318 ; 321 ; 101 ; 56 ; 27 ; 26 ; 80 ; 13 
Agosto; 474 ; 1.267 ; 547 ; 434 ; 625 ; 98 ; 148 ; 217 ; 306 ; 781 ; 849 ; 307 ; 499 ; 495 ; 309 ; 99 ; 56 ; 26 ; 40 ; 27 ; 39 
Setembro; 409 ; 703 ; 529 ; 416 ; 664 ; 114 ; 204 ; 174 ; 245 ; 724 ; 603 ; 301 ; 121 ; 295 ; 463 ; 43 ; 42 ; 26 ; 40 ; 40 ; 39 
Outubro; 463 ; 618 ; 587 ; 564 ; 506 ; 58 ; 147 ; 184 ; 263 ; 568 ; 337 ; 319 ; 90 ; 321 ; 710 ; 29 ; 28 ; 79 ; 27 ; 13 ;
Novembro; 8.870 ; 470 ; 533 ; 466 ; 606 ; 103 ; 119 ; 203 ; 165 ; 673 ; 230 ; 117 ; 146 ; 247 ; 146 ; 30 ; 42 ; 53 ; 27 ; 40 ;
Dezembro; 7.092 ; 639 ; 589 ; 704 ; 171 ; 116 ; 143 ; 132 ; 226 ; 368 ; 411 ; 144 ; 85 ; 292 ; 159 ; 28 ; 29 ; 40 ; 14 ; 27 ;
Total do Ano; 20.081 ; 85.536 ; 6.904 ; 5.779 ; 5.769 ; 1.056 ; 1.378 ; 1.884 ; 2.686 ; 5.120 ; 6.038 ; 3.165 ; 3.924 ; 3.090 ; 4.299 ; 841 ; 574 ; 487 ; 357 ; 399 ; 223 
