Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 91.780 ; 65.865 ; 90.471 ; 22.873 ; 6.024 ; 20.119 ; 7.610 ; 6.649 ; 4.092 ; 4.128 ; 2.677 ; 4.193 ; 2.943 ; 2.524 ; 2.543 ; 2.870 ; 673 ; 1.947 ; 977 ; 384 ; 646 ; 4.585 ; 124 
Fevereiro; 99.775 ; 54.775 ; 43.193 ; 13.409 ; 5.037 ; 24.594 ; 7.312 ; 3.181 ; 11.869 ; 3.413 ; 3.083 ; 3.974 ; 2.692 ; 1.414 ; 2.138 ; 1.694 ; 557 ; 464 ; 2.556 ; 474 ; 2.588 ; 3.575 ; 1.767 
Março; 96.653 ; 64.279 ; 51.125 ; 18.638 ; 34.535 ; 24.884 ; 5.785 ; 3.666 ; 9.185 ; 3.880 ; 3.623 ; 4.416 ; 2.250 ; 2.136 ; 1.978 ; 2.974 ; 1.370 ; 2.365 ; 358 ; 326 ; 1.970 ; 1.171 ; 1.003 
Abril; 72.018 ; 43.439 ; 76.920 ; 5.778 ; 29.340 ; 6.216 ; 6.646 ; 3.426 ; 4.774 ; 3.246 ; 3.027 ; 2.581 ; 1.361 ; 1.997 ; 1.742 ; 1.328 ; 1.149 ; 3.636 ; 827 ; 207 ; 3.339 ; 1.028 ; 76 
Maio; 81.167 ; 75.500 ; 44.336 ; 7.905 ; 6.828 ; 7.351 ; 4.591 ; 3.944 ; 4.224 ; 3.877 ; 4.242 ; 3.303 ; 3.868 ; 4.001 ; 2.506 ; 2.526 ; 1.823 ; 4.206 ; 488 ; 484 ; 643 ; 66 ; 2.024 
Junho; 87.029 ; 92.900 ; 34.647 ; 10.429 ; 6.963 ; 8.444 ; 3.919 ; 3.897 ; 3.375 ; 3.890 ; 6.066 ; 2.827 ; 2.084 ; 3.123 ; 2.785 ; 2.345 ; 1.542 ; 757 ; 914 ; 2.927 ; 328 ; 2.034 ; 2.251 
Julho; 83.420 ; 97.421 ; 46.921 ; 21.174 ; 7.249 ; 7.779 ; 4.047 ; 8.389 ; 3.298 ; 3.987 ; 3.752 ; 5.320 ; 1.709 ; 2.467 ; 2.339 ; 2.016 ; 1.307 ; 4.945 ; 432 ; 2.101 ; 291 ; 706 ;
Agosto; 101.185 ; 72.798 ; 50.574 ; 35.351 ; 6.818 ; 7.405 ; 5.005 ; 4.654 ; 2.846 ; 3.902 ; 4.023 ; 4.197 ; 2.113 ; 2.958 ; 2.854 ; 1.377 ; 1.519 ; 4.223 ; 585 ; 1.060 ; 729 ; 121 ;
Setembro; 79.258 ; 75.321 ; 29.399 ; 29.896 ; 6.944 ; 4.537 ; 3.993 ; 3.355 ; 5.717 ; 5.151 ; 4.302 ; 2.819 ; 2.519 ; 1.888 ; 1.686 ; 635 ; 1.150 ; 5.087 ; 468 ; 906 ; 654 ; 100 ;
Outubro; 79.823 ; 94.052 ; 32.638 ; 25.865 ; 7.552 ; 5.924 ; 4.354 ; 4.281 ; 7.318 ; 3.925 ; 3.314 ; 2.757 ; 2.002 ; 3.321 ; 1.836 ; 1.740 ; 432 ; 3.951 ; 643 ; 220 ; 1.048 ; 100 ;
Novembro; 56.217 ; 69.657 ; 30.306 ; 14.833 ; 7.152 ; 5.310 ; 4.259 ; 4.518 ; 3.148 ; 3.613 ; 3.198 ; 2.776 ; 2.408 ; 2.218 ; 2.096 ; 1.137 ; 830 ; 1.072 ; 1.897 ; 2.614 ; 719 ; 714 ;
Dezembro; 62.584 ; 98.577 ; 37.887 ; 6.921 ; 6.713 ; 7.569 ; 5.251 ; 5.349 ; 3.986 ; 4.034 ; 3.073 ; 3.433 ; 3.318 ; 2.970 ; 3.703 ; 1.221 ; 2.370 ; 756 ; 870 ; 673 ; 1.195 ; 163 ;
