Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 37.685 ; 29.672 ; 30.398 ; 25.193 ; 21.245 ; 21.464 ; 19.211 ; 15.765 ; 17.922 ; 11.772 ; 12.044 ; 13.150 ; 11.837 ; 19.689 ; 12.218 ; 7.638 ; 7.951 ; 5.954 ; 3.265 ; 4.079 ; 3.192 ; 3.322 ; 3.096 
Fevereiro; 36.048 ; 24.755 ; 25.046 ; 22.123 ; 23.369 ; 19.796 ; 18.294 ; 13.648 ; 12.897 ; 12.927 ; 12.492 ; 11.322 ; 11.198 ; 8.095 ; 10.169 ; 7.168 ; 4.453 ; 5.712 ; 3.549 ; 2.800 ; 2.527 ; 2.897 ; 2.681 
Março; 34.840 ; 30.244 ; 30.201 ; 24.013 ; 24.423 ; 20.824 ; 19.915 ; 17.016 ; 16.482 ; 11.630 ; 12.061 ; 12.228 ; 10.218 ; 8.108 ; 7.651 ; 7.002 ; 8.445 ; 7.665 ; 6.183 ; 5.728 ; 4.273 ; 4.098 ; 2.377 
Abril; 30.558 ; 31.697 ; 33.752 ; 27.944 ; 23.808 ; 20.054 ; 19.208 ; 16.626 ; 17.045 ; 10.246 ; 13.101 ; 12.578 ; 13.001 ; 8.932 ; 11.283 ; 11.080 ; 5.016 ; 5.654 ; 3.239 ; 6.923 ; 4.443 ; 3.268 ; 2.851 
Maio; 36.489 ; 50.060 ; 35.212 ; 30.985 ; 23.732 ; 20.316 ; 19.538 ; 16.736 ; 21.703 ; 10.080 ; 12.884 ; 12.819 ; 11.040 ; 7.281 ; 12.636 ; 21.776 ; 7.167 ; 5.868 ; 3.738 ; 5.559 ; 3.294 ; 3.028 ; 4.410 
Junho; 45.013 ; 46.568 ; 31.979 ; 28.194 ; 24.310 ; 24.530 ; 17.568 ; 15.619 ; 26.306 ; 10.988 ; 14.210 ; 11.204 ; 10.743 ; 7.886 ; 9.690 ; 12.054 ; 7.798 ; 7.184 ; 6.256 ; 3.565 ; 3.380 ; 3.230 ; 5.320 
Julho; 50.273 ; 38.087 ; 33.516 ; 28.034 ; 29.095 ; 19.973 ; 17.442 ; 15.261 ; 19.249 ; 11.988 ; 16.091 ; 11.274 ; 11.917 ; 6.774 ; 10.239 ; 12.340 ; 9.958 ; 6.625 ; 4.953 ; 5.799 ; 5.666 ; 3.907 ;
Agosto; 52.663 ; 35.619 ; 33.856 ; 27.919 ; 25.402 ; 25.356 ; 18.175 ; 19.033 ; 15.979 ; 12.864 ; 13.754 ; 13.384 ; 11.366 ; 10.280 ; 9.751 ; 10.618 ; 12.713 ; 4.920 ; 6.694 ; 6.968 ; 3.142 ; 6.430 ;
Setembro; 38.216 ; 30.229 ; 29.958 ; 27.878 ; 23.836 ; 24.351 ; 17.370 ; 15.813 ; 17.676 ; 12.458 ; 13.827 ; 15.336 ; 9.489 ; 8.878 ; 9.698 ; 10.603 ; 6.512 ; 5.687 ; 4.206 ; 4.375 ; 3.923 ; 5.113 ;
Outubro; 32.574 ; 32.661 ; 32.710 ; 26.370 ; 23.189 ; 23.381 ; 20.436 ; 20.229 ; 13.791 ; 11.053 ; 13.298 ; 13.842 ; 9.461 ; 11.227 ; 10.671 ; 9.418 ; 9.442 ; 5.282 ; 5.158 ; 3.911 ; 3.546 ; 5.589 ;
Novembro; 33.436 ; 31.116 ; 26.214 ; 23.883 ; 20.475 ; 21.570 ; 19.137 ; 20.179 ; 12.503 ; 12.667 ; 12.282 ; 17.147 ; 10.752 ; 10.726 ; 7.641 ; 10.160 ; 9.454 ; 10.915 ; 4.856 ; 3.954 ; 3.537 ; 3.684 ;
Dezembro; 26.659 ; 27.109 ; 26.105 ; 22.210 ; 16.613 ; 19.755 ; 15.831 ; 15.089 ; 13.635 ; 11.167 ; 13.357 ; 11.855 ; 12.129 ; 12.071 ; 5.858 ; 8.651 ; 6.692 ; 4.301 ; 4.821 ; 3.660 ; 4.753 ; 3.283 ;
