Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4 ; 29 ; -   ; -   ; -   ; 31 ; 58 ; 122 ; -   ; -   ; -   ; -   ; 30 ; 59 ; 29 ; 29 
Fevereiro; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; 29 ; 22 ; 49 ; -   ; -   ; 37 ; 95 ; -   ; 59 ; -   ; -   
Março; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 24 ; -   ; -   ; -   ; 31 ; 60 ; 80 ; 56 ; -   ; -   ; 37 ; 114 ; 30 ; 59 ; -   ; -   
Abril; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 0 ; 0 ; -   ; -   ; -   ; 58 ; 153 ; -   ; -   ; -   ; 185 ; 95 ; -   ; 59 ; 29 ; -   
Maio; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 0 ; 0 ; -   ; -   ; -   ; 63 ; 27 ; 114 ; -   ; -   ; 230 ; 58 ; 30 ; 30 ; -   ; -   
Junho; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 57 ; -   ; -   ; 54 ; 29 ; -   ; 29 ; -   ; -   
Julho; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4 ; 0 ; -   ; -   ; -   ; -   ; -   ; 80 ; -   ; -   ; 55 ; 28 ; 30 ; -   ; -   ;
Agosto; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 0 ; -   ; -   ; -   ; -   ; -   ; 30 ; 96 ; -   ; -   ; 58 ; -   ; 60 ; -   ; -   ;
Setembro; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 22 ; -   ; 30 ; -   ; 31 ; -   ; 26 ; -   ; -   ; -   ; 54 ; -   ; 30 ; 28 ; -   ;
Outubro; -   ; -   ; 60 ; -   ; -   ; -   ; -   ; 29 ; 0 ; -   ; -   ; 57 ; 31 ; 65 ; -   ; -   ; -   ; -   ; 85 ; 60 ; 26 ; -   ;
Novembro; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 0 ; -   ; -   ; -   ; 28 ; 30 ; 124 ; -   ; -   ; -   ; 29 ; 75 ; 89 ; 28 ; 58 ;
Dezembro; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 28 ; 0 ; -   ; -   ; 63 ; 61 ; 125 ; -   ; -   ; -   ; 29 ; 29 ; -   ; -   ; -   ;
