UN. DA FEDERAÇÃO;SERGIPE;;;;;;;;;;;;;;;;;;;;
PRODUTO;ÓLEO COMBUSTÍVEL (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 5.807 ; 2.340 ; 1.244 ; 684 ; 484 ; 365 ; 348 ; 348 ; 351 ; 278 ; 190 ; 308 ; 198 ; 249 ; 261 ; 110 ; 79 ; 61 ; 74 ; -   ; 56 
Fevereiro; 4.728 ; 7.667 ; 575 ; 495 ; 336 ; 300 ; 342 ; 251 ; 234 ; 261 ; 251 ; 269 ; 343 ; 153 ; 178 ; 96 ; 74 ; 27 ; 62 ; -   ; 41 
Março; 3.317 ; 2.207 ; 847 ; 584 ; 354 ; 277 ; 363 ; 300 ; 283 ; 115 ; 253 ; 360 ; 259 ; 205 ; 79 ; 129 ; 102 ; 61 ; 75 ; 14 ; 41 
Abril; 4.249 ; 1.010 ; 601 ; 447 ; 318 ; 232 ; 304 ; 245 ; 421 ; 207 ; 127 ; 222 ; 329 ; 173 ; 104 ; 105 ; 91 ; 31 ; 122 ; 28 ; 14 
Maio; 3.228 ; 1.618 ; 946 ; 263 ; 283 ; 216 ; 243 ; 424 ; 209 ; 292 ; 306 ; 208 ; 214 ; 122 ; 109 ; 134 ; 101 ; 62 ; 59 ; 42 ; 134 
Junho; 2.784 ; 1.329 ; 2.225 ; 536 ; 335 ; 290 ; 288 ; 257 ; 328 ; 158 ; 251 ; 309 ; 313 ; 126 ; 155 ; 119 ; 72 ; 47 ; 101 ; 14 ; 13 
Julho; 3.550 ; 1.581 ; 708 ; 267 ; 354 ; 228 ; 592 ; 397 ; 434 ; 317 ; 213 ; 153 ; 441 ; 103 ; 144 ; 107 ; 82 ; 72 ; 128 ; 28 ; 71 
Agosto; 4.122 ; 2.154 ; 799 ; 501 ; 568 ; 216 ; 705 ; 237 ; 429 ; 231 ; 303 ; 112 ; 345 ; 142 ; 116 ; 81 ; 74 ; 58 ; 130 ; 28 ; 290 
Setembro; 3.924 ; 1.610 ; 711 ; 555 ; 337 ; 248 ; 653 ; 256 ; 431 ; 264 ; 255 ; 236 ; 248 ; 96 ; 145 ; 53 ; 73 ; 90 ; 104 ; 14 ; 305 
Outubro; 4.340 ; 1.407 ; 622 ; 585 ; 282 ; 289 ; 215 ; 333 ; 386 ; 240 ; 369 ; 168 ; 223 ; 164 ; 226 ; 93 ; 90 ; 73 ; 146 ; 29 ;
Novembro; 2.102 ; 1.083 ; 465 ; 629 ; 227 ; 355 ; 290 ; 296 ; 262 ; 212 ; 341 ; 264 ; 131 ; 134 ; 102 ; 83 ; 57 ; 86 ; 72 ; 28 ;
Dezembro; 2.709 ; 1.069 ; 777 ; 571 ; 304 ; 243 ; 447 ; 336 ; 382 ; 257 ; 243 ; 220 ; 178 ; 289 ; 141 ; 67 ; 61 ; 106 ; 28 ; 28 ;
Total do Ano; 44.859 ; 25.074 ; 10.519 ; 6.116 ; 4.182 ; 3.257 ; 4.789 ; 3.678 ; 4.151 ; 2.831 ; 3.103 ; 2.828 ; 3.224 ; 1.956 ; 1.760 ; 1.179 ; 955 ; 774 ; 1.099 ; 252 ; 964 
