UN. DA FEDERAÇÃO;TOCANTINS;;;;;;;;;;;;;;;;;;;;
PRODUTO;ÓLEO COMBUSTÍVEL (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 128 ; 29 ; 49 ; 42 ; 15 ; 15 ; 14 ; 14 ; 129 ; 28 ; 139 ; 209 ; 145 ; -   ; 197 ; 82 ; 116 ; -   ; -   ; 89 ; 65 
Fevereiro; 89 ; 65 ; 27 ; 42 ; -   ; -   ; -   ; 0 ; 73 ; 43 ; 79 ; 196 ; 176 ; 101 ; 322 ; 229 ; 110 ; -   ; -   ; 59 ; 96 
Março; 68 ; 44 ; 25 ; 43 ; -   ; 15 ; 15 ; 44 ; 161 ; 49 ; 63 ; 238 ; 294 ; 158 ; 232 ; 130 ; 84 ; -   ; 26 ; 93 ; 99 
Abril; 62 ; 10 ; 10 ; 15 ; 15 ; 25 ; 64 ; 14 ; 116 ; 45 ; 15 ; 131 ; 90 ; 180 ; 262 ; -   ; -   ; -   ; 63 ; -   ; 33 
Maio; 96 ; 99 ; 66 ; 15 ; -   ; 41 ; -   ; 15 ; 89 ; 250 ; 13 ; 180 ; 122 ; 166 ; 79 ; 143 ; -   ; -   ; -   ; -   ; 96 
Junho; 56 ; 39 ; 90 ; 15 ; 58 ; 25 ; 14 ; 27 ; 79 ; 244 ; 93 ; 102 ; 120 ; 239 ; 151 ; 137 ; -   ; -   ; -   ; 33 ; 29 
Julho; 53 ; 29 ; 75 ; 40 ; 51 ; 54 ; -   ; 68 ; 132 ; 118 ; 67 ; 321 ; -   ; 332 ; 216 ; 98 ; -   ; -   ; -   ; -   ; -   
Agosto; 70 ; 66 ; 108 ; 66 ; 97 ; 52 ; 14 ; 39 ; 43 ; 103 ; 88 ; 191 ; 92 ; 271 ; 151 ; -   ; 80 ; 31 ; -   ; 31 ; 28 
Setembro; 30 ; 36 ; 74 ; 51 ; 25 ; 15 ; -   ; 15 ; 84 ; 28 ; 334 ; 161 ; 31 ; 324 ; 149 ; -   ; 56 ; -   ; -   ; 30 ; 64 
Outubro; 52 ; 42 ; 80 ; 65 ; 48 ; 30 ; 14 ; -   ; 86 ; 54 ; 220 ; -   ; -   ; 224 ; 240 ; -   ; 31 ; 31 ; -   ; 91 ;
Novembro; 41 ; 10 ; 41 ; -   ; 40 ; 15 ; 44 ; 29 ; 73 ; 194 ; 201 ; 87 ; -   ; 30 ; 172 ; 238 ; -   ; -   ; 35 ; 92 ;
Dezembro; 53 ; 25 ; 42 ; 29 ; -   ; -   ; 29 ; 43 ; 15 ; 124 ; 124 ; 102 ; -   ; 135 ; 262 ; -   ; -   ; 28 ; 30 ; 29 ;
Total do Ano; 796 ; 493 ; 687 ; 423 ; 349 ; 286 ; 209 ; 310 ; 1.080 ; 1.278 ; 1.438 ; 1.919 ; 1.070 ; 2.158 ; 2.433 ; 1.058 ; 477 ; 90 ; 154 ; 548 ; 509 
