UN. DA FEDERAÇÃO;ACRE;;;;;;;;;;;;;;;;;;;;
PRODUTO;ÓLEO DIESEL (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 18.025 ; 20.061 ; 17.206 ; 22.258 ; 16.615 ; 16.593 ; 12.545 ; 12.727 ; 14.317 ; 12.555 ; 11.941 ; 13.340 ; 17.186 ; 10.546 ; 12.473 ; 12.014 ; 11.248 ; 10.236 ; 11.181 ; 11.182 ; 12.382 
Fevereiro; 18.336 ; 16.449 ; 17.532 ; 15.974 ; 10.302 ; 10.287 ; 15.457 ; 7.942 ; 7.337 ; 6.724 ; 7.065 ; 9.235 ; 12.518 ; 11.664 ; 12.054 ; 10.052 ; 12.047 ; 10.182 ; 9.807 ; 10.403 ; 11.442 
Março; 16.654 ; 20.859 ; 20.922 ; 18.934 ; 12.362 ; 12.078 ; 12.153 ; 9.007 ; 7.948 ; 7.434 ; 9.314 ; 10.036 ; 15.174 ; 10.356 ; 10.462 ; 12.457 ; 12.921 ; 11.881 ; 12.081 ; 10.818 ; 12.070 
Abril; 15.146 ; 17.388 ; 17.568 ; 12.995 ; 12.795 ; 12.073 ; 11.142 ; 7.912 ; 7.604 ; 7.082 ; 9.354 ; 8.388 ; 16.807 ; 12.082 ; 11.876 ; 11.713 ; 13.269 ; 11.272 ; 11.571 ; 12.169 ; 11.847 
Maio; 18.681 ; 20.052 ; 18.100 ; 14.315 ; 10.429 ; 13.306 ; 8.876 ; 8.808 ; 9.420 ; 7.759 ; 11.080 ; 11.181 ; 18.987 ; 12.834 ; 12.915 ; 11.712 ; 13.508 ; 12.772 ; 12.986 ; 13.567 ; 12.194 
Junho; 17.949 ; 18.046 ; 18.127 ; 14.376 ; 9.825 ; 14.933 ; 9.344 ; 10.031 ; 10.208 ; 8.924 ; 13.201 ; 12.857 ; 19.347 ; 12.922 ; 13.873 ; 13.877 ; 13.472 ; 13.448 ; 11.809 ; 12.697 ; 12.308 
Julho; 17.466 ; 19.756 ; 19.541 ; 16.452 ; 13.709 ; 15.213 ; 10.337 ; 11.214 ; 11.468 ; 13.492 ; 16.551 ; 14.775 ; 18.912 ; 14.512 ; 15.840 ; 14.155 ; 13.956 ; 13.696 ; 14.329 ; 15.313 ; 14.428 
Agosto; 19.174 ; 21.717 ; 22.026 ; 14.314 ; 15.125 ; 16.906 ; 11.649 ; 12.460 ; 12.031 ; 14.084 ; 15.966 ; 15.133 ; 19.445 ; 15.217 ; 14.816 ; 15.060 ; 14.724 ; 14.171 ; 14.592 ; 14.482 ; 14.726 
Setembro; 19.505 ; 19.918 ; 21.953 ; 14.907 ; 14.318 ; 17.155 ; 11.855 ; 11.199 ; 13.089 ; 15.185 ; 16.265 ; 17.055 ; 19.106 ; 14.854 ; 16.703 ; 15.675 ; 13.314 ; 14.399 ; 13.535 ; 14.193 ; 15.661 
Outubro; 19.960 ; 21.209 ; 20.736 ; 15.462 ; 15.646 ; 14.545 ; 11.277 ; 12.817 ; 16.164 ; 15.228 ; 17.435 ; 15.667 ; 21.422 ; 15.687 ; 16.864 ; 16.071 ; 14.149 ; 14.548 ; 14.703 ; 14.873 ;
Novembro; 19.349 ; 20.826 ; 20.072 ; 13.137 ; 14.639 ; 12.807 ; 9.105 ; 10.347 ; 9.618 ; 9.515 ; 13.508 ; 13.921 ; 19.725 ; 13.953 ; 13.622 ; 13.683 ; 13.146 ; 12.610 ; 13.410 ; 12.865 ;
Dezembro; 18.796 ; 17.373 ; 18.238 ; 13.171 ; 13.135 ; 13.190 ; 8.241 ; 9.211 ; 8.966 ; 8.891 ; 10.518 ; 16.044 ; 16.246 ; 12.737 ; 15.493 ; 13.991 ; 12.099 ; 11.913 ; 11.893 ; 12.845 ;
Total do Ano; 219.041 ; 233.654 ; 232.021 ; 186.296 ; 158.902 ; 169.086 ; 131.981 ; 123.674 ; 128.171 ; 126.872 ; 152.199 ; 157.631 ; 214.874 ; 157.364 ; 166.990 ; 160.461 ; 157.852 ; 151.127 ; 151.896 ; 155.405 ; 117.057 
