UN. DA FEDERAÇÃO;AMAPÁ;;;;;;;;;;;;;;;;;;;;
PRODUTO;ÓLEO DIESEL (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 12.191 ; 9.274 ; 10.091 ; 8.012 ; 14.913 ; 23.967 ; 18.610 ; 16.705 ; 16.362 ; 23.821 ; 20.908 ; 23.500 ; 32.762 ; 36.449 ; 43.027 ; 41.898 ; 11.293 ; 9.204 ; 8.191 ; 7.972 ; 8.810 
Fevereiro; 10.127 ; 5.603 ; 7.491 ; 8.193 ; 15.175 ; 18.642 ; 20.750 ; 14.579 ; 14.580 ; 19.069 ; 20.799 ; 22.192 ; 30.752 ; 32.538 ; 33.144 ; 29.121 ; 9.021 ; 7.812 ; 7.498 ; 6.646 ; 7.882 
Março; 11.589 ; 9.670 ; 7.600 ; 5.041 ; 16.969 ; 14.070 ; 17.237 ; 20.745 ; 17.872 ; 18.701 ; 24.105 ; 30.538 ; 33.908 ; 35.214 ; 31.940 ; 25.998 ; 9.450 ; 9.352 ; 7.136 ; 7.074 ; 8.399 
Abril; 10.263 ; 8.980 ; 7.594 ; 8.676 ; 10.737 ; 6.301 ; 12.418 ; 17.807 ; 16.230 ; 18.523 ; 23.053 ; 24.511 ; 33.330 ; 34.795 ; 34.484 ; 18.244 ; 9.210 ; 8.352 ; 7.142 ; 7.934 ; 8.544 
Maio; 10.841 ; 8.380 ; 6.511 ; 10.124 ; 14.557 ; 16.828 ; 17.055 ; 7.825 ; 16.819 ; 19.806 ; 25.778 ; 26.799 ; 36.475 ; 35.452 ; 33.473 ; 18.021 ; 9.898 ; 9.910 ; 7.287 ; 8.297 ; 7.723 
Junho; 11.347 ; 7.293 ; 7.852 ; 8.935 ; 13.364 ; 18.485 ; 14.233 ; 19.481 ; 16.938 ; 19.354 ; 23.363 ; 27.504 ; 38.812 ; 37.418 ; 33.193 ; 17.578 ; 9.748 ; 9.602 ; 8.299 ; 8.595 ; 8.622 
Julho; 10.861 ; 7.743 ; 8.032 ; 9.835 ; 14.919 ; 19.351 ; 13.571 ; 20.162 ; 17.838 ; 21.546 ; 26.229 ; 31.376 ; 37.811 ; 37.848 ; 37.306 ; 21.435 ; 9.784 ; 9.591 ; 8.050 ; 9.936 ; 9.675 
Agosto; 10.258 ; 9.745 ; 14.491 ; 14.338 ; 14.210 ; 16.818 ; 15.848 ; 21.437 ; 20.614 ; 23.764 ; 27.959 ; 32.246 ; 43.222 ; 43.369 ; 39.907 ; 20.435 ; 11.227 ; 10.619 ; 9.365 ; 10.374 ; 10.782 
Setembro; 10.141 ; 8.688 ; 4.054 ; 13.846 ; 15.611 ; 20.608 ; 16.129 ; 20.978 ; 24.577 ; 26.968 ; 28.907 ; 33.418 ; 40.770 ; 41.658 ; 42.209 ; 18.504 ; 10.342 ; 9.708 ; 9.032 ; 9.638 ; 10.117 
Outubro; 12.503 ; 11.653 ; 16.180 ; 16.622 ; 20.236 ; 22.337 ; 21.317 ; 23.832 ; 25.039 ; 30.320 ; 30.734 ; 35.320 ; 43.987 ; 49.795 ; 46.439 ; 16.918 ; 10.029 ; 9.400 ; 8.975 ; 9.978 ;
Novembro; 13.195 ; 14.040 ; 15.571 ; 17.523 ; 22.021 ; 24.652 ; 21.401 ; 25.776 ; 28.158 ; 38.662 ; 33.771 ; 39.446 ; 50.955 ; 52.163 ; 48.343 ; 12.268 ; 9.843 ; 9.312 ; 7.766 ; 9.704 ;
Dezembro; 12.767 ; 15.896 ; 15.774 ; 17.623 ; 21.945 ; 22.372 ; 20.883 ; 22.474 ; 30.141 ; 32.007 ; 30.839 ; 44.488 ; 49.497 ; 46.426 ; 48.277 ; 13.248 ; 10.097 ; 8.131 ; 7.194 ; 9.142 ;
Total do Ano; 136.085 ; 116.965 ; 121.241 ; 138.767 ; 194.658 ; 224.430 ; 209.451 ; 231.801 ; 245.169 ; 292.541 ; 316.446 ; 371.338 ; 472.282 ; 483.124 ; 471.741 ; 253.670 ; 119.940 ; 110.992 ; 95.935 ; 105.289 ; 80.554 
