UN. DA FEDERAÇÃO;CEARÁ;;;;;;;;;;;;;;;;;;;;
PRODUTO;ÓLEO DIESEL (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 45.079 ; 48.309 ; 49.816 ; 47.513 ; 41.705 ; 45.591 ; 49.914 ; 52.955 ; 68.994 ; 57.233 ; 64.595 ; 67.809 ; 79.009 ; 103.220 ; 95.156 ; 97.732 ; 81.660 ; 82.110 ; 85.871 ; 83.978 ; 89.768 
Fevereiro; 44.641 ; 40.915 ; 41.667 ; 39.720 ; 35.812 ; 41.787 ; 45.231 ; 46.418 ; 66.787 ; 51.997 ; 58.405 ; 66.028 ; 72.607 ; 84.639 ; 91.717 ; 80.959 ; 80.369 ; 73.535 ; 73.909 ; 78.120 ; 80.743 
Março; 39.196 ; 44.373 ; 46.897 ; 35.145 ; 40.057 ; 45.625 ; 49.185 ; 51.611 ; 64.146 ; 55.208 ; 70.565 ; 69.185 ; 78.635 ; 85.845 ; 83.446 ; 88.314 ; 84.836 ; 81.262 ; 81.807 ; 74.325 ; 70.192 
Abril; 39.384 ; 42.531 ; 43.288 ; 38.715 ; 41.530 ; 43.181 ; 43.374 ; 46.743 ; 56.099 ; 52.135 ; 64.723 ; 66.098 ; 72.249 ; 87.452 ; 87.756 ; 82.163 ; 80.667 ; 71.092 ; 75.845 ; 78.827 ; 52.425 
Maio; 43.337 ; 44.848 ; 47.172 ; 42.693 ; 39.651 ; 44.397 ; 47.949 ; 51.810 ; 61.699 ; 52.043 ; 66.755 ; 71.501 ; 84.744 ; 95.740 ; 90.840 ; 86.314 ; 83.967 ; 83.951 ; 72.941 ; 83.061 ; 61.144 
Junho; 47.175 ; 47.333 ; 44.977 ; 41.316 ; 39.724 ; 42.396 ; 48.599 ; 52.327 ; 66.338 ; 60.094 ; 66.969 ; 73.994 ; 79.510 ; 92.240 ; 87.094 ; 89.013 ; 86.910 ; 83.346 ; 86.795 ; 79.585 ; 75.131 
Julho; 44.297 ; 49.202 ; 48.657 ; 46.561 ; 43.699 ; 48.265 ; 51.406 ; 55.640 ; 62.884 ; 67.281 ; 74.014 ; 77.205 ; 83.161 ; 91.248 ; 98.654 ; 94.138 ; 86.786 ; 84.084 ; 87.736 ; 90.772 ; 87.128 
Agosto; 47.834 ; 51.636 ; 50.220 ; 43.607 ; 50.895 ; 50.709 ; 56.292 ; 60.302 ; 62.137 ; 65.224 ; 75.182 ; 83.835 ; 88.052 ; 92.527 ; 103.785 ; 90.540 ; 92.880 ; 91.523 ; 93.533 ; 93.303 ; 89.679 
Setembro; 48.253 ; 47.059 ; 48.004 ; 44.981 ; 49.466 ; 49.120 ; 56.108 ; 55.420 ; 64.965 ; 68.665 ; 76.632 ; 82.252 ; 83.792 ; 91.872 ; 108.207 ; 93.653 ; 89.652 ; 87.326 ; 87.854 ; 86.509 ; 93.893 
Outubro; 46.924 ; 51.052 ; 53.191 ; 47.349 ; 48.281 ; 49.280 ; 54.681 ; 62.184 ; 66.528 ; 72.450 ; 75.316 ; 81.079 ; 100.567 ; 100.825 ; 112.777 ; 96.313 ; 86.998 ; 90.418 ; 96.005 ; 97.393 ;
Novembro; 48.019 ; 48.951 ; 47.089 ; 42.650 ; 47.243 ; 49.794 ; 55.262 ; 59.472 ; 60.038 ; 67.116 ; 76.008 ; 81.505 ; 106.414 ; 96.947 ; 102.184 ; 87.201 ; 87.508 ; 87.660 ; 90.495 ; 92.210 ;
Dezembro; 47.959 ; 45.965 ; 48.461 ; 47.846 ; 51.933 ; 55.035 ; 55.764 ; 65.884 ; 64.400 ; 72.327 ; 79.053 ; 86.242 ; 99.817 ; 95.085 ; 102.554 ; 90.313 ; 89.503 ; 89.005 ; 88.128 ; 91.999 ;
Total do Ano; 542.097 ; 562.172 ; 569.437 ; 518.095 ; 529.996 ; 565.181 ; 613.767 ; 660.767 ; 765.015 ; 741.774 ; 848.217 ; 906.734 ; 1.028.556 ; 1.117.640 ; 1.164.170 ; 1.076.652 ; 1.031.736 ; 1.005.313 ; 1.020.919 ; 1.030.082 ; 700.102 
