UN. DA FEDERAÇÃO;DISTRITO FEDERAL;;;;;;;;;;;;;;;;;;;;
PRODUTO;ÓLEO DIESEL (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 23.311 ; 29.320 ; 30.935 ; 29.295 ; 24.361 ; 27.746 ; 28.110 ; 26.414 ; 28.380 ; 27.185 ; 27.911 ; 27.775 ; 27.828 ; 31.350 ; 33.989 ; 35.430 ; 28.797 ; 27.829 ; 26.758 ; 27.482 ; 28.437 
Fevereiro; 25.968 ; 27.721 ; 27.585 ; 28.328 ; 23.477 ; 27.132 ; 26.344 ; 25.574 ; 27.667 ; 24.940 ; 29.012 ; 29.604 ; 31.540 ; 30.453 ; 34.969 ; 31.957 ; 31.339 ; 27.314 ; 25.848 ; 29.090 ; 30.150 
Março; 24.591 ; 32.150 ; 32.724 ; 28.048 ; 30.092 ; 31.147 ; 31.039 ; 31.875 ; 30.385 ; 30.647 ; 34.671 ; 32.998 ; 36.203 ; 34.268 ; 35.643 ; 37.279 ; 34.351 ; 33.517 ; 32.373 ; 29.683 ; 29.206 
Abril; 24.976 ; 32.157 ; 33.863 ; 31.787 ; 29.434 ; 31.063 ; 28.794 ; 30.287 ; 34.117 ; 30.205 ; 32.599 ; 33.375 ; 33.602 ; 36.088 ; 36.849 ; 36.476 ; 32.501 ; 28.362 ; 30.315 ; 30.781 ; 22.863 
Maio; 27.225 ; 34.123 ; 34.484 ; 32.476 ; 30.443 ; 31.340 ; 32.818 ; 32.274 ; 32.266 ; 29.388 ; 32.183 ; 34.269 ; 36.364 ; 36.738 ; 39.003 ; 36.793 ; 32.512 ; 31.434 ; 29.547 ; 31.946 ; 25.738 
Junho; 27.932 ; 35.219 ; 33.294 ; 29.273 ; 30.066 ; 31.457 ; 28.966 ; 30.462 ; 32.245 ; 30.207 ; 30.556 ; 32.878 ; 34.119 ; 34.066 ; 33.789 ; 36.909 ; 32.763 ; 30.469 ; 30.971 ; 29.513 ; 27.475 
Julho; 28.779 ; 35.841 ; 34.771 ; 32.377 ; 30.505 ; 30.195 ; 28.709 ; 31.485 ; 29.934 ; 32.624 ; 32.613 ; 32.985 ; 35.000 ; 37.274 ; 37.508 ; 39.650 ; 31.784 ; 29.161 ; 30.422 ; 32.344 ; 30.100 
Agosto; 34.208 ; 37.226 ; 35.927 ; 30.484 ; 32.540 ; 33.339 ; 32.128 ; 33.968 ; 28.852 ; 31.279 ; 33.859 ; 35.979 ; 37.819 ; 39.310 ; 38.485 ; 39.248 ; 34.190 ; 32.545 ; 34.113 ; 34.311 ; 31.304 
Setembro; 31.099 ; 33.884 ; 33.504 ; 30.210 ; 33.192 ; 31.968 ; 31.815 ; 30.714 ; 32.162 ; 32.551 ; 33.731 ; 34.289 ; 33.779 ; 37.384 ; 40.876 ; 40.078 ; 33.355 ; 30.454 ; 31.659 ; 32.007 ; 31.173 
Outubro; 32.877 ; 37.111 ; 36.113 ; 31.680 ; 33.220 ; 31.666 ; 31.785 ; 33.825 ; 34.553 ; 34.656 ; 33.571 ; 33.720 ; 37.052 ; 40.802 ; 41.724 ; 40.605 ; 32.682 ; 31.026 ; 34.193 ; 34.544 ;
Novembro; 29.955 ; 33.121 ; 33.636 ; 28.343 ; 31.608 ; 30.838 ; 30.999 ; 31.602 ; 29.225 ; 30.632 ; 31.944 ; 32.249 ; 33.715 ; 37.022 ; 36.240 ; 35.006 ; 30.784 ; 29.379 ; 30.608 ; 32.162 ;
Dezembro; 29.831 ; 29.907 ; 31.290 ; 29.594 ; 33.630 ; 30.638 ; 29.891 ; 29.833 ; 30.109 ; 32.263 ; 32.427 ; 33.015 ; 32.449 ; 34.272 ; 35.596 ; 37.023 ; 31.583 ; 29.136 ; 29.590 ; 31.888 ;
Total do Ano; 340.749 ; 397.778 ; 398.126 ; 361.896 ; 362.569 ; 368.530 ; 361.399 ; 368.313 ; 369.895 ; 366.577 ; 385.077 ; 393.135 ; 409.472 ; 429.027 ; 444.672 ; 446.454 ; 386.642 ; 360.625 ; 366.396 ; 375.748 ; 256.445 
