UN. DA FEDERAÇÃO;ESPÍRITO SANTO;;;;;;;;;;;;;;;;;;;;
PRODUTO;ÓLEO DIESEL (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 53.432 ; 60.935 ; 61.795 ; 55.770 ; 51.663 ; 58.921 ; 69.444 ; 70.501 ; 75.700 ; 66.760 ; 75.909 ; 84.111 ; 92.035 ; 95.068 ; 102.790 ; 100.082 ; 71.422 ; 80.324 ; 87.882 ; 98.073 ; 86.865 
Fevereiro; 57.037 ; 55.146 ; 51.920 ; 52.270 ; 48.967 ; 54.204 ; 60.108 ; 63.787 ; 71.515 ; 67.526 ; 76.216 ; 84.719 ; 91.224 ; 86.241 ; 96.878 ; 86.069 ; 78.469 ; 68.283 ; 75.633 ; 89.813 ; 86.392 
Março; 55.511 ; 61.716 ; 57.772 ; 55.763 ; 58.274 ; 63.450 ; 71.819 ; 78.906 ; 73.327 ; 72.850 ; 85.285 ; 88.662 ; 101.183 ; 91.955 ; 98.353 ; 100.333 ; 82.187 ; 86.441 ; 92.089 ; 91.838 ; 87.519 
Abril; 54.158 ; 55.402 ; 61.522 ; 55.830 ; 57.119 ; 62.229 ; 63.926 ; 72.112 ; 82.569 ; 70.048 ; 78.179 ; 84.501 ; 92.719 ; 95.899 ; 101.930 ; 94.698 ; 78.702 ; 75.660 ; 84.065 ; 92.832 ; 77.338 
Maio; 55.883 ; 58.035 ; 58.877 ; 57.026 ; 57.373 ; 59.651 ; 72.939 ; 81.011 ; 84.675 ; 73.469 ; 80.298 ; 98.222 ; 101.018 ; 100.951 ; 105.540 ; 95.855 ; 84.030 ; 85.246 ; 75.489 ; 96.486 ; 84.580 
Junho; 60.983 ; 62.641 ; 53.572 ; 59.222 ; 58.795 ; 57.123 ; 72.568 ; 73.318 ; 80.703 ; 78.711 ; 86.417 ; 95.628 ; 97.730 ; 95.157 ; 98.920 ; 95.281 ; 82.462 ; 84.346 ; 101.670 ; 90.737 ; 89.855 
Julho; 54.638 ; 66.492 ; 54.839 ; 61.652 ; 59.847 ; 62.286 ; 72.177 ; 77.815 ; 81.725 ; 84.366 ; 81.411 ; 93.923 ; 94.903 ; 101.246 ; 103.584 ; 87.153 ; 82.159 ; 79.873 ; 104.431 ; 98.208 ; 100.597 
Agosto; 61.223 ; 70.268 ; 61.557 ; 59.058 ; 63.016 ; 68.351 ; 81.014 ; 82.696 ; 82.151 ; 80.350 ; 87.575 ; 101.556 ; 105.163 ; 105.652 ; 105.777 ; 86.740 ; 91.484 ; 90.368 ; 108.507 ; 97.492 ; 99.585 
Setembro; 56.786 ; 54.068 ; 57.298 ; 55.905 ; 64.797 ; 67.526 ; 72.670 ; 63.226 ; 85.960 ; 73.745 ; 91.962 ; 99.358 ; 94.155 ; 102.231 ; 112.171 ; 86.785 ; 85.947 ; 84.382 ; 98.431 ; 94.992 ; 101.935 
Outubro; 59.787 ; 59.620 ; 67.529 ; 59.782 ; 59.724 ; 64.577 ; 71.470 ; 72.222 ; 86.607 ; 77.254 ; 84.159 ; 89.436 ; 108.126 ; 108.681 ; 113.178 ; 93.987 ; 86.059 ; 88.150 ; 105.311 ; 101.562 ;
Novembro; 58.420 ; 57.689 ; 52.882 ; 53.821 ; 60.830 ; 61.388 ; 68.770 ; 65.539 ; 62.813 ; 74.568 ; 82.576 ; 93.008 ; 91.061 ; 99.630 ; 96.136 ; 80.766 ; 82.315 ; 84.935 ; 99.323 ; 89.178 ;
Dezembro; 60.180 ; 52.992 ; 60.716 ; 67.309 ; 61.608 ; 61.435 ; 67.005 ; 71.537 ; 68.151 ; 75.735 ; 92.024 ; 91.158 ; 94.554 ; 85.329 ; 100.390 ; 87.715 ; 82.178 ; 82.392 ; 97.221 ; 88.367 ;
Total do Ano; 688.038 ; 715.006 ; 700.278 ; 693.406 ; 702.014 ; 741.141 ; 843.909 ; 872.670 ; 935.897 ; 895.383 ; 1.002.010 ; 1.104.282 ; 1.163.872 ; 1.168.039 ; 1.235.647 ; 1.095.464 ; 987.413 ; 990.401 ; 1.130.052 ; 1.129.579 ; 814.667 
