Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 87.945 ; 98.527 ; 99.601 ; 100.910 ; 98.000 ; 99.222 ; 112.064 ; 117.131 ; 135.446 ; 126.894 ; 137.548 ; 142.502 ; 154.095 ; 228.350 ; 206.784 ; 238.474 ; 160.620 ; 176.386 ; 179.888 ; 202.623 ; 191.331 ; 217.323 ; 219.304 
Fevereiro; 101.610 ; 93.947 ; 99.295 ; 103.784 ; 99.546 ; 110.817 ; 111.316 ; 122.096 ; 152.079 ; 135.391 ; 158.880 ; 175.547 ; 191.691 ; 241.449 ; 269.234 ; 231.847 ; 209.794 ; 202.237 ; 201.517 ; 221.604 ; 224.676 ; 236.452 ; 269.581 
Março; 106.700 ; 119.012 ; 123.100 ; 109.059 ; 142.814 ; 133.769 ; 139.055 ; 155.029 ; 165.434 ; 159.737 ; 176.758 ; 178.338 ; 210.228 ; 255.574 ; 261.154 ; 259.864 ; 226.186 ; 224.813 ; 242.336 ; 219.305 ; 234.465 ; 279.297 ; 288.572 
Abril; 107.564 ; 112.841 ; 119.710 ; 111.832 ; 125.324 ; 139.257 ; 124.917 ; 128.550 ; 162.710 ; 153.942 ; 170.387 ; 181.134 ; 193.559 ; 251.735 ; 263.778 ; 254.342 ; 209.012 ; 187.196 ; 210.511 ; 213.629 ; 199.795 ; 247.669 ; 244.072 
Maio; 108.799 ; 113.593 ; 112.745 ; 116.868 ; 120.532 ; 124.952 ; 125.954 ; 137.897 ; 160.057 ; 153.511 ; 175.809 ; 197.151 ; 212.396 ; 261.747 ; 275.242 ; 244.353 ; 212.054 ; 223.136 ; 183.544 ; 230.030 ; 225.034 ; 254.893 ; 269.465 
Junho; 117.324 ; 116.603 ; 111.641 ; 113.413 ; 126.621 ; 128.776 ; 126.124 ; 143.627 ; 168.700 ; 162.797 ; 189.664 ; 204.039 ; 226.608 ; 263.219 ; 243.289 ; 265.006 ; 228.809 ; 240.273 ; 247.198 ; 232.310 ; 249.702 ; 277.322 ; 269.079 
Julho; 111.478 ; 119.625 ; 123.542 ; 128.386 ; 138.962 ; 133.692 ; 132.818 ; 148.696 ; 177.629 ; 183.194 ; 203.628 ; 215.748 ; 234.040 ; 268.387 ; 279.609 ; 271.956 ; 239.513 ; 253.209 ; 256.286 ; 269.816 ; 287.373 ; 321.144 ;
Agosto; 121.538 ; 128.630 ; 132.058 ; 128.982 ; 139.528 ; 143.164 ; 144.761 ; 164.657 ; 178.153 ; 170.940 ; 199.382 ; 224.981 ; 241.330 ; 257.992 ; 296.364 ; 246.965 ; 248.157 ; 255.578 ; 264.573 ; 259.791 ; 277.199 ; 312.746 ;
Setembro; 126.484 ; 124.191 ; 132.312 ; 135.122 ; 143.360 ; 144.170 ; 143.845 ; 150.834 ; 179.130 ; 174.421 ; 198.474 ; 220.736 ; 217.690 ; 246.578 ; 292.892 ; 234.828 ; 235.883 ; 247.202 ; 241.931 ; 244.267 ; 271.931 ; 294.727 ;
Outubro; 124.087 ; 134.482 ; 144.285 ; 146.485 ; 138.171 ; 137.120 ; 149.144 ; 170.693 ; 185.597 ; 194.877 ; 205.801 ; 213.773 ; 273.047 ; 271.105 ; 307.909 ; 250.816 ; 231.138 ; 257.463 ; 259.781 ; 270.990 ; 301.963 ; 325.119 ;
Novembro; 118.327 ; 117.750 ; 124.564 ; 130.317 ; 135.235 ; 137.669 ; 141.387 ; 160.330 ; 155.397 ; 159.187 ; 185.189 ; 191.292 ; 262.663 ; 234.593 ; 256.519 ; 213.842 ; 195.572 ; 225.055 ; 208.539 ; 234.370 ; 262.225 ; 247.327 ;
Dezembro; 101.292 ; 95.204 ; 109.296 ; 114.814 ; 115.414 ; 119.489 ; 118.750 ; 132.832 ; 141.551 ; 145.768 ; 165.312 ; 165.587 ; 231.026 ; 184.546 ; 224.745 ; 190.334 ; 180.029 ; 180.022 ; 189.851 ; 182.608 ; 232.885 ; 224.926 ;
