Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 46.338 ; 52.938 ; 50.219 ; 51.422 ; 48.203 ; 52.341 ; 57.110 ; 64.799 ; 73.111 ; 70.324 ; 73.472 ; 79.422 ; 92.783 ; 101.577 ; 102.129 ; 108.294 ; 101.316 ; 101.519 ; 110.213 ; 107.708 ; 108.995 ; 117.078 ; 111.306 
Fevereiro; 47.762 ; 44.578 ; 47.034 ; 43.082 ; 42.511 ; 46.406 ; 50.306 ; 55.029 ; 65.775 ; 61.803 ; 68.662 ; 72.154 ; 84.778 ; 88.379 ; 91.501 ; 88.909 ; 96.509 ; 88.880 ; 86.654 ; 101.406 ; 102.496 ; 101.441 ; 111.009 
Março; 45.888 ; 51.765 ; 55.707 ; 42.600 ; 51.444 ; 52.568 ; 57.877 ; 66.691 ; 65.606 ; 69.675 ; 81.780 ; 68.182 ; 92.321 ; 98.625 ; 98.364 ; 103.043 ; 102.629 ; 108.880 ; 114.124 ; 101.764 ; 100.910 ; 120.981 ; 125.781 
Abril; 44.513 ; 49.286 ; 56.265 ; 46.633 ; 54.658 ; 56.993 ; 52.473 ; 60.891 ; 68.667 ; 68.456 ; 75.752 ; 81.182 ; 90.981 ; 94.874 ; 97.876 ; 106.186 ; 103.654 ; 100.506 ; 107.593 ; 92.763 ; 93.464 ; 119.004 ; 111.438 
Maio; 51.793 ; 54.113 ; 54.951 ; 49.197 ; 49.442 ; 56.290 ; 56.933 ; 64.393 ; 74.953 ; 63.371 ; 75.596 ; 84.583 ; 98.702 ; 94.786 ; 100.763 ; 109.231 ; 96.078 ; 107.845 ; 101.503 ; 111.700 ; 97.792 ; 122.309 ; 122.524 
Junho; 53.830 ; 53.600 ; 52.027 ; 46.599 ; 54.547 ; 57.793 ; 57.805 ; 64.164 ; 73.325 ; 74.337 ; 78.931 ; 88.830 ; 97.758 ; 94.525 ; 98.997 ; 115.550 ; 99.107 ; 110.549 ; 118.196 ; 111.674 ; 119.790 ; 127.143 ; 127.058 
Julho; 53.355 ; 57.265 ; 56.189 ; 52.536 ; 58.127 ; 61.764 ; 60.404 ; 63.276 ; 81.221 ; 81.321 ; 88.851 ; 95.631 ; 104.756 ; 102.337 ; 109.855 ; 121.740 ; 105.618 ; 110.479 ; 128.393 ; 128.637 ; 132.476 ; 137.220 ;
Agosto; 58.632 ; 58.460 ; 58.894 ; 52.422 ; 55.213 ; 66.458 ; 65.676 ; 67.477 ; 82.278 ; 80.108 ; 88.912 ; 102.705 ; 111.409 ; 108.292 ; 118.253 ; 115.720 ; 102.592 ; 117.401 ; 131.185 ; 129.533 ; 136.337 ; 142.018 ;
Setembro; 55.929 ; 53.250 ; 56.740 ; 53.187 ; 62.405 ; 63.574 ; 63.726 ; 61.851 ; 84.321 ; 80.881 ; 85.479 ; 98.809 ; 103.446 ; 103.581 ; 117.247 ; 120.366 ; 106.570 ; 114.422 ; 119.556 ; 120.163 ; 140.322 ; 137.913 ;
Outubro; 56.497 ; 60.271 ; 61.653 ; 57.817 ; 55.296 ; 61.274 ; 63.083 ; 69.416 ; 84.293 ; 84.699 ; 90.414 ; 99.653 ; 111.019 ; 111.493 ; 124.918 ; 124.420 ; 106.077 ; 118.760 ; 132.961 ; 128.965 ; 146.353 ; 135.053 ;
Novembro; 58.166 ; 60.009 ; 55.983 ; 52.564 ; 58.332 ; 61.231 ; 65.294 ; 65.624 ; 75.802 ; 79.339 ; 90.601 ; 101.263 ; 111.605 ; 108.556 ; 113.872 ; 111.520 ; 109.395 ; 118.634 ; 126.179 ; 124.524 ; 133.341 ; 130.996 ;
Dezembro; 55.715 ; 57.407 ; 56.283 ; 57.718 ; 64.458 ; 64.972 ; 64.105 ; 76.201 ; 78.840 ; 84.385 ; 93.601 ; 101.310 ; 103.627 ; 107.197 ; 115.360 ; 116.649 ; 112.496 ; 116.725 ; 118.335 ; 118.149 ; 124.461 ; 131.341 ;
