Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 103.352 ; 98.329 ; 111.072 ; 102.212 ; 115.835 ; 119.014 ; 110.167 ; 116.998 ; 111.565 ; 135.327 ; 141.311 ; 124.206 ; 157.441 ; 200.129 ; 198.616 ; 214.881 ; 193.306 ; 217.851 ; 226.347 ; 266.341 ; 274.976 ; 238.221 ; 330.982 
Fevereiro; 129.046 ; 111.522 ; 127.121 ; 131.193 ; 130.571 ; 153.056 ; 129.240 ; 133.813 ; 157.398 ; 158.218 ; 181.300 ; 176.919 ; 224.235 ; 230.912 ; 245.277 ; 203.904 ; 256.792 ; 245.381 ; 262.500 ; 268.513 ; 305.811 ; 324.763 ; 342.012 
Março; 140.906 ; 146.363 ; 161.872 ; 143.242 ; 178.812 ; 182.935 ; 154.305 ; 159.892 ; 180.563 ; 179.365 ; 191.883 ; 208.272 ; 219.621 ; 230.085 ; 253.463 ; 258.575 ; 246.664 ; 238.837 ; 252.453 ; 221.085 ; 244.328 ; 338.217 ; 301.762 
Abril; 138.922 ; 133.857 ; 142.301 ; 138.572 ; 154.052 ; 163.609 ; 110.548 ; 116.141 ; 148.323 ; 136.700 ; 145.310 ; 153.653 ; 167.797 ; 200.212 ; 193.964 ; 198.188 ; 193.198 ; 169.206 ; 197.520 ; 192.347 ; 191.538 ; 247.735 ; 243.566 
Maio; 132.114 ; 129.463 ; 139.711 ; 153.110 ; 155.484 ; 129.188 ; 97.242 ; 119.725 ; 141.966 ; 134.185 ; 149.418 ; 160.525 ; 188.393 ; 203.521 ; 215.225 ; 183.270 ; 191.326 ; 203.411 ; 166.478 ; 214.360 ; 236.250 ; 245.655 ; 277.373 
Junho; 150.608 ; 146.344 ; 149.474 ; 146.619 ; 181.404 ; 144.794 ; 122.866 ; 144.115 ; 162.816 ; 160.358 ; 167.170 ; 175.493 ; 205.069 ; 225.561 ; 216.782 ; 230.302 ; 235.924 ; 241.172 ; 262.298 ; 261.413 ; 294.944 ; 301.242 ; 330.706 
Julho; 138.162 ; 151.728 ; 163.138 ; 176.006 ; 204.977 ; 152.511 ; 133.154 ; 153.898 ; 175.375 ; 179.012 ; 179.617 ; 199.851 ; 235.515 ; 253.892 ; 251.680 ; 257.330 ; 238.146 ; 256.960 ; 274.305 ; 290.428 ; 329.136 ; 347.658 ;
Agosto; 143.421 ; 167.166 ; 162.934 ; 169.502 ; 202.878 ; 154.765 ; 142.120 ; 155.249 ; 166.957 ; 164.801 ; 171.675 ; 202.472 ; 228.466 ; 250.596 ; 245.569 ; 232.520 ; 234.557 ; 244.660 ; 273.075 ; 278.266 ; 283.103 ; 325.566 ;
Setembro; 140.633 ; 160.165 ; 165.206 ; 170.731 ; 197.421 ; 155.772 ; 144.649 ; 144.436 ; 166.965 ; 172.047 ; 169.723 ; 203.002 ; 220.663 ; 235.225 ; 244.267 ; 237.397 ; 231.685 ; 237.285 ; 249.813 ; 253.191 ; 271.472 ; 294.207 ;
Outubro; 144.693 ; 133.273 ; 174.308 ; 186.423 ; 188.442 ; 137.553 ; 151.496 ; 165.588 ; 174.152 ; 177.666 ; 183.746 ; 206.738 ; 242.827 ; 267.403 ; 258.932 ; 250.805 ; 224.839 ; 253.463 ; 262.058 ; 289.759 ; 297.224 ; 318.621 ;
Novembro; 134.729 ; 110.683 ; 139.661 ; 147.878 ; 166.284 ; 123.585 ; 129.846 ; 141.215 ; 142.019 ; 145.637 ; 174.011 ; 180.329 ; 209.202 ; 230.647 ; 209.600 ; 211.904 ; 175.584 ; 221.366 ; 214.700 ; 222.322 ; 233.709 ; 242.061 ;
Dezembro; 98.806 ; 78.278 ; 111.003 ; 126.435 ; 130.699 ; 90.034 ; 99.339 ; 112.177 ; 115.647 ; 127.152 ; 146.476 ; 146.273 ; 186.652 ; 175.841 ; 173.929 ; 193.615 ; 162.694 ; 183.421 ; 198.420 ; 178.382 ; 210.883 ; 222.169 ;
