Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 60.078 ; 65.972 ; 71.664 ; 66.031 ; 71.253 ; 61.792 ; 59.573 ; 62.683 ; 67.034 ; 65.729 ; 69.125 ; 68.457 ; 82.540 ; 98.032 ; 100.694 ; 111.553 ; 93.058 ; 90.311 ; 80.479 ; 107.664 ; 101.722 ; 104.239 ; 127.357 
Fevereiro; 74.963 ; 68.063 ; 74.498 ; 71.370 ; 73.869 ; 75.300 ; 67.782 ; 71.414 ; 93.682 ; 77.150 ; 83.929 ; 83.153 ; 97.962 ; 103.212 ; 116.357 ; 99.197 ; 110.443 ; 112.820 ; 106.762 ; 122.294 ; 129.052 ; 132.231 ; 160.491 
Março; 80.929 ; 87.977 ; 92.651 ; 83.100 ; 94.104 ; 90.435 ; 86.681 ; 92.408 ; 108.380 ; 91.274 ; 98.342 ; 96.580 ; 105.618 ; 100.112 ; 109.341 ; 117.946 ; 120.622 ; 115.282 ; 121.909 ; 116.244 ; 147.528 ; 189.549 ; 161.711 
Abril; 80.659 ; 77.531 ; 80.072 ; 73.180 ; 83.761 ; 76.512 ; 66.206 ; 68.348 ; 80.583 ; 78.255 ; 81.839 ; 82.697 ; 83.498 ; 102.865 ; 103.828 ; 102.738 ; 107.660 ; 84.695 ; 102.898 ; 112.420 ; 105.820 ; 135.398 ; 142.178 
Maio; 73.923 ; 78.685 ; 72.203 ; 79.058 ; 74.102 ; 72.052 ; 58.810 ; 71.205 ; 77.563 ; 72.739 ; 81.001 ; 96.997 ; 95.413 ; 109.922 ; 109.141 ; 98.269 ; 95.008 ; 92.083 ; 81.979 ; 117.430 ; 116.132 ; 131.791 ; 151.098 
Junho; 82.639 ; 79.522 ; 78.450 ; 75.792 ; 83.997 ; 73.028 ; 67.070 ; 74.323 ; 82.447 ; 78.317 ; 91.764 ; 96.775 ; 97.588 ; 100.347 ; 114.487 ; 106.853 ; 113.699 ; 103.638 ; 119.033 ; 121.302 ; 120.994 ; 134.710 ; 150.670 
Julho; 76.882 ; 82.171 ; 83.258 ; 87.948 ; 92.029 ; 78.813 ; 72.129 ; 77.561 ; 87.522 ; 81.505 ; 96.803 ; 103.876 ; 118.766 ; 133.072 ; 119.901 ; 123.958 ; 125.876 ; 126.629 ; 132.158 ; 146.811 ; 146.924 ; 168.453 ;
Agosto; 85.908 ; 92.547 ; 92.681 ; 88.909 ; 102.344 ; 86.975 ; 78.535 ; 85.129 ; 89.387 ; 87.147 ; 102.211 ; 118.880 ; 128.606 ; 138.380 ; 144.931 ; 144.076 ; 127.065 ; 119.477 ; 135.002 ; 146.091 ; 139.907 ; 182.125 ;
Setembro; 85.861 ; 90.095 ; 89.857 ; 91.225 ; 88.681 ; 85.176 ; 78.410 ; 75.393 ; 91.147 ; 90.849 ; 90.191 ; 114.079 ; 107.544 ; 123.809 ; 128.867 ; 126.791 ; 131.226 ; 116.544 ; 120.540 ; 124.838 ; 154.347 ; 179.437 ;
Outubro; 88.272 ; 89.939 ; 98.205 ; 95.579 ; 93.217 ; 71.215 ; 75.804 ; 83.778 ; 95.347 ; 96.279 ; 99.925 ; 109.668 ; 124.918 ; 130.826 ; 143.904 ; 134.824 ; 121.102 ; 112.728 ; 123.205 ; 136.929 ; 147.013 ; 190.608 ;
Novembro; 83.793 ; 77.065 ; 85.322 ; 82.930 ; 83.792 ; 71.571 ; 67.884 ; 79.782 ; 77.131 ; 82.674 ; 91.710 ; 99.342 ; 108.379 ; 119.909 ; 112.143 ; 104.903 ; 107.042 ; 94.921 ; 115.893 ; 110.479 ; 129.375 ; 151.676 ;
Dezembro; 66.329 ; 63.330 ; 68.241 ; 74.176 ; 71.430 ; 61.302 ; 58.895 ; 66.557 ; 68.936 ; 74.786 ; 83.142 ; 86.199 ; 94.141 ; 95.076 ; 99.421 ; 107.462 ; 87.673 ; 77.749 ; 103.618 ; 88.614 ; 108.508 ; 125.966 ;
