Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 314.502 ; 344.907 ; 330.417 ; 320.383 ; 344.959 ; 368.343 ; 396.694 ; 403.470 ; 436.384 ; 391.667 ; 439.613 ; 460.149 ; 478.747 ; 532.378 ; 584.823 ; 565.256 ; 466.505 ; 502.459 ; 518.167 ; 537.053 ; 511.882 ; 564.624 ; 517.991 
Fevereiro; 342.266 ; 314.195 ; 306.440 ; 334.855 ; 328.126 ; 369.601 ; 369.678 ; 393.937 ; 427.775 ; 395.347 ; 456.478 ; 506.834 ; 533.049 ; 514.626 ; 592.778 ; 489.791 ; 530.428 ; 497.999 ; 484.886 ; 523.034 ; 513.360 ; 514.745 ; 552.027 
Março; 346.959 ; 379.248 ; 379.776 ; 324.361 ; 414.205 ; 421.522 ; 442.658 ; 493.370 ; 466.409 ; 452.613 ; 539.922 ; 529.315 ; 607.840 ; 579.779 ; 598.738 ; 576.702 ; 586.106 ; 605.119 ; 585.528 ; 541.701 ; 560.691 ; 664.059 ; 686.401 
Abril; 355.991 ; 362.557 ; 369.023 ; 343.665 ; 407.308 ; 441.551 ; 409.811 ; 450.033 ; 498.151 ; 452.727 ; 521.577 ; 541.205 ; 564.705 ; 610.700 ; 614.694 ; 571.103 ; 572.478 ; 525.402 ; 567.677 ; 566.686 ; 490.931 ; 609.564 ; 635.092 
Maio; 372.540 ; 382.347 ; 376.626 ; 380.506 ; 409.712 ; 436.067 ; 459.925 ; 488.127 ; 510.872 ; 469.284 ; 548.286 ; 593.426 ; 604.993 ; 629.653 ; 662.478 ; 569.291 ; 572.131 ; 586.826 ; 459.239 ; 588.114 ; 539.143 ; 623.436 ; 673.635 
Junho; 385.706 ; 380.731 ; 361.945 ; 357.963 ; 421.020 ; 444.784 ; 450.672 ; 473.088 ; 518.059 ; 490.437 ; 548.455 ; 586.918 ; 599.256 ; 614.164 ; 607.573 ; 587.950 ; 579.286 ; 597.404 ; 633.523 ; 560.773 ; 590.846 ; 625.629 ; 642.406 
Julho; 363.226 ; 382.164 ; 385.716 ; 389.935 ; 449.708 ; 439.997 ; 452.256 ; 493.346 ; 517.190 ; 524.366 ; 581.736 ; 606.580 ; 615.715 ; 658.225 ; 657.874 ; 621.883 ; 589.512 ; 602.847 ; 609.439 ; 631.575 ; 652.293 ; 687.650 ;
Agosto; 395.877 ; 408.148 ; 399.723 ; 385.509 ; 462.421 ; 485.391 ; 487.951 ; 533.771 ; 538.587 ; 509.593 ; 584.584 ; 650.354 ; 666.230 ; 693.105 ; 670.646 ; 602.447 ; 628.536 ; 629.623 ; 640.401 ; 634.607 ; 645.429 ; 701.539 ;
Setembro; 382.603 ; 379.296 ; 387.995 ; 412.611 ; 468.747 ; 472.110 ; 475.596 ; 491.688 ; 548.646 ; 523.815 ; 572.502 ; 629.864 ; 607.186 ; 654.867 ; 676.492 ; 605.979 ; 604.617 ; 613.548 ; 580.253 ; 596.133 ; 657.633 ; 662.996 ;
Outubro; 396.359 ; 395.471 ; 435.715 ; 432.679 ; 444.278 ; 449.636 ; 479.172 ; 540.095 ; 562.183 ; 555.183 ; 569.920 ; 606.107 ; 667.177 ; 699.060 ; 710.783 ; 634.907 ; 587.219 ; 615.105 ; 623.804 ; 654.729 ; 662.250 ; 650.551 ;
Novembro; 376.011 ; 365.221 ; 383.609 ; 390.348 ; 440.776 ; 430.549 ; 456.963 ; 505.455 ; 461.904 ; 507.712 ; 545.939 ; 591.956 ; 597.265 ; 645.351 ; 591.646 ; 559.360 ; 552.601 ; 577.556 ; 554.382 ; 582.907 ; 592.951 ; 594.330 ;
Dezembro; 347.685 ; 328.046 ; 347.473 ; 386.650 ; 424.468 ; 415.524 ; 426.569 ; 454.306 ; 424.063 ; 483.676 ; 537.217 ; 559.663 ; 558.335 ; 552.083 ; 567.189 ; 550.863 ; 524.608 ; 526.376 ; 540.127 ; 518.746 ; 573.836 ; 589.623 ;
