Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 23.443 ; 24.209 ; 26.470 ; 29.169 ; 27.489 ; 28.593 ; 27.985 ; 29.397 ; 31.903 ; 30.271 ; 31.655 ; 33.687 ; 37.708 ; 41.008 ; 42.059 ; 44.482 ; 37.680 ; 37.219 ; 38.163 ; 37.067 ; 38.321 ; 37.347 ; 34.485 
Fevereiro; 23.480 ; 21.544 ; 24.148 ; 25.633 ; 24.034 ; 25.615 ; 24.911 ; 25.839 ; 29.245 ; 28.310 ; 29.949 ; 32.824 ; 35.577 ; 37.795 ; 39.768 ; 38.485 ; 36.373 ; 34.305 ; 32.486 ; 34.188 ; 34.159 ; 31.806 ; 33.032 
Março; 20.283 ; 24.197 ; 28.443 ; 22.738 ; 28.350 ; 27.869 ; 27.474 ; 29.477 ; 28.325 ; 28.851 ; 34.910 ; 35.569 ; 38.458 ; 38.428 ; 38.946 ; 42.075 ; 38.723 ; 39.474 ; 36.165 ; 34.694 ; 31.080 ; 35.243 ; 35.506 
Abril; 20.396 ; 21.743 ; 25.252 ; 22.905 ; 26.536 ; 25.890 ; 24.003 ; 26.206 ; 28.282 ; 27.093 ; 31.385 ; 32.137 ; 36.244 ; 40.327 ; 39.902 ; 38.769 ; 36.439 ; 34.403 ; 32.492 ; 34.579 ; 24.101 ; 32.511 ; 32.591 
Maio; 22.074 ; 23.295 ; 26.921 ; 26.296 ; 25.585 ; 26.298 ; 27.050 ; 28.605 ; 28.328 ; 26.337 ; 30.942 ; 33.471 ; 38.078 ; 39.341 ; 41.244 ; 37.913 ; 37.358 ; 38.022 ; 26.753 ; 35.633 ; 26.738 ; 32.277 ; 34.271 
Junho; 18.807 ; 23.507 ; 25.457 ; 24.872 ; 26.367 ; 25.169 ; 25.957 ; 26.675 ; 28.259 ; 28.563 ; 30.324 ; 33.798 ; 35.136 ; 36.421 ; 37.374 ; 37.879 ; 36.982 ; 36.704 ; 39.991 ; 31.455 ; 29.603 ; 33.579 ; 31.325 
Julho; 16.684 ; 24.088 ; 27.911 ; 27.279 ; 27.579 ; 26.310 ; 26.441 ; 28.207 ; 30.066 ; 30.814 ; 33.501 ; 34.252 ; 36.172 ; 39.261 ; 42.062 ; 39.895 ; 37.903 ; 35.770 ; 37.831 ; 35.631 ; 35.500 ; 37.202 ;
Agosto; 20.437 ; 26.999 ; 29.324 ; 26.764 ; 29.305 ; 29.038 ; 29.610 ; 31.206 ; 30.883 ; 30.550 ; 34.091 ; 37.612 ; 41.728 ; 40.191 ; 43.270 ; 39.084 ; 41.772 ; 40.415 ; 41.190 ; 37.183 ; 37.675 ; 37.739 ;
Setembro; 21.422 ; 25.629 ; 29.689 ; 29.282 ; 30.254 ; 29.856 ; 30.729 ; 29.755 ; 33.605 ; 33.086 ; 35.858 ; 38.303 ; 37.999 ; 40.251 ; 44.573 ; 40.931 ; 40.950 ; 39.400 ; 35.273 ; 36.935 ; 39.439 ; 37.933 ;
Outubro; 23.474 ; 28.480 ; 33.117 ; 30.579 ; 30.291 ; 28.617 ; 30.723 ; 33.625 ; 34.640 ; 35.407 ; 35.630 ; 38.614 ; 43.703 ; 44.521 ; 46.914 ; 43.079 ; 39.780 ; 38.770 ; 38.457 ; 40.515 ; 42.364 ; 39.851 ;
Novembro; 24.207 ; 27.534 ; 31.342 ; 26.749 ; 30.930 ; 29.476 ; 30.269 ; 32.730 ; 31.201 ; 33.237 ; 36.783 ; 38.328 ; 44.434 ; 43.452 ; 42.268 ; 40.223 ; 40.832 ; 38.498 ; 37.628 ; 38.973 ; 37.830 ; 39.335 ;
Dezembro; 24.298 ; 26.997 ; 32.014 ; 31.650 ; 33.087 ; 31.575 ; 30.658 ; 32.520 ; 33.341 ; 35.737 ; 38.658 ; 40.426 ; 42.198 ; 41.953 ; 44.042 ; 40.871 ; 42.035 ; 38.721 ; 35.446 ; 39.699 ; 40.471 ; 40.414 ;
