UN. DA FEDERAÇÃO;PERNAMBUCO;;;;;;;;;;;;;;;;;;;;
PRODUTO;ÓLEO DIESEL (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 69.053 ; 71.505 ; 79.670 ; 74.503 ; 70.850 ; 70.124 ; 73.638 ; 78.497 ; 87.223 ; 86.938 ; 90.292 ; 103.277 ; 113.508 ; 160.692 ; 151.466 ; 162.850 ; 108.299 ; 107.080 ; 113.740 ; 113.210 ; 123.174 
Fevereiro; 74.299 ; 63.859 ; 65.216 ; 66.520 ; 58.711 ; 61.307 ; 64.137 ; 68.291 ; 81.845 ; 76.225 ; 86.202 ; 101.446 ; 110.912 ; 127.454 ; 123.228 ; 142.778 ; 99.799 ; 98.297 ; 100.870 ; 106.035 ; 112.345 
Março; 65.640 ; 70.085 ; 73.666 ; 57.291 ; 69.822 ; 67.444 ; 70.608 ; 75.714 ; 80.957 ; 84.019 ; 107.200 ; 106.943 ; 121.889 ; 137.358 ; 121.694 ; 160.988 ; 106.390 ; 123.176 ; 110.953 ; 105.326 ; 104.382 
Abril; 62.214 ; 64.367 ; 67.401 ; 60.178 ; 65.796 ; 64.830 ; 62.170 ; 67.748 ; 77.102 ; 77.864 ; 93.540 ; 96.898 ; 107.131 ; 140.427 ; 132.246 ; 122.928 ; 100.642 ; 99.486 ; 103.697 ; 111.334 ; 78.544 
Maio; 66.760 ; 70.472 ; 73.651 ; 64.493 ; 61.366 ; 62.398 ; 68.231 ; 72.927 ; 78.587 ; 74.804 ; 94.497 ; 99.512 ; 113.972 ; 123.972 ; 144.325 ; 122.929 ; 102.915 ; 105.856 ; 83.068 ; 113.542 ; 88.916 
Junho; 60.891 ; 68.821 ; 67.050 ; 57.838 ; 61.938 ; 61.640 ; 65.102 ; 69.870 ; 76.329 ; 80.031 ; 90.681 ; 99.939 ; 108.448 ; 104.637 ; 118.831 ; 140.263 ; 104.707 ; 101.149 ; 115.786 ; 103.897 ; 101.766 
Julho; 53.947 ; 66.585 ; 70.443 ; 62.138 ; 63.416 ; 63.626 ; 66.706 ; 71.074 ; 79.700 ; 84.602 ; 98.649 ; 99.745 ; 106.303 ; 115.274 ; 137.525 ; 127.285 ; 102.080 ; 101.120 ; 109.523 ; 114.396 ; 114.900 
Agosto; 62.247 ; 72.112 ; 73.457 ; 60.210 ; 66.716 ; 68.640 ; 73.579 ; 77.201 ; 82.299 ; 86.244 ; 100.948 ; 110.580 ; 116.332 ; 118.857 ; 156.279 ; 110.651 ; 111.979 ; 112.294 ; 120.916 ; 117.489 ; 118.877 
Setembro; 64.157 ; 70.366 ; 81.166 ; 68.981 ; 71.298 ; 72.739 ; 77.585 ; 75.882 ; 91.850 ; 94.928 ; 106.264 ; 117.871 ; 112.811 ; 120.723 ; 170.613 ; 115.276 ; 117.872 ; 110.623 ; 113.064 ; 117.277 ; 125.867 
Outubro; 67.177 ; 84.135 ; 89.463 ; 77.538 ; 73.229 ; 75.571 ; 81.623 ; 87.961 ; 98.906 ; 104.951 ; 110.573 ; 118.674 ; 136.411 ; 136.447 ; 177.206 ; 125.956 ; 120.212 ; 128.218 ; 123.678 ; 132.701 ;
Novembro; 72.190 ; 85.860 ; 79.261 ; 72.068 ; 74.777 ; 77.718 ; 79.542 ; 86.513 ; 91.889 ; 99.982 ; 113.542 ; 121.237 ; 166.560 ; 135.617 ; 163.946 ; 126.875 ; 118.999 ; 120.264 ; 120.291 ; 126.690 ;
Dezembro; 74.828 ; 83.910 ; 79.131 ; 81.379 ; 82.055 ; 82.773 ; 78.191 ; 86.531 ; 96.820 ; 105.741 ; 117.043 ; 122.761 ; 156.240 ; 127.961 ; 170.038 ; 121.058 ; 124.530 ; 119.265 ; 126.050 ; 127.128 ;
Total do Ano; 793.404 ; 872.077 ; 899.576 ; 803.135 ; 819.972 ; 828.809 ; 861.111 ; 918.209 ; 1.023.507 ; 1.056.329 ; 1.209.431 ; 1.298.884 ; 1.470.517 ; 1.549.418 ; 1.767.396 ; 1.579.836 ; 1.318.424 ; 1.326.827 ; 1.341.634 ; 1.389.024 ; 968.771 
