Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 151.108 ; 181.955 ; 180.273 ; 178.162 ; 172.566 ; 164.022 ; 178.798 ; 186.226 ; 192.332 ; 186.262 ; 199.715 ; 222.319 ; 238.933 ; 237.984 ; 255.284 ; 257.214 ; 221.792 ; 208.660 ; 191.580 ; 200.495 ; 200.800 ; 189.003 ; 188.854 
Fevereiro; 162.957 ; 157.146 ; 163.668 ; 181.762 ; 160.272 ; 152.886 ; 163.396 ; 173.632 ; 180.592 ; 181.313 ; 200.859 ; 228.418 ; 233.409 ; 213.841 ; 248.165 ; 222.599 ; 224.251 ; 185.747 ; 167.983 ; 188.063 ; 184.010 ; 157.587 ; 183.398 
Março; 152.771 ; 185.582 ; 191.438 ; 168.970 ; 186.336 ; 185.809 ; 190.527 ; 203.258 ; 202.966 ; 210.737 ; 231.258 ; 234.916 ; 260.866 ; 246.314 ; 239.800 ; 259.227 ; 251.324 ; 216.650 ; 189.067 ; 187.207 ; 171.515 ; 195.469 ; 204.655 
Abril; 161.453 ; 172.656 ; 184.803 ; 180.604 ; 177.259 ; 181.635 ; 164.852 ; 186.198 ; 197.526 ; 197.200 ; 211.940 ; 235.750 ; 243.603 ; 248.609 ; 241.006 ; 240.039 ; 223.493 ; 186.874 ; 190.016 ; 193.375 ; 121.933 ; 178.479 ; 196.885 
Maio; 156.015 ; 180.553 ; 185.360 ; 188.520 ; 169.593 ; 183.630 ; 183.428 ; 193.692 ; 207.755 ; 205.595 ; 225.509 ; 248.257 ; 255.672 ; 256.016 ; 260.968 ; 240.017 ; 225.706 ; 206.472 ; 167.357 ; 204.828 ; 136.169 ; 187.939 ; 211.415 
Junho; 178.352 ; 183.167 ; 177.192 ; 176.482 ; 175.415 ; 186.243 ; 179.635 ; 190.573 ; 213.425 ; 209.396 ; 227.260 ; 245.018 ; 252.754 ; 242.418 ; 237.236 ; 254.583 ; 221.310 ; 193.072 ; 191.419 ; 187.821 ; 153.457 ; 183.904 ; 201.545 
Julho; 158.247 ; 182.185 ; 191.104 ; 189.049 ; 177.615 ; 181.027 ; 181.546 ; 200.192 ; 203.838 ; 214.761 ; 231.328 ; 244.429 ; 251.114 ; 252.018 ; 258.190 ; 259.070 ; 229.305 ; 194.256 ; 197.347 ; 207.437 ; 178.694 ; 203.159 ;
Agosto; 186.486 ; 195.574 ; 196.986 ; 180.577 ; 181.849 ; 201.861 ; 192.821 ; 211.080 ; 215.099 ; 205.440 ; 236.249 ; 260.144 ; 273.172 ; 269.871 ; 258.432 ; 257.866 ; 226.648 ; 208.118 ; 198.368 ; 203.849 ; 177.794 ; 202.879 ;
Setembro; 169.692 ; 181.762 ; 184.890 ; 187.172 ; 183.657 ; 193.068 ; 185.287 ; 193.502 ; 218.310 ; 214.950 ; 235.100 ; 249.555 ; 242.590 ; 252.198 ; 265.490 ; 256.968 ; 224.453 ; 200.618 ; 184.763 ; 194.470 ; 179.601 ; 192.874 ;
Outubro; 179.913 ; 190.474 ; 213.852 ; 191.775 ; 178.627 ; 181.166 ; 187.855 ; 212.397 ; 218.657 ; 220.870 ; 228.229 ; 245.629 ; 266.840 ; 269.815 ; 282.293 ; 268.930 ; 217.765 ; 204.376 ; 212.982 ; 213.351 ; 191.350 ; 194.724 ;
Novembro; 173.522 ; 181.438 ; 190.200 ; 171.649 ; 179.891 ; 183.624 ; 184.623 ; 202.421 ; 184.975 ; 211.615 ; 226.065 ; 246.007 ; 246.100 ; 255.034 ; 248.196 ; 244.477 ; 208.191 ; 190.266 ; 192.527 ; 194.892 ; 173.628 ; 189.402 ;
Dezembro; 178.893 ; 185.487 ; 193.327 ; 189.968 ; 196.182 ; 193.747 ; 192.508 ; 202.653 ; 201.544 ; 224.680 ; 227.841 ; 250.683 ; 247.674 ; 250.055 ; 261.934 ; 255.430 ; 219.062 ; 199.921 ; 196.817 ; 207.552 ; 195.788 ; 203.702 ;
