UN. DA FEDERAÇÃO;RIO GRANDE DO NORTE;;;;;;;;;;;;;;;;;;;;
PRODUTO;ÓLEO DIESEL (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 28.048 ; 29.168 ; 31.673 ; 28.878 ; 33.820 ; 28.297 ; 31.539 ; 30.055 ; 32.926 ; 32.356 ; 33.593 ; 34.113 ; 38.564 ; 61.229 ; 54.613 ; 61.854 ; 42.190 ; 36.752 ; 36.545 ; 38.149 ; 39.501 
Fevereiro; 29.457 ; 25.436 ; 26.892 ; 26.403 ; 25.012 ; 25.175 ; 25.961 ; 26.084 ; 28.725 ; 30.708 ; 31.345 ; 33.152 ; 36.178 ; 49.236 ; 44.180 ; 58.777 ; 37.138 ; 34.099 ; 32.391 ; 37.472 ; 35.106 
Março; 26.106 ; 28.378 ; 28.645 ; 23.135 ; 28.673 ; 28.302 ; 30.555 ; 29.533 ; 29.412 ; 31.674 ; 37.113 ; 35.352 ; 40.154 ; 48.474 ; 39.947 ; 59.234 ; 39.482 ; 42.274 ; 38.044 ; 34.816 ; 32.847 
Abril; 25.353 ; 25.430 ; 27.366 ; 24.365 ; 28.094 ; 26.081 ; 24.711 ; 26.836 ; 28.873 ; 28.675 ; 33.093 ; 32.057 ; 35.063 ; 51.560 ; 46.938 ; 45.314 ; 37.479 ; 33.007 ; 33.654 ; 37.675 ; 26.991 
Maio; 28.363 ; 28.133 ; 28.349 ; 27.186 ; 26.862 ; 25.901 ; 29.614 ; 27.715 ; 28.930 ; 27.220 ; 33.530 ; 33.770 ; 39.329 ; 49.570 ; 47.755 ; 47.498 ; 37.366 ; 36.917 ; 30.472 ; 37.090 ; 30.846 
Junho; 24.109 ; 26.615 ; 26.505 ; 25.033 ; 28.013 ; 26.131 ; 28.530 ; 27.277 ; 29.496 ; 30.213 ; 32.733 ; 34.841 ; 37.610 ; 39.395 ; 45.126 ; 52.005 ; 39.584 ; 36.401 ; 36.816 ; 33.592 ; 33.637 
Julho; 23.161 ; 28.079 ; 28.082 ; 27.731 ; 29.594 ; 26.707 ; 28.055 ; 28.752 ; 35.050 ; 32.909 ; 34.966 ; 35.535 ; 38.422 ; 41.187 ; 49.215 ; 50.955 ; 38.516 ; 35.782 ; 36.484 ; 38.310 ; 38.367 
Agosto; 26.647 ; 31.293 ; 29.542 ; 26.885 ; 29.837 ; 29.900 ; 32.926 ; 32.336 ; 30.775 ; 32.201 ; 32.836 ; 39.531 ; 41.399 ; 42.600 ; 56.244 ; 40.378 ; 40.816 ; 38.511 ; 40.057 ; 39.302 ; 37.548 
Setembro; 26.756 ; 28.260 ; 27.372 ; 29.096 ; 30.907 ; 29.739 ; 31.805 ; 30.166 ; 33.548 ; 34.244 ; 34.488 ; 39.056 ; 39.261 ; 42.108 ; 59.566 ; 41.225 ; 42.710 ; 38.093 ; 36.550 ; 37.743 ; 40.029 
Outubro; 27.893 ; 31.352 ; 32.970 ; 31.931 ; 30.292 ; 28.743 ; 31.895 ; 33.984 ; 34.592 ; 36.796 ; 34.473 ; 37.984 ; 47.984 ; 46.133 ; 63.845 ; 46.957 ; 42.537 ; 44.100 ; 40.535 ; 42.245 ;
Novembro; 28.505 ; 32.650 ; 27.637 ; 28.489 ; 30.461 ; 31.528 ; 31.597 ; 32.731 ; 31.030 ; 35.053 ; 34.476 ; 39.589 ; 61.823 ; 45.099 ; 60.538 ; 45.742 ; 41.674 ; 38.601 ; 39.659 ; 39.762 ;
Dezembro; 29.366 ; 30.939 ; 30.453 ; 32.593 ; 32.542 ; 32.597 ; 31.498 ; 32.540 ; 33.874 ; 35.835 ; 36.492 ; 42.281 ; 62.625 ; 46.003 ; 63.216 ; 47.487 ; 42.462 ; 38.056 ; 44.418 ; 39.687 ;
Total do Ano; 323.763 ; 345.734 ; 345.487 ; 331.726 ; 354.107 ; 339.102 ; 358.685 ; 358.010 ; 377.231 ; 387.883 ; 409.139 ; 437.261 ; 518.411 ; 562.593 ; 631.182 ; 597.425 ; 481.954 ; 452.594 ; 445.626 ; 455.842 ; 314.872 
