Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 191.977 ; 193.160 ; 215.731 ; 190.522 ; 208.545 ; 184.900 ; 179.005 ; 184.725 ; 203.712 ; 195.266 ; 204.254 ; 216.263 ; 244.122 ; 264.957 ; 261.551 ; 289.820 ; 244.902 ; 255.214 ; 262.876 ; 256.055 ; 280.488 ; 271.039 ; 284.218 
Fevereiro; 212.425 ; 186.037 ; 197.184 ; 197.649 ; 197.280 ; 180.554 ; 175.924 ; 179.266 ; 202.671 ; 185.599 ; 208.842 ; 232.777 ; 244.123 ; 239.137 ; 273.911 ; 221.986 ; 270.554 ; 248.382 ; 258.377 ; 274.398 ; 277.508 ; 250.940 ; 295.523 
Março; 205.380 ; 244.653 ; 239.910 ; 195.187 ; 270.209 ; 233.861 ; 239.730 ; 256.075 ; 246.107 ; 255.497 ; 303.293 ; 324.824 ; 323.994 ; 301.614 ; 337.076 ; 375.833 ; 332.086 ; 385.549 ; 348.626 ; 355.112 ; 356.771 ; 377.853 ; 352.519 
Abril; 225.538 ; 240.864 ; 226.751 ; 242.138 ; 267.598 ; 217.913 ; 235.921 ; 227.196 ; 273.447 ; 281.690 ; 284.235 ; 289.789 ; 297.213 ; 363.094 ; 343.655 ; 336.234 ; 323.937 ; 318.227 ; 349.265 ; 343.450 ; 296.615 ; 402.707 ; 326.413 
Maio; 223.978 ; 242.727 ; 237.408 ; 240.062 ; 217.709 ; 198.884 ; 211.117 ; 210.717 ; 235.636 ; 225.185 ; 244.417 ; 267.844 ; 288.801 ; 290.011 ; 305.371 ; 280.488 ; 310.531 ; 286.453 ; 231.934 ; 284.972 ; 288.395 ; 310.755 ; 313.962 
Junho; 223.284 ; 227.052 ; 205.328 ; 189.025 ; 204.963 ; 192.171 ; 189.170 ; 197.844 ; 229.212 ; 218.595 ; 237.067 ; 244.024 ; 269.244 ; 274.684 ; 260.491 ; 276.042 ; 300.685 ; 281.545 ; 303.441 ; 279.827 ; 273.049 ; 282.316 ; 277.040 
Julho; 190.840 ; 210.565 ; 211.278 ; 212.078 ; 217.822 ; 193.050 ; 186.534 ; 201.763 ; 205.651 ; 221.384 ; 237.166 ; 239.076 ; 252.159 ; 290.519 ; 283.886 ; 266.579 ; 266.202 ; 287.142 ; 286.598 ; 288.057 ; 273.744 ; 319.426 ;
Agosto; 219.901 ; 245.546 ; 213.202 ; 227.088 ; 241.722 ; 225.409 ; 210.695 ; 220.355 ; 211.577 ; 217.857 ; 260.659 ; 264.805 ; 288.214 ; 308.452 ; 308.671 ; 296.773 ; 300.934 ; 289.888 ; 308.583 ; 318.788 ; 305.691 ; 334.130 ;
Setembro; 195.694 ; 224.118 ; 226.650 ; 235.150 ; 220.755 ; 192.958 ; 204.430 ; 211.023 ; 244.416 ; 220.082 ; 248.263 ; 290.804 ; 259.920 ; 290.075 ; 292.804 ; 305.421 ; 296.022 ; 284.047 ; 280.532 ; 295.999 ; 281.621 ; 305.372 ;
Outubro; 221.513 ; 243.676 ; 258.337 ; 265.034 ; 265.034 ; 213.224 ; 234.196 ; 250.061 ; 248.388 ; 275.686 ; 295.571 ; 297.455 ; 302.476 ; 336.425 ; 342.431 ; 315.541 ; 300.091 ; 309.131 ; 329.644 ; 333.574 ; 346.227 ; 374.250 ;
Novembro; 258.531 ; 248.853 ; 232.115 ; 232.011 ; 221.050 ; 243.670 ; 219.498 ; 247.339 ; 242.121 ; 224.319 ; 276.738 ; 305.112 ; 312.757 ; 328.242 ; 310.220 ; 294.659 ; 316.798 ; 322.692 ; 324.397 ; 331.388 ; 314.412 ; 359.058 ;
Dezembro; 206.371 ; 210.961 ; 214.273 ; 214.035 ; 208.509 ; 204.238 ; 191.566 ; 205.835 ; 213.251 ; 250.657 ; 257.379 ; 258.772 ; 251.344 ; 273.862 ; 275.162 ; 281.122 ; 275.797 ; 265.805 ; 278.366 ; 282.816 ; 283.488 ; 306.069 ;
