UN. DA FEDERAÇÃO;RONDÔNIA;;;;;;;;;;;;;;;;;;;;
PRODUTO;ÓLEO DIESEL (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 47.446 ; 42.405 ; 33.113 ; 33.930 ; 37.700 ; 40.373 ; 42.833 ; 61.830 ; 45.305 ; 48.525 ; 46.397 ; 50.283 ; 52.944 ; 58.426 ; 55.262 ; 59.946 ; 58.035 ; 55.625 ; 61.103 ; 66.044 ; 66.500 
Fevereiro; 50.347 ; 30.995 ; 31.389 ; 33.401 ; 37.153 ; 44.976 ; 41.345 ; 46.422 ; 46.345 ; 46.124 ; 50.684 ; 52.396 ; 55.321 ; 53.262 ; 53.451 ; 50.874 ; 66.912 ; 62.577 ; 66.230 ; 67.114 ; 72.865 
Março; 34.366 ; 38.062 ; 41.782 ; 40.229 ; 45.822 ; 53.919 ; 48.692 ; 46.233 ; 48.343 ; 50.968 ; 63.486 ; 58.550 ; 61.419 ; 60.590 ; 77.033 ; 66.055 ; 68.302 ; 72.293 ; 74.217 ; 72.354 ; 72.951 
Abril; 52.299 ; 37.768 ; 43.911 ; 36.769 ; 45.065 ; 53.460 ; 43.319 ; 43.920 ; 52.185 ; 49.469 ; 59.965 ; 55.065 ; 58.739 ; 63.000 ; 64.098 ; 63.657 ; 67.032 ; 62.763 ; 68.126 ; 71.682 ; 71.609 
Maio; 57.181 ; 51.456 ; 46.799 ; 45.600 ; 44.541 ; 58.131 ; 42.892 ; 48.747 ; 54.755 ; 54.961 ; 64.474 ; 65.757 ; 64.908 ; 66.525 ; 63.604 ; 64.081 ; 66.944 ; 67.945 ; 58.943 ; 75.648 ; 76.812 
Junho; 57.900 ; 49.352 ; 45.750 ; 44.642 ; 48.963 ; 56.386 ; 54.426 ; 54.507 ; 55.434 ; 62.149 ; 64.091 ; 67.117 ; 69.026 ; 65.579 ; 67.758 ; 67.625 ; 66.918 ; 70.747 ; 80.886 ; 73.792 ; 81.325 
Julho; 64.976 ; 58.765 ; 49.967 ; 49.998 ; 54.809 ; 62.509 ; 52.502 ; 55.928 ; 61.961 ; 68.088 ; 70.198 ; 71.224 ; 69.199 ; 69.559 ; 73.009 ; 76.771 ; 72.221 ; 77.870 ; 81.303 ; 85.146 ; 91.214 
Agosto; 61.739 ; 64.218 ; 54.196 ; 51.302 ; 53.585 ; 66.704 ; 55.580 ; 58.916 ; 61.492 ; 63.582 ; 72.131 ; 77.609 ; 72.917 ; 72.297 ; 72.358 ; 72.472 ; 67.036 ; 75.135 ; 77.068 ; 80.909 ; 82.972 
Setembro; 64.759 ; 58.384 ; 50.083 ; 56.377 ; 51.588 ; 54.740 ; 54.011 ; 54.049 ; 60.683 ; 67.814 ; 70.122 ; 70.513 ; 64.731 ; 64.277 ; 70.347 ; 71.553 ; 59.865 ; 73.879 ; 73.889 ; 74.252 ; 79.794 
Outubro; 61.738 ; 64.368 ; 52.933 ; 57.250 ; 53.839 ; 59.149 ; 69.317 ; 57.423 ; 68.012 ; 73.374 ; 68.597 ; 69.449 ; 71.837 ; 73.226 ; 75.856 ; 75.361 ; 62.056 ; 72.895 ; 74.964 ; 80.462 ;
Novembro; 52.987 ; 58.138 ; 48.340 ; 49.754 ; 59.258 ; 59.590 ; 69.467 ; 54.648 ; 58.227 ; 57.214 ; 69.126 ; 72.051 ; 70.723 ; 68.356 ; 72.458 ; 67.156 ; 61.236 ; 74.913 ; 76.674 ; 75.951 ;
Dezembro; 52.157 ; 42.122 ; 43.042 ; 49.221 ; 59.443 ; 53.330 ; 80.245 ; 48.730 ; 54.243 ; 53.451 ; 62.629 ; 65.332 ; 60.457 ; 62.046 ; 63.205 ; 68.926 ; 58.093 ; 66.127 ; 68.002 ; 65.009 ;
Total do Ano; 657.896 ; 596.032 ; 541.304 ; 548.473 ; 591.767 ; 663.267 ; 654.631 ; 631.352 ; 666.986 ; 695.720 ; 761.900 ; 775.346 ; 772.219 ; 777.142 ; 808.440 ; 804.476 ; 774.648 ; 832.770 ; 861.405 ; 888.363 ; 696.041 
