UN. DA FEDERAÇÃO;SANTA CATARINA;;;;;;;;;;;;;;;;;;;;
PRODUTO;ÓLEO DIESEL (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 112.032 ; 124.146 ; 139.788 ; 134.678 ; 135.983 ; 137.332 ; 138.217 ; 145.774 ; 154.893 ; 150.645 ; 152.537 ; 166.518 ; 181.917 ; 194.202 ; 204.293 ; 210.143 ; 188.825 ; 189.196 ; 193.346 ; 202.532 ; 217.912 
Fevereiro; 125.823 ; 117.501 ; 132.222 ; 136.905 ; 135.303 ; 140.130 ; 132.506 ; 140.263 ; 158.743 ; 148.154 ; 164.332 ; 175.765 ; 190.946 ; 181.705 ; 205.468 ; 175.971 ; 197.132 ; 185.264 ; 200.817 ; 202.716 ; 212.039 
Março; 128.508 ; 144.684 ; 148.795 ; 132.654 ; 160.174 ; 166.709 ; 161.619 ; 170.517 ; 170.547 ; 170.941 ; 198.762 ; 207.238 ; 217.312 ; 201.525 ; 215.247 ; 232.367 ; 220.152 ; 228.539 ; 216.242 ; 220.629 ; 212.622 
Abril; 128.595 ; 132.044 ; 142.653 ; 137.274 ; 153.259 ; 150.842 ; 141.730 ; 152.262 ; 176.037 ; 172.560 ; 180.844 ; 192.011 ; 196.825 ; 220.825 ; 216.510 ; 210.642 ; 206.513 ; 190.285 ; 213.609 ; 222.104 ; 185.434 
Maio; 130.191 ; 138.581 ; 144.603 ; 146.858 ; 141.304 ; 152.133 ; 152.927 ; 154.974 ; 174.965 ; 164.629 ; 177.820 ; 198.725 ; 206.891 ; 208.234 ; 218.482 ; 197.684 ; 204.230 ; 206.443 ; 156.347 ; 214.914 ; 201.871 
Junho; 133.611 ; 137.415 ; 133.002 ; 126.138 ; 148.553 ; 154.556 ; 144.793 ; 154.446 ; 170.443 ; 164.650 ; 181.109 ; 186.800 ; 189.439 ; 194.412 ; 191.156 ; 204.703 ; 204.599 ; 197.785 ; 227.824 ; 201.163 ; 200.759 
Julho; 123.684 ; 134.131 ; 145.995 ; 144.717 ; 148.143 ; 151.863 ; 145.923 ; 153.229 ; 172.242 ; 167.791 ; 185.027 ; 183.611 ; 192.914 ; 215.441 ; 220.863 ; 197.565 ; 201.750 ; 207.915 ; 214.826 ; 223.993 ; 219.916 
Agosto; 137.854 ; 149.054 ; 145.413 ; 141.533 ; 162.192 ; 163.845 ; 156.731 ; 168.567 ; 164.241 ; 164.527 ; 191.700 ; 195.266 ; 218.258 ; 215.994 ; 221.014 ; 212.793 ; 208.338 ; 217.909 ; 222.479 ; 231.209 ; 221.923 
Setembro; 123.004 ; 134.194 ; 144.860 ; 145.328 ; 154.741 ; 151.770 ; 148.838 ; 150.812 ; 175.659 ; 167.919 ; 189.323 ; 200.931 ; 194.913 ; 209.135 ; 221.467 ; 197.756 ; 205.979 ; 207.539 ; 195.772 ; 211.511 ; 230.960 
Outubro; 131.587 ; 144.442 ; 162.976 ; 152.757 ; 149.867 ; 140.072 ; 151.632 ; 167.944 ; 173.950 ; 183.705 ; 187.252 ; 201.828 ; 208.018 ; 229.973 ; 239.596 ; 198.396 ; 193.849 ; 209.015 ; 209.707 ; 237.663 ;
Novembro; 134.748 ; 142.180 ; 141.988 ; 136.340 ; 144.971 ; 148.831 ; 148.356 ; 161.431 ; 151.529 ; 173.237 ; 189.998 ; 199.911 ; 202.873 ; 217.985 ; 209.523 ; 191.306 ; 198.882 ; 210.020 ; 213.529 ; 217.194 ;
Dezembro; 123.744 ; 121.212 ; 136.520 ; 134.245 ; 143.623 ; 147.901 ; 139.643 ; 147.648 ; 159.461 ; 172.875 ; 184.222 ; 190.515 ; 178.188 ; 190.357 ; 198.412 ; 192.369 ; 187.660 ; 192.954 ; 195.404 ; 201.140 ;
Total do Ano; 1.533.381 ; 1.619.582 ; 1.718.814 ; 1.669.427 ; 1.778.111 ; 1.805.983 ; 1.762.915 ; 1.867.867 ; 2.002.709 ; 2.001.633 ; 2.182.927 ; 2.299.119 ; 2.378.493 ; 2.479.788 ; 2.562.031 ; 2.421.694 ; 2.417.908 ; 2.442.864 ; 2.459.901 ; 2.586.769 ; 1.903.437 
