UN. DA FEDERAÇÃO;SÃO PAULO;;;;;;;;;;;;;;;;;;;;
PRODUTO;ÓLEO DIESEL (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 594.407 ; 666.508 ; 718.370 ; 634.853 ; 644.415 ; 616.527 ; 652.996 ; 662.640 ; 727.004 ; 685.885 ; 723.346 ; 744.874 ; 809.877 ; 907.519 ; 919.636 ; 936.962 ; 790.034 ; 770.086 ; 828.055 ; 877.214 ; 888.871 
Fevereiro; 671.903 ; 614.476 ; 666.965 ; 644.704 ; 628.951 ; 665.504 ; 623.812 ; 678.763 ; 732.897 ; 678.240 ; 783.026 ; 837.278 ; 903.311 ; 878.946 ; 959.603 ; 820.487 ; 870.456 ; 839.855 ; 852.260 ; 889.867 ; 884.739 
Março; 647.753 ; 760.401 ; 794.016 ; 657.879 ; 810.296 ; 777.205 ; 791.556 ; 828.427 ; 800.881 ; 826.783 ; 965.816 ; 919.945 ; 1.051.826 ; 992.246 ; 997.848 ; 1.000.867 ; 1.000.222 ; 1.028.635 ; 1.020.647 ; 947.964 ; 982.120 
Abril; 663.194 ; 701.500 ; 754.780 ; 688.898 ; 765.774 ; 766.676 ; 718.719 ; 766.365 ; 864.571 ; 848.655 ; 943.458 ; 930.996 ; 946.269 ; 1.104.194 ; 1.056.620 ; 1.031.306 ; 1.049.551 ; 923.259 ; 1.040.969 ; 1.029.189 ; 875.620 
Maio; 703.252 ; 750.654 ; 787.097 ; 792.544 ; 744.774 ; 775.750 ; 807.902 ; 847.492 ; 907.593 ; 880.124 ; 1.013.500 ; 1.077.351 ; 1.066.016 ; 1.147.649 ; 1.150.525 ; 1.058.732 ; 1.011.552 ; 1.061.461 ; 890.427 ; 1.121.811 ; 955.767 
Junho; 764.294 ; 787.424 ; 787.276 ; 749.945 ; 779.373 ; 822.380 ; 796.629 ; 851.936 ; 948.954 ; 900.263 ; 1.007.617 ; 1.057.117 ; 1.006.902 ; 1.075.781 ; 1.062.005 ; 1.094.871 ; 1.022.674 ; 1.076.520 ; 1.142.959 ; 1.046.639 ; 1.029.323 
Julho; 708.981 ; 799.241 ; 827.979 ; 826.175 ; 835.793 ; 808.971 ; 796.742 ; 820.669 ; 951.124 ; 914.652 ; 1.035.389 ; 1.081.388 ; 1.118.146 ; 1.161.248 ; 1.136.622 ; 1.100.104 ; 1.078.464 ; 1.091.562 ; 1.101.719 ; 1.147.045 ; 1.142.558 
Agosto; 808.063 ; 868.297 ; 845.632 ; 816.898 ; 875.227 ; 890.862 ; 857.082 ; 937.900 ; 945.653 ; 917.633 ; 1.052.250 ; 1.153.827 ; 1.240.226 ; 1.272.781 ; 1.182.354 ; 1.143.570 ; 1.120.281 ; 1.140.528 ; 1.154.393 ; 1.192.789 ; 1.103.391 
Setembro; 744.625 ; 806.762 ; 833.546 ; 842.742 ; 842.390 ; 821.824 ; 833.302 ; 853.819 ; 982.660 ; 931.779 ; 1.010.397 ; 1.119.478 ; 1.106.656 ; 1.155.116 ; 1.152.055 ; 1.093.811 ; 1.090.699 ; 1.113.984 ; 1.058.007 ; 1.083.099 ; 1.126.664 
Outubro; 779.109 ; 917.596 ; 920.224 ; 872.343 ; 815.627 ; 810.580 ; 836.684 ; 922.100 ; 997.237 ; 1.017.724 ; 1.024.913 ; 1.044.232 ; 1.211.489 ; 1.233.312 ; 1.241.558 ; 1.173.649 ; 1.039.449 ; 1.095.493 ; 1.076.116 ; 1.209.981 ;
Novembro; 729.761 ; 853.470 ; 744.824 ; 730.116 ; 798.978 ; 796.234 ; 791.673 ; 864.122 ; 883.413 ; 925.444 ; 985.268 ; 1.012.487 ; 1.125.586 ; 1.131.038 ; 1.014.290 ; 977.727 ; 973.446 ; 997.923 ; 1.017.785 ; 1.024.754 ;
Dezembro; 675.935 ; 700.541 ; 683.036 ; 708.602 ; 757.108 ; 738.007 ; 697.934 ; 756.157 ; 815.348 ; 872.265 ; 892.970 ; 923.200 ; 952.832 ; 967.017 ; 957.037 ; 958.403 ; 888.020 ; 909.606 ; 929.368 ; 870.826 ;
Total do Ano; 8.491.277 ; 9.226.870 ; 9.363.746 ; 8.965.698 ; 9.298.706 ; 9.290.521 ; 9.205.030 ; 9.790.389 ; 10.557.333 ; 10.399.446 ; 11.437.951 ; 11.902.172 ; 12.539.135 ; 13.026.850 ; 12.830.153 ; 12.390.488 ; 11.934.849 ; 12.048.913 ; 12.112.706 ; 12.441.179 ; 8.989.053 
