Mês;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Janeiro; 17.466 ; 18.415 ; 20.469 ; 20.394 ; 19.479 ; 19.925 ; 19.932 ; 22.865 ; 25.930 ; 23.777 ; 25.327 ; 26.815 ; 29.557 ; 30.303 ; 34.169 ; 32.574 ; 25.719 ; 26.238 ; 26.719 ; 26.750 ; 26.366 ; 26.879 ; 26.305 
Fevereiro; 19.030 ; 16.489 ; 18.221 ; 20.034 ; 17.117 ; 19.323 ; 18.082 ; 19.649 ; 24.339 ; 23.036 ; 23.743 ; 26.097 ; 28.073 ; 27.124 ; 31.907 ; 26.743 ; 25.945 ; 23.888 ; 23.642 ; 24.463 ; 24.073 ; 23.956 ; 26.549 
Março; 18.534 ; 19.195 ; 19.943 ; 18.425 ; 20.806 ; 21.634 ; 20.936 ; 22.919 ; 24.809 ; 24.543 ; 28.859 ; 28.469 ; 32.415 ; 29.538 ; 32.163 ; 32.423 ; 27.670 ; 27.316 ; 26.085 ; 24.964 ; 24.050 ; 27.555 ; 30.846 
Abril; 17.185 ; 17.505 ; 19.123 ; 17.660 ; 19.354 ; 21.023 ; 17.793 ; 22.747 ; 26.535 ; 23.388 ; 25.463 ; 27.264 ; 28.657 ; 30.879 ; 31.301 ; 29.769 ; 27.092 ; 24.881 ; 26.059 ; 27.033 ; 22.135 ; 27.204 ; 30.749 
Maio; 18.538 ; 18.672 ; 19.964 ; 20.380 ; 19.642 ; 20.536 ; 19.735 ; 25.650 ; 25.414 ; 22.232 ; 25.904 ; 28.335 ; 29.835 ; 31.017 ; 33.976 ; 29.166 ; 27.594 ; 27.476 ; 22.873 ; 27.075 ; 23.210 ; 26.697 ; 34.322 
Junho; 17.612 ; 19.191 ; 17.764 ; 17.858 ; 19.555 ; 19.885 ; 18.458 ; 23.336 ; 25.127 ; 22.274 ; 24.240 ; 26.311 ; 28.273 ; 26.836 ; 28.512 ; 28.189 ; 25.810 ; 24.982 ; 26.905 ; 23.243 ; 23.114 ; 23.702 ; 29.559 
Julho; 16.524 ; 19.166 ; 18.597 ; 18.634 ; 18.924 ; 18.972 ; 17.919 ; 23.291 ; 25.421 ; 23.650 ; 25.637 ; 25.680 ; 27.308 ; 27.936 ; 29.419 ; 27.606 ; 24.720 ; 23.430 ; 24.035 ; 24.347 ; 24.692 ; 24.440 ;
Agosto; 18.254 ; 19.797 ; 19.406 ; 19.554 ; 19.679 ; 21.532 ; 20.742 ; 24.282 ; 26.135 ; 23.318 ; 27.803 ; 28.451 ; 29.806 ; 30.408 ; 30.297 ; 27.006 ; 28.127 ; 26.352 ; 27.843 ; 25.884 ; 25.588 ; 26.549 ;
Setembro; 17.514 ; 18.231 ; 19.406 ; 21.062 ; 20.749 ; 21.888 ; 21.274 ; 22.368 ; 26.173 ; 24.717 ; 28.428 ; 29.007 ; 28.467 ; 30.177 ; 32.693 ; 29.593 ; 25.595 ; 24.367 ; 25.883 ; 26.240 ; 26.154 ; 26.236 ;
Outubro; 18.269 ; 20.441 ; 21.926 ; 20.272 ; 20.601 ; 19.527 ; 20.299 ; 27.907 ; 26.278 ; 27.851 ; 29.219 ; 28.938 ; 31.172 ; 32.741 ; 33.668 ; 32.069 ; 27.205 ; 26.619 ; 28.888 ; 29.002 ; 30.126 ; 28.556 ;
Novembro; 18.617 ; 20.200 ; 20.173 ; 18.159 ; 21.451 ; 19.825 ; 21.021 ; 26.604 ; 24.099 ; 27.552 ; 30.389 ; 30.062 ; 31.168 ; 32.760 ; 31.750 ; 28.984 ; 27.306 ; 28.471 ; 28.167 ; 27.951 ; 27.872 ; 28.361 ;
Dezembro; 18.610 ; 20.633 ; 20.323 ; 20.825 ; 22.094 ; 20.829 ; 20.880 ; 25.553 ; 25.018 ; 28.466 ; 31.678 ; 31.871 ; 31.089 ; 34.907 ; 33.129 ; 30.535 ; 27.738 ; 27.480 ; 26.736 ; 27.724 ; 29.491 ; 29.384 ;
