UN. DA FEDERAÇÃO;TOCANTINS;;;;;;;;;;;;;;;;;;;;
PRODUTO;ÓLEO DIESEL (m3);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;ANO;;;;;;;;;;;;;;;;;;;;
Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Janeiro; 26.251 ; 26.246 ; 27.223 ; 26.979 ; 28.537 ; 29.880 ; 30.628 ; 39.480 ; 43.375 ; 41.741 ; 44.782 ; 48.012 ; 52.567 ; 59.052 ; 63.854 ; 66.928 ; 56.829 ; 59.916 ; 68.965 ; 72.200 ; 74.915 
Fevereiro; 27.310 ; 24.553 ; 25.804 ; 26.282 ; 28.164 ; 25.889 ; 29.355 ; 35.691 ; 42.012 ; 37.519 ; 44.909 ; 48.548 ; 52.600 ; 58.130 ; 66.960 ; 61.092 ; 65.681 ; 62.583 ; 65.566 ; 81.245 ; 85.914 
Março; 24.848 ; 24.523 ; 29.721 ; 25.873 ; 33.149 ; 34.479 ; 36.213 ; 44.545 ; 45.376 ; 44.945 ; 56.840 ; 55.688 ; 62.960 ; 69.912 ; 70.742 ; 76.946 ; 78.011 ; 86.223 ; 88.876 ; 82.703 ; 91.599 
Abril; 25.427 ; 26.372 ; 30.166 ; 27.501 ; 34.490 ; 36.618 ; 33.076 ; 41.369 ; 48.525 ; 45.077 ; 52.815 ; 54.729 ; 60.200 ; 72.000 ; 72.983 ; 76.588 ; 72.156 ; 71.775 ; 84.403 ; 81.840 ; 77.712 
Maio; 28.248 ; 29.445 ; 32.402 ; 31.209 ; 35.847 ; 37.770 ; 38.256 ; 44.161 ; 50.037 ; 46.400 ; 54.837 ; 58.393 ; 64.788 ; 70.403 ; 75.815 ; 71.732 ; 71.703 ; 78.084 ; 61.100 ; 86.602 ; 86.427 
Junho; 30.740 ; 30.281 ; 31.594 ; 32.372 ; 36.444 ; 39.069 ; 37.740 ; 44.808 ; 51.302 ; 49.792 ; 55.321 ; 57.647 ; 65.053 ; 68.172 ; 72.309 ; 74.635 ; 72.336 ; 77.126 ; 87.904 ; 80.627 ; 94.286 
Julho; 28.624 ; 31.720 ; 33.690 ; 35.856 ; 39.023 ; 39.232 ; 39.936 ; 46.774 ; 52.801 ; 53.249 ; 59.571 ; 60.191 ; 65.301 ; 73.084 ; 80.740 ; 76.482 ; 71.175 ; 80.174 ; 83.566 ; 90.727 ; 107.298 
Agosto; 32.682 ; 32.859 ; 34.530 ; 35.128 ; 37.970 ; 42.755 ; 41.655 ; 48.820 ; 53.730 ; 48.642 ; 60.310 ; 63.630 ; 71.292 ; 77.781 ; 79.580 ; 74.377 ; 74.096 ; 84.472 ; 88.854 ; 94.935 ; 103.670 
Setembro; 31.127 ; 31.421 ; 33.968 ; 36.718 ; 39.344 ; 40.977 ; 41.145 ; 44.570 ; 53.648 ; 50.211 ; 60.168 ; 61.583 ; 64.791 ; 74.623 ; 82.475 ; 76.606 ; 68.221 ; 80.363 ; 82.048 ; 90.081 ; 104.025 
Outubro; 32.609 ; 30.855 ; 38.526 ; 40.935 ; 37.568 ; 38.176 ; 40.606 ; 50.190 ; 54.207 ; 55.857 ; 58.682 ; 63.588 ; 74.320 ; 81.012 ; 88.603 ; 84.239 ; 70.238 ; 83.914 ; 90.416 ; 98.433 ;
Novembro; 31.565 ; 29.392 ; 36.147 ; 37.104 ; 38.307 ; 37.826 ; 41.556 ; 50.091 ; 48.827 ; 51.488 ; 58.999 ; 60.268 ; 71.052 ; 78.762 ; 78.220 ; 74.490 ; 69.652 ; 84.078 ; 87.880 ; 89.832 ;
Dezembro; 28.259 ; 25.757 ; 31.858 ; 36.385 ; 37.900 ; 37.104 ; 40.242 ; 47.866 ; 48.077 ; 51.660 ; 57.881 ; 60.767 ; 65.677 ; 70.167 ; 75.700 ; 73.308 ; 68.760 ; 74.635 ; 76.145 ; 77.722 ;
Total do Ano; 347.689 ; 343.425 ; 385.628 ; 392.342 ; 426.743 ; 439.776 ; 450.407 ; 538.366 ; 591.918 ; 576.580 ; 665.116 ; 693.043 ; 770.601 ; 853.100 ; 907.980 ; 887.420 ; 838.858 ; 923.342 ; 965.723 ; 1.026.947 ; 825.846 
