ano_mês,uf,produto,unid,volume,criado_em,ano
2000-01,AC,Gasolina de Aviação,m3,,2022-09-10,
2000-02,AC,Gasolina de Aviação,m3,,2022-09-10,
2000-03,AC,Gasolina de Aviação,m3,,2022-09-10,
2000-04,AC,Gasolina de Aviação,m3,,2022-09-10,
2000-05,AC,Gasolina de Aviação,m3,,2022-09-10,
2000-06,AC,Gasolina de Aviação,m3,,2022-09-10,
2000-07,AC,Gasolina de Aviação,m3,,2022-09-10,
2000-08,AC,Gasolina de Aviação,m3,,2022-09-10,
2000-09,AC,Gasolina de Aviação,m3,,2022-09-10,
2000-10,AC,Gasolina de Aviação,m3,,2022-09-10,
2000-11,AC,Gasolina de Aviação,m3,,2022-09-10,
2000-12,AC,Gasolina de Aviação,m3,,2022-09-10,
2001-01,AC,Gasolina de Aviação,m3,  5 ,2022-09-10,
2001-02,AC,Gasolina de Aviação,m3,  3 ,2022-09-10,
2001-03,AC,Gasolina de Aviação,m3,  2 ,2022-09-10,
2001-04,AC,Gasolina de Aviação,m3,  7 ,2022-09-10,
2001-05,AC,Gasolina de Aviação,m3,  2 ,2022-09-10,
2001-06,AC,Gasolina de Aviação,m3,  NaN   ,2022-09-10,
2001-07,AC,Gasolina de Aviação,m3,  NaN   ,2022-09-10,
2001-08,AC,Gasolina de Aviação,m3,  NaN   ,2022-09-10,
2001-09,AC,Gasolina de Aviação,m3,  NaN   ,2022-09-10,
2001-10,AC,Gasolina de Aviação,m3,  NaN   ,2022-09-10,
2001-11,AC,Gasolina de Aviação,m3,  NaN   ,2022-09-10,
2001-12,AC,Gasolina de Aviação,m3,  0 ,2022-09-10,
2002-01,AC,Gasolina de Aviação,m3,  NaN   ,2022-09-10,
2002-02,AC,Gasolina de Aviação,m3,  NaN   ,2022-09-10,
2002-03,AC,Gasolina de Aviação,m3,  20 ,2022-09-10,
2002-04,AC,Gasolina de Aviação,m3,  25 ,2022-09-10,
2002-05,AC,Gasolina de Aviação,m3,  15 ,2022-09-10,
2002-06,AC,Gasolina de Aviação,m3,  70 ,2022-09-10,
2002-07,AC,Gasolina de Aviação,m3,  NaN   ,2022-09-10,
2002-08,AC,Gasolina de Aviação,m3,  45 ,2022-09-10,
2002-09,AC,Gasolina de Aviação,m3,  60 ,2022-09-10,
2002-10,AC,Gasolina de Aviação,m3,  75 ,2022-09-10,
2002-11,AC,Gasolina de Aviação,m3,  90 ,2022-09-10,
2002-12,AC,Gasolina de Aviação,m3,  90 ,2022-09-10,
2003-01,AC,Gasolina de Aviação,m3,  60 ,2022-09-10,
2003-02,AC,Gasolina de Aviação,m3,  NaN   ,2022-09-10,
2003-03,AC,Gasolina de Aviação,m3,  60 ,2022-09-10,
2003-04,AC,Gasolina de Aviação,m3,  NaN   ,2022-09-10,
2003-05,AC,Gasolina de Aviação,m3,  60 ,2022-09-10,
2003-06,AC,Gasolina de Aviação,m3,  NaN   ,2022-09-10,
2003-07,AC,Gasolina de Aviação,m3,  60 ,2022-09-10,
2003-08,AC,Gasolina de Aviação,m3,  NaN   ,2022-09-10,
2003-09,AC,Gasolina de Aviação,m3,  60 ,2022-09-10,
2003-10,AC,Gasolina de Aviação,m3,  60 ,2022-09-10,
2003-11,AC,Gasolina de Aviação,m3,  60 ,2022-09-10,
2003-12,AC,Gasolina de Aviação,m3,  30 ,2022-09-10,
2004-01,AC,Gasolina de Aviação,m3,  60 ,2022-09-10,
2004-02,AC,Gasolina de Aviação,m3,  NaN   ,2022-09-10,
2004-03,AC,Gasolina de Aviação,m3,  60 ,2022-09-10,
2004-04,AC,Gasolina de Aviação,m3,  NaN   ,2022-09-10,
2004-05,AC,Gasolina de Aviação,m3,  60 ,2022-09-10,
2004-06,AC,Gasolina de Aviação,m3,  NaN   ,2022-09-10,
2004-07,AC,Gasolina de Aviação,m3,  90 ,2022-09-10,
2004-08,AC,Gasolina de Aviação,m3,  30 ,2022-09-10,
2004-09,AC,Gasolina de Aviação,m3,  60 ,2022-09-10,
2004-10,AC,Gasolina de Aviação,m3,  90 ,2022-09-10,
2004-11,AC,Gasolina de Aviação,m3,  60 ,2022-09-10,
2004-12,AC,Gasolina de Aviação,m3,  NaN   ,2022-09-10,
2005-01,AC,Gasolina de Aviação,m3,,2022-09-10,
2005-02,AC,Gasolina de Aviação,m3,,2022-09-10,
2005-03,AC,Gasolina de Aviação,m3,,2022-09-10,
2005-04,AC,Gasolina de Aviação,m3,,2022-09-10,
2005-05,AC,Gasolina de Aviação,m3,,2022-09-10,
2005-06,AC,Gasolina de Aviação,m3,,2022-09-10,
2005-07,AC,Gasolina de Aviação,m3,,2022-09-10,
2005-08,AC,Gasolina de Aviação,m3,,2022-09-10,
2005-09,AC,Gasolina de Aviação,m3,,2022-09-10,
2005-10,AC,Gasolina de Aviação,m3,,2022-09-10,
2005-11,AC,Gasolina de Aviação,m3,,2022-09-10,
2005-12,AC,Gasolina de Aviação,m3,,2022-09-10,
