ano_mês,uf,produto,unid,volume,criado_em,ano
2000-01,AC,GLP,m3,1.959,2022-09-10,
2000-02,AC,GLP,m3,2.216,2022-09-10,
2000-03,AC,GLP,m3,2.305,2022-09-10,
2000-04,AC,GLP,m3,2.19,2022-09-10,
2000-05,AC,GLP,m3,2.267,2022-09-10,
2000-06,AC,GLP,m3,2.058,2022-09-10,
2000-07,AC,GLP,m3,2.199,2022-09-10,
2000-08,AC,GLP,m3,2.149,2022-09-10,
2000-09,AC,GLP,m3,2.242,2022-09-10,
2000-10,AC,GLP,m3,2.174,2022-09-10,
2000-11,AC,GLP,m3,2.373,2022-09-10,
2000-12,AC,GLP,m3,2.198,2022-09-10,
2001-01,AC,GLP,m3,2.249,2022-09-10,
2001-02,AC,GLP,m3,2.064,2022-09-10,
2001-03,AC,GLP,m3,2.041,2022-09-10,
2001-04,AC,GLP,m3,2.179,2022-09-10,
2001-05,AC,GLP,m3,1.993,2022-09-10,
2001-06,AC,GLP,m3,2.488,2022-09-10,
2001-07,AC,GLP,m3,1.848,2022-09-10,
2001-08,AC,GLP,m3,2.672,2022-09-10,
2001-09,AC,GLP,m3,1.772,2022-09-10,
2001-10,AC,GLP,m3,2.705,2022-09-10,
2001-11,AC,GLP,m3,2.274,2022-09-10,
2001-12,AC,GLP,m3,2.526,2022-09-10,
2002-01,AC,GLP,m3,1.806,2022-09-10,
2002-02,AC,GLP,m3,1.818,2022-09-10,
2002-03,AC,GLP,m3,2.21,2022-09-10,
2002-04,AC,GLP,m3,1.471,2022-09-10,
2002-05,AC,GLP,m3,2.464,2022-09-10,
2002-06,AC,GLP,m3,1.277,2022-09-10,
2002-07,AC,GLP,m3,2.101,2022-09-10,
2002-08,AC,GLP,m3,1.582,2022-09-10,
2002-09,AC,GLP,m3,1.849,2022-09-10,
2002-10,AC,GLP,m3,2.02,2022-09-10,
2002-11,AC,GLP,m3,2.531,2022-09-10,
2002-12,AC,GLP,m3,2.36,2022-09-10,
2003-01,AC,GLP,m3,1.524,2022-09-10,
2003-02,AC,GLP,m3,1.601,2022-09-10,
2003-03,AC,GLP,m3,1.625,2022-09-10,
2003-04,AC,GLP,m3,1.715,2022-09-10,
2003-05,AC,GLP,m3,1.648,2022-09-10,
2003-06,AC,GLP,m3,1.583,2022-09-10,
2003-07,AC,GLP,m3,1.821,2022-09-10,
2003-08,AC,GLP,m3,1.532,2022-09-10,
2003-09,AC,GLP,m3,1.52,2022-09-10,
2003-10,AC,GLP,m3,1.887,2022-09-10,
2003-11,AC,GLP,m3,1.517,2022-09-10,
2003-12,AC,GLP,m3,2.098,2022-09-10,
2004-01,AC,GLP,m3,1.679,2022-09-10,
2004-02,AC,GLP,m3,1.471,2022-09-10,
2004-03,AC,GLP,m3,1.691,2022-09-10,
2004-04,AC,GLP,m3,1.69,2022-09-10,
2004-05,AC,GLP,m3,2.006,2022-09-10,
2004-06,AC,GLP,m3,1.482,2022-09-10,
2004-07,AC,GLP,m3,1.798,2022-09-10,
2004-08,AC,GLP,m3,1.684,2022-09-10,
2004-09,AC,GLP,m3,1.337,2022-09-10,
2004-10,AC,GLP,m3,1.442,2022-09-10,
2004-11,AC,GLP,m3,1.951,2022-09-10,
2004-12,AC,GLP,m3,1.665,2022-09-10,
2005-01,AC,GLP,m3,1.296,2022-09-10,
2005-02,AC,GLP,m3,1.432,2022-09-10,
2005-03,AC,GLP,m3,1.758,2022-09-10,
2005-04,AC,GLP,m3,1.407,2022-09-10,
2005-05,AC,GLP,m3,1.915,2022-09-10,
2005-06,AC,GLP,m3,1.658,2022-09-10,
2005-07,AC,GLP,m3,1.472,2022-09-10,
2005-08,AC,GLP,m3,1.819,2022-09-10,
2005-09,AC,GLP,m3,1.492,2022-09-10,
2005-10,AC,GLP,m3,1.467,2022-09-10,
2005-11,AC,GLP,m3,1.72,2022-09-10,
2005-12,AC,GLP,m3,1.577,2022-09-10,
2006-01,AC,GLP,m3,1.859,2022-09-10,
2006-02,AC,GLP,m3,1.463,2022-09-10,
2006-03,AC,GLP,m3,2.106,2022-09-10,
2006-04,AC,GLP,m3,1.974,2022-09-10,
2006-05,AC,GLP,m3,1.756,2022-09-10,
2006-06,AC,GLP,m3,1.709,2022-09-10,
2006-07,AC,GLP,m3,1.421,2022-09-10,
2006-08,AC,GLP,m3,1.569,2022-09-10,
2006-09,AC,GLP,m3,1.485,2022-09-10,
2006-10,AC,GLP,m3,1.533,2022-09-10,
2006-11,AC,GLP,m3,1.688,2022-09-10,
2006-12,AC,GLP,m3,1.898,2022-09-10,
2007-01,AC,GLP,m3,1.996,2022-09-10,
2007-02,AC,GLP,m3,1.694,2022-09-10,
2007-03,AC,GLP,m3,1.904,2022-09-10,
2007-04,AC,GLP,m3,2.147,2022-09-10,
2007-05,AC,GLP,m3,2.069,2022-09-10,
2007-06,AC,GLP,m3,2.054,2022-09-10,
2007-07,AC,GLP,m3,2.017,2022-09-10,
2007-08,AC,GLP,m3,1.989,2022-09-10,
2007-09,AC,GLP,m3,1.703,2022-09-10,
2007-10,AC,GLP,m3,2.085,2022-09-10,
2007-11,AC,GLP,m3,2.145,2022-09-10,
2007-12,AC,GLP,m3,1.989,2022-09-10,
2008-01,AC,GLP,m3,1.951,2022-09-10,
2008-02,AC,GLP,m3,2.087,2022-09-10,
2008-03,AC,GLP,m3,2.174,2022-09-10,
2008-04,AC,GLP,m3,2.217,2022-09-10,
2008-05,AC,GLP,m3,2.511,2022-09-10,
2008-06,AC,GLP,m3,1.942,2022-09-10,
2008-07,AC,GLP,m3,2.19,2022-09-10,
2008-08,AC,GLP,m3,2.381,2022-09-10,
2008-09,AC,GLP,m3,1.93,2022-09-10,
2008-10,AC,GLP,m3,2.046,2022-09-10,
2008-11,AC,GLP,m3,1.821,2022-09-10,
2008-12,AC,GLP,m3,2.086,2022-09-10,
2009-01,AC,GLP,m3,1.901,2022-09-10,
2009-02,AC,GLP,m3,1.989,2022-09-10,
2009-03,AC,GLP,m3,2.33,2022-09-10,
2009-04,AC,GLP,m3,2.311,2022-09-10,
2009-05,AC,GLP,m3,2.551,2022-09-10,
2009-06,AC,GLP,m3,2.076,2022-09-10,
2009-07,AC,GLP,m3,2.602,2022-09-10,
2009-08,AC,GLP,m3,1.953,2022-09-10,
2009-09,AC,GLP,m3,2.029,2022-09-10,
2009-10,AC,GLP,m3,2.276,2022-09-10,
2009-11,AC,GLP,m3,1.882,2022-09-10,
2009-12,AC,GLP,m3,2.775,2022-09-10,
2010-01,AC,GLP,m3,2.103,2022-09-10,
2010-02,AC,GLP,m3,2.338,2022-09-10,
2010-03,AC,GLP,m3,2.092,2022-09-10,
2010-04,AC,GLP,m3,2.615,2022-09-10,
2010-05,AC,GLP,m3,2.506,2022-09-10,
2010-06,AC,GLP,m3,2.206,2022-09-10,
2010-07,AC,GLP,m3,2.173,2022-09-10,
2010-08,AC,GLP,m3,2.213,2022-09-10,
2010-09,AC,GLP,m3,2.227,2022-09-10,
2010-10,AC,GLP,m3,2.377,2022-09-10,
2010-11,AC,GLP,m3,2.339,2022-09-10,
2010-12,AC,GLP,m3,2.446,2022-09-10,
2011-01,AC,GLP,m3,2.12,2022-09-10,
2011-02,AC,GLP,m3,2.88,2022-09-10,
2011-03,AC,GLP,m3,2.571,2022-09-10,
2011-04,AC,GLP,m3,2.885,2022-09-10,
2011-05,AC,GLP,m3,2.565,2022-09-10,
2011-06,AC,GLP,m3,2.316,2022-09-10,
2011-07,AC,GLP,m3,2.452,2022-09-10,
2011-08,AC,GLP,m3,2.53,2022-09-10,
2011-09,AC,GLP,m3,2.54,2022-09-10,
2011-10,AC,GLP,m3,2.824,2022-09-10,
