ano_mês,uf,produto,unid,venda,criado_em
2000-01,AC,Etanol Hidratado,m3,501.0,2022-09-10
2000-02,AC,Etanol Hidratado,m3,454.0,2022-09-10
2000-03,AC,Etanol Hidratado,m3,676.0,2022-09-10
2000-04,AC,Etanol Hidratado,m3,678.0,2022-09-10
2000-05,AC,Etanol Hidratado,m3,1.467,2022-09-10
2000-06,AC,Etanol Hidratado,m3,351.0,2022-09-10
2000-07,AC,Etanol Hidratado,m3,451.0,2022-09-10
2000-08,AC,Etanol Hidratado,m3,603.0,2022-09-10
2000-09,AC,Etanol Hidratado,m3,531.0,2022-09-10
2000-10,AC,Etanol Hidratado,m3,573.0,2022-09-10
2000-11,AC,Etanol Hidratado,m3,305.0,2022-09-10
2000-12,AC,Etanol Hidratado,m3,566.0,2022-09-10
2001-01,AC,Etanol Hidratado,m3,431.0,2022-09-10
2001-02,AC,Etanol Hidratado,m3,387.0,2022-09-10
2001-03,AC,Etanol Hidratado,m3,428.0,2022-09-10
2001-04,AC,Etanol Hidratado,m3,401.0,2022-09-10
2001-05,AC,Etanol Hidratado,m3,427.0,2022-09-10
2001-06,AC,Etanol Hidratado,m3,446.0,2022-09-10
2001-07,AC,Etanol Hidratado,m3,402.0,2022-09-10
2001-08,AC,Etanol Hidratado,m3,476.0,2022-09-10
2001-09,AC,Etanol Hidratado,m3,427.0,2022-09-10
2001-10,AC,Etanol Hidratado,m3,304.0,2022-09-10
2001-11,AC,Etanol Hidratado,m3,365.0,2022-09-10
2001-12,AC,Etanol Hidratado,m3,277.0,2022-09-10
2002-01,AC,Etanol Hidratado,m3,310.0,2022-09-10
2002-02,AC,Etanol Hidratado,m3,306.0,2022-09-10
2002-03,AC,Etanol Hidratado,m3,395.0,2022-09-10
2002-04,AC,Etanol Hidratado,m3,447.0,2022-09-10
2002-05,AC,Etanol Hidratado,m3,411.0,2022-09-10
2002-06,AC,Etanol Hidratado,m3,362.0,2022-09-10
2002-07,AC,Etanol Hidratado,m3,379.0,2022-09-10
2002-08,AC,Etanol Hidratado,m3,407.0,2022-09-10
2002-09,AC,Etanol Hidratado,m3,458.0,2022-09-10
2002-10,AC,Etanol Hidratado,m3,450.0,2022-09-10
2002-11,AC,Etanol Hidratado,m3,288.0,2022-09-10
2002-12,AC,Etanol Hidratado,m3,215.0,2022-09-10
2003-01,AC,Etanol Hidratado,m3,250.0,2022-09-10
2003-02,AC,Etanol Hidratado,m3,316.0,2022-09-10
2003-03,AC,Etanol Hidratado,m3,350.0,2022-09-10
2003-04,AC,Etanol Hidratado,m3,255.0,2022-09-10
2003-05,AC,Etanol Hidratado,m3,253.0,2022-09-10
2003-06,AC,Etanol Hidratado,m3,227.0,2022-09-10
2003-07,AC,Etanol Hidratado,m3,376.0,2022-09-10
2003-08,AC,Etanol Hidratado,m3,293.0,2022-09-10
2003-09,AC,Etanol Hidratado,m3,373.0,2022-09-10
2003-10,AC,Etanol Hidratado,m3,319.0,2022-09-10
2003-11,AC,Etanol Hidratado,m3,294.0,2022-09-10
2003-12,AC,Etanol Hidratado,m3,347.0,2022-09-10
2004-01,AC,Etanol Hidratado,m3,297.0,2022-09-10
2004-02,AC,Etanol Hidratado,m3,296.0,2022-09-10
2004-03,AC,Etanol Hidratado,m3,282.0,2022-09-10
2004-04,AC,Etanol Hidratado,m3,254.0,2022-09-10
2004-05,AC,Etanol Hidratado,m3,337.0,2022-09-10
2004-06,AC,Etanol Hidratado,m3,257.0,2022-09-10
2004-07,AC,Etanol Hidratado,m3,338.0,2022-09-10
2004-08,AC,Etanol Hidratado,m3,356.0,2022-09-10
2004-09,AC,Etanol Hidratado,m3,332.0,2022-09-10
2004-10,AC,Etanol Hidratado,m3,327.0,2022-09-10
2004-11,AC,Etanol Hidratado,m3,318.0,2022-09-10
2004-12,AC,Etanol Hidratado,m3,359.0,2022-09-10
2005-01,AC,Etanol Hidratado,m3,303.0,2022-09-10
2005-02,AC,Etanol Hidratado,m3,265.0,2022-09-10
2005-03,AC,Etanol Hidratado,m3,260.0,2022-09-10
2005-04,AC,Etanol Hidratado,m3,301.0,2022-09-10
2005-05,AC,Etanol Hidratado,m3,312.0,2022-09-10
2005-06,AC,Etanol Hidratado,m3,342.0,2022-09-10
2005-07,AC,Etanol Hidratado,m3,311.0,2022-09-10
2005-08,AC,Etanol Hidratado,m3,367.0,2022-09-10
2005-09,AC,Etanol Hidratado,m3,361.0,2022-09-10
2005-10,AC,Etanol Hidratado,m3,381.0,2022-09-10
2005-11,AC,Etanol Hidratado,m3,342.0,2022-09-10
2005-12,AC,Etanol Hidratado,m3,454.0,2022-09-10
2006-01,AC,Etanol Hidratado,m3,344.0,2022-09-10
2006-02,AC,Etanol Hidratado,m3,318.0,2022-09-10
2006-03,AC,Etanol Hidratado,m3,293.0,2022-09-10
2006-04,AC,Etanol Hidratado,m3,243.0,2022-09-10
2006-05,AC,Etanol Hidratado,m3,286.0,2022-09-10
2006-06,AC,Etanol Hidratado,m3,304.0,2022-09-10
