ano_mês,uf,produto,unid,venda,criado_em
2000-01,AC,Querosene de Aviação,m3,1.155,2022-09-10
2000-02,AC,Querosene de Aviação,m3,1.251,2022-09-10
2000-03,AC,Querosene de Aviação,m3,813.0,2022-09-10
2000-04,AC,Querosene de Aviação,m3,702.0,2022-09-10
2000-05,AC,Querosene de Aviação,m3,964.0,2022-09-10
2000-06,AC,Querosene de Aviação,m3,938.0,2022-09-10
2000-07,AC,Querosene de Aviação,m3,1.119,2022-09-10
2000-08,AC,Querosene de Aviação,m3,1.099,2022-09-10
2000-09,AC,Querosene de Aviação,m3,1.047,2022-09-10
2000-10,AC,Querosene de Aviação,m3,1.061,2022-09-10
2000-11,AC,Querosene de Aviação,m3,1.418,2022-09-10
2000-12,AC,Querosene de Aviação,m3,1.405,2022-09-10
2001-01,AC,Querosene de Aviação,m3,1.528,2022-09-10
2001-02,AC,Querosene de Aviação,m3,1.021,2022-09-10
2001-03,AC,Querosene de Aviação,m3,1.453,2022-09-10
2001-04,AC,Querosene de Aviação,m3,1.18,2022-09-10
2001-05,AC,Querosene de Aviação,m3,1.062,2022-09-10
2001-06,AC,Querosene de Aviação,m3,1.022,2022-09-10
2001-07,AC,Querosene de Aviação,m3,1.041,2022-09-10
2001-08,AC,Querosene de Aviação,m3,1.016,2022-09-10
2001-09,AC,Querosene de Aviação,m3,652.0,2022-09-10
2001-10,AC,Querosene de Aviação,m3,814.0,2022-09-10
2001-11,AC,Querosene de Aviação,m3,968.0,2022-09-10
2001-12,AC,Querosene de Aviação,m3,791.0,2022-09-10
2002-01,AC,Querosene de Aviação,m3,765.0,2022-09-10
2002-02,AC,Querosene de Aviação,m3,715.0,2022-09-10
2002-03,AC,Querosene de Aviação,m3,652.0,2022-09-10
2002-04,AC,Querosene de Aviação,m3,798.0,2022-09-10
2002-05,AC,Querosene de Aviação,m3,1.714,2022-09-10
2002-06,AC,Querosene de Aviação,m3,739.0,2022-09-10
2002-07,AC,Querosene de Aviação,m3,709.0,2022-09-10
2002-08,AC,Querosene de Aviação,m3,634.0,2022-09-10
2002-09,AC,Querosene de Aviação,m3,773.0,2022-09-10
2002-10,AC,Querosene de Aviação,m3,884.0,2022-09-10
2002-11,AC,Querosene de Aviação,m3,800.0,2022-09-10
2002-12,AC,Querosene de Aviação,m3,965.0,2022-09-10
2003-01,AC,Querosene de Aviação,m3,978.0,2022-09-10
2003-02,AC,Querosene de Aviação,m3,808.0,2022-09-10
2003-03,AC,Querosene de Aviação,m3,785.0,2022-09-10
2003-04,AC,Querosene de Aviação,m3,1.195,2022-09-10
2003-05,AC,Querosene de Aviação,m3,1.096,2022-09-10
2003-06,AC,Querosene de Aviação,m3,1.139,2022-09-10
2003-07,AC,Querosene de Aviação,m3,1.034,2022-09-10
2003-08,AC,Querosene de Aviação,m3,780.0,2022-09-10
2003-09,AC,Querosene de Aviação,m3,961.0,2022-09-10
2003-10,AC,Querosene de Aviação,m3,861.0,2022-09-10
2003-11,AC,Querosene de Aviação,m3,789.0,2022-09-10
2003-12,AC,Querosene de Aviação,m3,1.044,2022-09-10
2004-01,AC,Querosene de Aviação,m3,830.0,2022-09-10
2004-02,AC,Querosene de Aviação,m3,760.0,2022-09-10
2004-03,AC,Querosene de Aviação,m3,931.0,2022-09-10
2004-04,AC,Querosene de Aviação,m3,914.0,2022-09-10
2004-05,AC,Querosene de Aviação,m3,931.0,2022-09-10
