ano_mês,uf,produto,unid,venda,criado_em,ano
2000-01,SP,Querosene Iluminante,m3,nan,2022-09-11,
2000-02,SP,Querosene Iluminante,m3,nan,2022-09-11,
2000-03,SP,Querosene Iluminante,m3,nan,2022-09-11,
2000-04,SP,Querosene Iluminante,m3,nan,2022-09-11,
2000-05,SP,Querosene Iluminante,m3,nan,2022-09-11,
2000-06,SP,Querosene Iluminante,m3,nan,2022-09-11,
2000-07,SP,Querosene Iluminante,m3,nan,2022-09-11,
2000-08,SP,Querosene Iluminante,m3,nan,2022-09-11,
2000-09,SP,Querosene Iluminante,m3,nan,2022-09-11,
2000-10,SP,Querosene Iluminante,m3,nan,2022-09-11,
2000-11,SP,Querosene Iluminante,m3,nan,2022-09-11,
2000-12,SP,Querosene Iluminante,m3,nan,2022-09-11,
2001-01,SP,Querosene Iluminante,m3,nan,2022-09-11,
2001-02,SP,Querosene Iluminante,m3,nan,2022-09-11,
2001-03,SP,Querosene Iluminante,m3,nan,2022-09-11,
2001-04,SP,Querosene Iluminante,m3,nan,2022-09-11,
2001-05,SP,Querosene Iluminante,m3,nan,2022-09-11,
2001-06,SP,Querosene Iluminante,m3,nan,2022-09-11,
2001-07,SP,Querosene Iluminante,m3,nan,2022-09-11,
2001-08,SP,Querosene Iluminante,m3,nan,2022-09-11,
2001-09,SP,Querosene Iluminante,m3,nan,2022-09-11,
2001-10,SP,Querosene Iluminante,m3,nan,2022-09-11,
2001-11,SP,Querosene Iluminante,m3,nan,2022-09-11,
2001-12,SP,Querosene Iluminante,m3,nan,2022-09-11,
2002-01,SP,Querosene Iluminante,m3,nan,2022-09-11,
2002-02,SP,Querosene Iluminante,m3,nan,2022-09-11,
2002-03,SP,Querosene Iluminante,m3,nan,2022-09-11,
2002-04,SP,Querosene Iluminante,m3,nan,2022-09-11,
2002-05,SP,Querosene Iluminante,m3,nan,2022-09-11,
2002-06,SP,Querosene Iluminante,m3,nan,2022-09-11,
2002-07,SP,Querosene Iluminante,m3,nan,2022-09-11,
2002-08,SP,Querosene Iluminante,m3,nan,2022-09-11,
2002-09,SP,Querosene Iluminante,m3,nan,2022-09-11,
2002-10,SP,Querosene Iluminante,m3,nan,2022-09-11,
2002-11,SP,Querosene Iluminante,m3,nan,2022-09-11,
2002-12,SP,Querosene Iluminante,m3,nan,2022-09-11,
2003-01,SP,Querosene Iluminante,m3,nan,2022-09-11,
2003-02,SP,Querosene Iluminante,m3,nan,2022-09-11,
2003-03,SP,Querosene Iluminante,m3,nan,2022-09-11,
2003-04,SP,Querosene Iluminante,m3,nan,2022-09-11,
2003-05,SP,Querosene Iluminante,m3,nan,2022-09-11,
2003-06,SP,Querosene Iluminante,m3,nan,2022-09-11,
2003-07,SP,Querosene Iluminante,m3,nan,2022-09-11,
2003-08,SP,Querosene Iluminante,m3,nan,2022-09-11,
2003-09,SP,Querosene Iluminante,m3,nan,2022-09-11,
2003-10,SP,Querosene Iluminante,m3,nan,2022-09-11,
2003-11,SP,Querosene Iluminante,m3,nan,2022-09-11,
2003-12,SP,Querosene Iluminante,m3,nan,2022-09-11,
2004-01,SP,Querosene Iluminante,m3,nan,2022-09-11,
2004-02,SP,Querosene Iluminante,m3,nan,2022-09-11,
2004-03,SP,Querosene Iluminante,m3,nan,2022-09-11,
2004-04,SP,Querosene Iluminante,m3,nan,2022-09-11,
2004-05,SP,Querosene Iluminante,m3,nan,2022-09-11,
2004-06,SP,Querosene Iluminante,m3,nan,2022-09-11,
2004-07,SP,Querosene Iluminante,m3,nan,2022-09-11,
2004-08,SP,Querosene Iluminante,m3,nan,2022-09-11,
2004-09,SP,Querosene Iluminante,m3,nan,2022-09-11,
2004-10,SP,Querosene Iluminante,m3,nan,2022-09-11,
2004-11,SP,Querosene Iluminante,m3,nan,2022-09-11,
2004-12,SP,Querosene Iluminante,m3,nan,2022-09-11,
2005-01,SP,Querosene Iluminante,m3,nan,2022-09-11,
2005-02,SP,Querosene Iluminante,m3,nan,2022-09-11,
2005-03,SP,Querosene Iluminante,m3,nan,2022-09-11,
2005-04,SP,Querosene Iluminante,m3,nan,2022-09-11,
2005-05,SP,Querosene Iluminante,m3,nan,2022-09-11,
2005-06,SP,Querosene Iluminante,m3,nan,2022-09-11,
2005-07,SP,Querosene Iluminante,m3,nan,2022-09-11,
2005-08,SP,Querosene Iluminante,m3,nan,2022-09-11,
2005-09,SP,Querosene Iluminante,m3,nan,2022-09-11,
2005-10,SP,Querosene Iluminante,m3,nan,2022-09-11,
2005-11,SP,Querosene Iluminante,m3,nan,2022-09-11,
2005-12,SP,Querosene Iluminante,m3,nan,2022-09-11,
2006-01,SP,Querosene Iluminante,m3,nan,2022-09-11,
2006-02,SP,Querosene Iluminante,m3,nan,2022-09-11,
2006-03,SP,Querosene Iluminante,m3,nan,2022-09-11,
2006-04,SP,Querosene Iluminante,m3,nan,2022-09-11,
2006-05,SP,Querosene Iluminante,m3,nan,2022-09-11,
2006-06,SP,Querosene Iluminante,m3,nan,2022-09-11,
2006-07,SP,Querosene Iluminante,m3,nan,2022-09-11,
2006-08,SP,Querosene Iluminante,m3,nan,2022-09-11,
2006-09,SP,Querosene Iluminante,m3,nan,2022-09-11,
2006-10,SP,Querosene Iluminante,m3,nan,2022-09-11,
2006-11,SP,Querosene Iluminante,m3,nan,2022-09-11,
2006-12,SP,Querosene Iluminante,m3,nan,2022-09-11,
2007-01,SP,Querosene Iluminante,m3,nan,2022-09-11,
2007-02,SP,Querosene Iluminante,m3,nan,2022-09-11,
2007-03,SP,Querosene Iluminante,m3,nan,2022-09-11,
2007-04,SP,Querosene Iluminante,m3,nan,2022-09-11,
2007-05,SP,Querosene Iluminante,m3,nan,2022-09-11,
2007-06,SP,Querosene Iluminante,m3,nan,2022-09-11,
2007-07,SP,Querosene Iluminante,m3,nan,2022-09-11,
2007-08,SP,Querosene Iluminante,m3,nan,2022-09-11,
2007-09,SP,Querosene Iluminante,m3,nan,2022-09-11,
2007-10,SP,Querosene Iluminante,m3,nan,2022-09-11,
2007-11,SP,Querosene Iluminante,m3,nan,2022-09-11,
2007-12,SP,Querosene Iluminante,m3,nan,2022-09-11,
2008-01,SP,Querosene Iluminante,m3,nan,2022-09-11,
2008-02,SP,Querosene Iluminante,m3,nan,2022-09-11,
2008-03,SP,Querosene Iluminante,m3,nan,2022-09-11,
2008-04,SP,Querosene Iluminante,m3,nan,2022-09-11,
2008-05,SP,Querosene Iluminante,m3,nan,2022-09-11,
2008-06,SP,Querosene Iluminante,m3,nan,2022-09-11,
2008-07,SP,Querosene Iluminante,m3,nan,2022-09-11,
2008-08,SP,Querosene Iluminante,m3,nan,2022-09-11,
2008-09,SP,Querosene Iluminante,m3,nan,2022-09-11,
2008-10,SP,Querosene Iluminante,m3,nan,2022-09-11,
2008-11,SP,Querosene Iluminante,m3,nan,2022-09-11,
2008-12,SP,Querosene Iluminante,m3,nan,2022-09-11,
2009-01,SP,Querosene Iluminante,m3,nan,2022-09-11,
2009-02,SP,Querosene Iluminante,m3,nan,2022-09-11,
2009-03,SP,Querosene Iluminante,m3,nan,2022-09-11,
2009-04,SP,Querosene Iluminante,m3,nan,2022-09-11,
2009-05,SP,Querosene Iluminante,m3,nan,2022-09-11,
2009-06,SP,Querosene Iluminante,m3,nan,2022-09-11,
2009-07,SP,Querosene Iluminante,m3,nan,2022-09-11,
2009-08,SP,Querosene Iluminante,m3,nan,2022-09-11,
2009-09,SP,Querosene Iluminante,m3,nan,2022-09-11,
2009-10,SP,Querosene Iluminante,m3,nan,2022-09-11,
2009-11,SP,Querosene Iluminante,m3,nan,2022-09-11,
2009-12,SP,Querosene Iluminante,m3,nan,2022-09-11,
2010-01,SP,Querosene Iluminante,m3,nan,2022-09-11,
2010-02,SP,Querosene Iluminante,m3,nan,2022-09-11,
2010-03,SP,Querosene Iluminante,m3,nan,2022-09-11,
2010-04,SP,Querosene Iluminante,m3,nan,2022-09-11,
2010-05,SP,Querosene Iluminante,m3,nan,2022-09-11,
2010-06,SP,Querosene Iluminante,m3,nan,2022-09-11,
2010-07,SP,Querosene Iluminante,m3,nan,2022-09-11,
2010-08,SP,Querosene Iluminante,m3,nan,2022-09-11,
2010-09,SP,Querosene Iluminante,m3,nan,2022-09-11,
2010-10,SP,Querosene Iluminante,m3,nan,2022-09-11,
2010-11,SP,Querosene Iluminante,m3,nan,2022-09-11,
2010-12,SP,Querosene Iluminante,m3,nan,2022-09-11,
2011-01,SP,Querosene Iluminante,m3,nan,2022-09-11,
2011-02,SP,Querosene Iluminante,m3,nan,2022-09-11,
2011-03,SP,Querosene Iluminante,m3,nan,2022-09-11,
2011-04,SP,Querosene Iluminante,m3,nan,2022-09-11,
2011-05,SP,Querosene Iluminante,m3,nan,2022-09-11,
2011-06,SP,Querosene Iluminante,m3,nan,2022-09-11,
2011-07,SP,Querosene Iluminante,m3,nan,2022-09-11,
2011-08,SP,Querosene Iluminante,m3,nan,2022-09-11,
2011-09,SP,Querosene Iluminante,m3,nan,2022-09-11,
2011-10,SP,Querosene Iluminante,m3,nan,2022-09-11,
2011-11,SP,Querosene Iluminante,m3,nan,2022-09-11,
2011-12,SP,Querosene Iluminante,m3,nan,2022-09-11,
2012-01,SP,Querosene Iluminante,m3,nan,2022-09-11,
2012-02,SP,Querosene Iluminante,m3,nan,2022-09-11,
2012-03,SP,Querosene Iluminante,m3,nan,2022-09-11,
2012-04,SP,Querosene Iluminante,m3,nan,2022-09-11,
2012-05,SP,Querosene Iluminante,m3,nan,2022-09-11,
2012-06,SP,Querosene Iluminante,m3,nan,2022-09-11,
2012-07,SP,Querosene Iluminante,m3,nan,2022-09-11,
2012-08,SP,Querosene Iluminante,m3,nan,2022-09-11,
2012-09,SP,Querosene Iluminante,m3,nan,2022-09-11,
2012-10,SP,Querosene Iluminante,m3,nan,2022-09-11,
2012-11,SP,Querosene Iluminante,m3,nan,2022-09-11,
2012-12,SP,Querosene Iluminante,m3,nan,2022-09-11,
2013-01,SP,Querosene Iluminante,m3,nan,2022-09-11,
2013-02,SP,Querosene Iluminante,m3,nan,2022-09-11,
2013-03,SP,Querosene Iluminante,m3,nan,2022-09-11,
2013-04,SP,Querosene Iluminante,m3,nan,2022-09-11,
2013-05,SP,Querosene Iluminante,m3,nan,2022-09-11,
2013-06,SP,Querosene Iluminante,m3,nan,2022-09-11,
2013-07,SP,Querosene Iluminante,m3,nan,2022-09-11,
2013-08,SP,Querosene Iluminante,m3,nan,2022-09-11,
2013-09,SP,Querosene Iluminante,m3,nan,2022-09-11,
2013-10,SP,Querosene Iluminante,m3,nan,2022-09-11,
2013-11,SP,Querosene Iluminante,m3,nan,2022-09-11,
2013-12,SP,Querosene Iluminante,m3,nan,2022-09-11,
2014-01,SP,Querosene Iluminante,m3,nan,2022-09-11,
2014-02,SP,Querosene Iluminante,m3,nan,2022-09-11,
2014-03,SP,Querosene Iluminante,m3,nan,2022-09-11,
2014-04,SP,Querosene Iluminante,m3,nan,2022-09-11,
2014-05,SP,Querosene Iluminante,m3,nan,2022-09-11,
2014-06,SP,Querosene Iluminante,m3,nan,2022-09-11,
2014-07,SP,Querosene Iluminante,m3,nan,2022-09-11,
2014-08,SP,Querosene Iluminante,m3,nan,2022-09-11,
2014-09,SP,Querosene Iluminante,m3,nan,2022-09-11,
2014-10,SP,Querosene Iluminante,m3,nan,2022-09-11,
2014-11,SP,Querosene Iluminante,m3,nan,2022-09-11,
2014-12,SP,Querosene Iluminante,m3,nan,2022-09-11,
2015-01,SP,Querosene Iluminante,m3,nan,2022-09-11,
2015-02,SP,Querosene Iluminante,m3,nan,2022-09-11,
2015-03,SP,Querosene Iluminante,m3,nan,2022-09-11,
2015-04,SP,Querosene Iluminante,m3,nan,2022-09-11,
2015-05,SP,Querosene Iluminante,m3,nan,2022-09-11,
2015-06,SP,Querosene Iluminante,m3,nan,2022-09-11,
2015-07,SP,Querosene Iluminante,m3,nan,2022-09-11,
2015-08,SP,Querosene Iluminante,m3,nan,2022-09-11,
2015-09,SP,Querosene Iluminante,m3,nan,2022-09-11,
2015-10,SP,Querosene Iluminante,m3,nan,2022-09-11,
2015-11,SP,Querosene Iluminante,m3,nan,2022-09-11,
2015-12,SP,Querosene Iluminante,m3,nan,2022-09-11,
2016-01,SP,Querosene Iluminante,m3, 20 ,2022-09-11,
2016-02,SP,Querosene Iluminante,m3, 5 ,2022-09-11,
2016-03,SP,Querosene Iluminante,m3, 25 ,2022-09-11,
2016-04,SP,Querosene Iluminante,m3, 25 ,2022-09-11,
2016-05,SP,Querosene Iluminante,m3, 40 ,2022-09-11,
2016-06,SP,Querosene Iluminante,m3, 25 ,2022-09-11,
2016-07,SP,Querosene Iluminante,m3, 20 ,2022-09-11,
2016-08,SP,Querosene Iluminante,m3, 35 ,2022-09-11,
2016-09,SP,Querosene Iluminante,m3, 10 ,2022-09-11,
