Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  501 ,  431 ,  310 ,  250 ,  297 ,  303 ,  344 ,  448 ,  687 ,  907 ,  802 ,  1.011 ,  453 ,  448 ,  575 ,  408 ,  799 ,  672 ,  618 ,  545 ,  663 ,  682 ,  375 
Fevereiro,  454 ,  387 ,  306 ,  316 ,  296 ,  265 ,  318 ,  346 ,  571 ,  845 ,  406 ,  894 ,  413 ,  475 ,  467 ,  339 ,  674 ,  610 ,  574 ,  470 ,  604 ,  689 ,  395 
Março,  676 ,  428 ,  395 ,  350 ,  282 ,  260 ,  293 ,  404 ,  647 ,  957 ,  517 ,  881 ,  493 ,  477 ,  43 ,  496 ,  621 ,  625 ,  651 ,  558 ,  525 ,  784 ,  556 
Abril,  678 ,  401 ,  447 ,  255 ,  254 ,  301 ,  243 ,  436 ,  697 ,  960 ,  527 ,  769 ,  477 ,  496 ,  100 ,  480 ,  590 ,  610 ,  501 ,  592 ,  285 ,  662 ,  588 
Maio,  1.467 ,  427 ,  411 ,  253 ,  337 ,  312 ,  286 ,  474 ,  763 ,  968 ,  503 ,  967 ,  514 ,  523 ,  353 ,  458 ,  473 ,  625 ,  544 ,  730 ,  210 ,  663 ,  593 
Junho,  351 ,  446 ,  362 ,  227 ,  257 ,  342 ,  304 ,  454 ,  808 ,  1.043 ,  843 ,  502 ,  430 ,  491 ,  254 ,  430 ,  470 ,  400 ,  748 ,  728 ,  362 ,  578 ,  621 
Julho,  451 ,  402 ,  379 ,  376 ,  338 ,  311 ,  357 ,  596 ,  880 ,  1.056 ,  776 ,  1.026 ,  448 ,  521 ,  318 ,  475 ,  463 ,  315 ,  690 ,  742 ,  485 ,  504 ,
Agosto,  603 ,  476 ,  407 ,  293 ,  356 ,  367 ,  380 ,  620 ,  858 ,  1.089 ,  553 ,  543 ,  582 ,  490 ,  288 ,  444 ,  572 ,  477 ,  803 ,  638 ,  599 ,  537 ,
Setembro,  531 ,  427 ,  458 ,  373 ,  332 ,  361 ,  378 ,  620 ,  835 ,  1.095 ,  1.201 ,  479 ,  520 ,  469 ,  295 ,  575 ,  710 ,  502 ,  912 ,  658 ,  791 ,  477 ,
Outubro,  573 ,  304 ,  450 ,  319 ,  327 ,  381 ,  362 ,  655 ,  930 ,  1.148 ,  1.012 ,  513 ,  437 ,  511 ,  308 ,  1.022 ,  917 ,  568 ,  1.090 ,  770 ,  649 ,  510 ,
Novembro,  305 ,  365 ,  288 ,  294 ,  318 ,  342 ,  407 ,  683 ,  858 ,  963 ,  1.093 ,  470 ,  468 ,  505 ,  335 ,  1.062 ,  640 ,  619 ,  787 ,  676 ,  610 ,  460 ,
Dezembro,  566 ,  277 ,  215 ,  347 ,  359 ,  454 ,  463 ,  638 ,  975 ,  921 ,  1.261 ,  532 ,  512 ,  620 ,  363 ,  1.196 ,  677 ,  728 ,  615 ,  798 ,  760 ,  425 ,
