Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  1.763 ,  1.423 ,  1.834 ,  1.653 ,  1.699 ,  1.435 ,  2.900 ,  3.588 ,  6.576 ,  8.152 ,  7.438 ,  7.283 ,  3.766 ,  3.383 ,  3.775 ,  4.091 ,  4.190 ,  2.281 ,  5.725 ,  9.792 ,  8.744 ,  7.484 ,  5.891 
Fevereiro,  1.803 ,  1.664 ,  1.332 ,  1.436 ,  1.295 ,  1.370 ,  2.501 ,  2.918 ,  5.878 ,  7.211 ,  4.408 ,  6.680 ,  3.485 ,  3.481 ,  3.160 ,  4.847 ,  2.518 ,  2.339 ,  5.109 ,  7.616 ,  6.712 ,  8.409 ,  5.354 
Março,  1.872 ,  1.860 ,  1.413 ,  1.218 ,  1.627 ,  1.383 ,  3.413 ,  3.315 ,  6.179 ,  8.100 ,  4.770 ,  6.708 ,  3.844 ,  3.230 ,  2.871 ,  4.949 ,  2.462 ,  2.779 ,  4.518 ,  7.213 ,  4.805 ,  8.559 ,  11.820 
Abril,  2.040 ,  1.588 ,  1.353 ,  1.957 ,  1.563 ,  1.370 ,  2.693 ,  3.329 ,  6.780 ,  8.270 ,  5.850 ,  3.678 ,  3.521 ,  2.957 ,  2.785 ,  5.235 ,  2.294 ,  2.355 ,  3.334 ,  6.378 ,  2.707 ,  7.681 ,  8.227 
Maio,  2.313 ,  1.683 ,  1.528 ,  2.185 ,  1.547 ,  1.398 ,  2.684 ,  3.552 ,  7.149 ,  8.512 ,  6.041 ,  3.895 ,  3.273 ,  2.825 ,  2.761 ,  4.515 ,  2.773 ,  2.600 ,  2.986 ,  4.685 ,  2.591 ,  5.697 ,  7.837 
Junho,  2.028 ,  1.481 ,  1.313 ,  2.078 ,  2.168 ,  2.063 ,  2.824 ,  4.028 ,  7.183 ,  8.752 ,  6.092 ,  3.922 ,  3.074 ,  2.620 ,  2.480 ,  4.526 ,  2.780 ,  2.263 ,  4.900 ,  3.895 ,  3.449 ,  4.351 ,  6.014 
Julho,  3.512 ,  1.552 ,  1.592 ,  1.834 ,  2.877 ,  2.479 ,  2.801 ,  4.134 ,  7.850 ,  9.841 ,  6.397 ,  3.440 ,  2.875 ,  2.625 ,  2.449 ,  5.247 ,  2.221 ,  2.027 ,  4.882 ,  4.281 ,  4.545 ,  4.510 ,
Agosto,  3.396 ,  1.403 ,  1.895 ,  1.345 ,  2.532 ,  2.913 ,  3.199 ,  4.591 ,  6.343 ,  8.797 ,  6.596 ,  3.433 ,  3.073 ,  2.489 ,  2.934 ,  4.767 ,  2.543 ,  2.780 ,  5.504 ,  3.945 ,  5.077 ,  4.180 ,
Setembro,  2.692 ,  1.152 ,  1.787 ,  1.694 ,  2.500 ,  3.413 ,  3.115 ,  4.578 ,  6.822 ,  9.364 ,  6.651 ,  3.323 ,  2.929 ,  2.592 ,  2.649 ,  4.261 ,  2.443 ,  3.751 ,  7.629 ,  4.455 ,  5.853 ,  3.577 ,
Outubro,  1.837 ,  1.360 ,  2.032 ,  1.355 ,  2.146 ,  3.159 ,  2.952 ,  5.260 ,  7.249 ,  9.764 ,  6.691 ,  3.276 ,  3.203 ,  2.769 ,  2.767 ,  6.239 ,  2.566 ,  2.857 ,  10.538 ,  5.162 ,  6.220 ,  4.453 ,
Novembro,  1.432 ,  1.797 ,  1.502 ,  1.481 ,  1.891 ,  2.779 ,  2.843 ,  5.857 ,  6.776 ,  8.365 ,  6.667 ,  3.411 ,  3.231 ,  2.759 ,  3.137 ,  4.916 ,  2.408 ,  4.148 ,  10.681 ,  6.423 ,  6.499 ,  5.910 ,
Dezembro,  1.506 ,  1.950 ,  1.460 ,  1.814 ,  1.673 ,  3.136 ,  2.978 ,  6.311 ,  8.318 ,  9.388 ,  8.502 ,  4.189 ,  3.282 ,  3.238 ,  3.892 ,  5.116 ,  2.567 ,  4.880 ,  11.769 ,  9.763 ,  7.723 ,  6.775 ,
