Mês,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Janeiro,  119 ,  101 ,  94 ,  102 ,  82 ,  44 ,  120 ,  94 ,  192 ,  399 ,  469 ,  466 ,  302 ,  75 ,  182 ,  121 ,  90 ,  20 ,  65 ,  60 ,  77 ,  30 ,  20 
Fevereiro,  164 ,  106 ,  98 ,  94 ,  25 ,  84 ,  68 ,  79 ,  204 ,  509 ,  320 ,  488 ,  305 ,  50 ,  172 ,  114 ,  80 ,  10 ,  65 ,  40 ,  25 ,  35 ,  15 
Março,  108 ,  119 ,  80 ,  69 ,  107 ,  54 ,  54 ,  114 ,  298 ,  533 ,  461 ,  408 ,  307 ,  80 ,  110 ,  113 ,  40 ,  10 ,  70 ,  35 ,  45 ,  60 ,  35 
Abril,  124 ,  91 ,  114 ,  79 ,  60 ,  67 ,  65 ,  112 ,  284 ,  612 ,  467 ,  316 ,  326 ,  100 ,  69 ,  118 ,  25 ,  20 ,  60 ,  60 ,  5 ,  25 ,  40 
Maio,  124 ,  112 ,  81 ,  69 ,  61 ,  58 ,  82 ,  158 ,  289 ,  581 ,  557 ,  448 ,  291 ,  167 ,  86 ,  209 ,  25 ,  10 ,  90 ,  85 ,  25 ,  40 ,  2.638 
Junho,  98 ,  83 ,  134 ,  50 ,  50 ,  63 ,  62 ,  117 ,  266 ,  756 ,  479 ,  436 ,  280 ,  76 ,  50 ,  212 ,  20 ,  20 ,  60 ,  81 ,  13 ,  20 ,  3.679 
Julho,  122 ,  99 ,  92 ,  109 ,  60 ,  82 ,  68 ,  84 ,  215 ,  825 ,  721 ,  422 ,  296 ,  177 ,  82 ,  222 ,  90 ,  20 ,  90 ,  57 ,  40 ,  25 ,
Agosto,  147 ,  100 ,  84 ,  53 ,  59 ,  83 ,  92 ,  111 ,  170 ,  940 ,  641 ,  426 ,  376 ,  113 ,  89 ,  197 ,  65 ,  40 ,  75 ,  85 ,  45 ,  25 ,
Setembro,  148 ,  87 ,  135 ,  80 ,  81 ,  83 ,  68 ,  83 ,  176 ,  908 ,  826 ,  431 ,  274 ,  161 ,  70 ,  275 ,  44 ,  45 ,  95 ,  87 ,  40 ,  15 ,
Outubro,  114 ,  119 ,  155 ,  63 ,  64 ,  82 ,  69 ,  128 ,  145 ,  799 ,  648 ,  391 ,  115 ,  173 ,  94 ,  317 ,  20 ,  70 ,  105 ,  95 ,  25 ,  10 ,
Novembro,  140 ,  102 ,  96 ,  56 ,  58 ,  106 ,  90 ,  165 ,  201 ,  626 ,  494 ,  392 ,  237 ,  125 ,  71 ,  185 ,  15 ,  60 ,  100 ,  84 ,  15 ,  25 ,
Dezembro,  115 ,  111 ,  140 ,  56 ,  63 ,  86 ,  88 ,  208 ,  332 ,  808 ,  639 ,  311 ,  203 ,  162 ,  102 ,  110 ,  25 ,  70 ,  55 ,  94 ,  30 ,  15 ,
